FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont AAAEPS+GentiumBasic-Bold;true;false;48.0;74;-1.0;Helden_der_Echsensümpfe;1000;Achaz-Dreizack Komplexität
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;49.0;74;-1.0;Helden_der_Echsensümpfe;1000;einf
PDTrueTypeFont AAAEPS+GentiumBasic-Bold;true;false;50.0;74;-1.0;Helden_der_Echsensümpfe;1000;NameKampftechnik TPL+SAT/PA-ModRWGewichtLängePreisAchazdreizack (Achfawar) (2H)
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;51.0;74;-1.0;Helden_der_Echsensümpfe;1000;Stangenwaffen1W6+4GE/KK 140/–1lang2,5 Stn140 HF210 S
PDTrueTypeFont AAAEPS+GentiumBasic-Bold;true;false;52.0;74;-1.0;Helden_der_Echsensümpfe;1000;Waffenvorteil
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;53.0;74;-1.0;Helden_der_Echsensümpfe;1000;Die Abzüge für den Kampf im Wasser sinken um 2. Das Manöver
PDTrueTypeFont ZOYFVU+GentiumBasic-Italic;false;true;54.0;74;-1.0;Helden_der_Echsensümpfe;1000;Entwaffnen
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;55.0;74;-1.0;Helden_der_Echsensümpfe;1000;(siehe
PDTrueTypeFont AAAEPS+GentiumBasic-Bold;true;false;56.0;74;-1.0;Helden_der_Echsensümpfe;1000;Regelwerk
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;57.0;74;-1.0;Helden_der_Echsensümpfe;1000;Seite
PDTrueTypeFont AAAEPS+GentiumBasic-Bold;true;false;58.0;74;-1.0;Helden_der_Echsensümpfe;1000;247
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;59.0;74;-1.0;Helden_der_Echsensümpfe;1000;) ist um +1 erleichtert.
PDTrueTypeFont AAAEPS+GentiumBasic-Bold;true;false;60.0;74;-1.0;Helden_der_Echsensümpfe;1000;Waffennachteil
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;61.0;74;-1.0;Helden_der_Echsensümpfe;1000;Wird der Achazdreizack von Nichtachaz geführt, erhält der Waffenträger einen Malus von –2 auf AT, PA und TP.
PDTrueTypeFont AAAEPS+GentiumBasic-Bold;true;false;62.0;74;-1.0;Helden_der_Echsensümpfe;1000;Achaz-Reißer Komplexität
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;63.0;74;-1.0;Helden_der_Echsensümpfe;1000;komp (2 AP)
PDTrueTypeFont AAAEPS+GentiumBasic-Bold;true;false;64.0;74;-1.0;Helden_der_Echsensümpfe;1000;NameKampftechnikTPL+SAT/PA-ModRWGewichtLängePreisAchazreißer (Drash’kor) (2H)
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;65.0;74;-1.0;Helden_der_Echsensümpfe;1000;Zweihandhiebwaffen2W6+4KK 150/–3lang2,75 Stn140 HF350 S
PDTrueTypeFont AAAEPS+GentiumBasic-Bold;true;false;66.0;74;-1.0;Helden_der_Echsensümpfe;1000;Anmerkung
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;67.0;74;-1.0;Helden_der_Echsensümpfe;1000;Wird der Drash’kor von Nichtachaz geführt, erhält er einen Malus von –2 auf AT, PA und TP.
PDTrueTypeFont AAAEPS+GentiumBasic-Bold;true;false;68.0;74;-1.0;Helden_der_Echsensümpfe;1000;Waffenvorteil
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;69.0;74;-1.0;Helden_der_Echsensümpfe;1000;Gegner ohne RS erleiden zusätzlich +3 TP. Statt mit dem Axtblatt anzugreifen, kann der Träger der Waffe auch die Dornenspitze verwenden. Die Dornenspitze verursacht 1W6+3 TP. Beim Einsatz der Dornenspitze in beengter Umgebung erleidet der Träger der Waffe lediglich Abzüge von –4/–4 auf AT/PA (statt –8/–8).
PDTrueTypeFont AAAEPS+GentiumBasic-Bold;true;false;70.0;74;-1.0;Helden_der_Echsensümpfe;1000;Waffennachteil
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;71.0;74;-1.0;Helden_der_Echsensümpfe;1000;Der RS des Gegners wird verdoppelt. Nach einem bestätigten Patzer bei einer Attacke erhält der Träger zusätzlich 1 Stufe
PDTrueTypeFont ZOYFVU+GentiumBasic-Italic;false;true;72.0;74;-1.0;Helden_der_Echsensümpfe;1000;Betäubung
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;73.0;74;-1.0;Helden_der_Echsensümpfe;1000;.
PDType0Font/PDCIDFontType2, PostScript name: DCJWFM+GentiumBasic;false;false;1.0;75;-1.0;Helden_der_Echsensümpfe;1000;Angehörigen der Alten Familien oder al’anfani
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;2.0;75;-1.0;Helden_der_Echsensümpfe;1000;-schen Granden auf der
PDType0Font/PDCIDFontType2, PostScript name: DCJWFM+GentiumBasic;false;false;3.0;75;-1.0;Helden_der_Echsensümpfe;1000;Suche nach einem be
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;4.0;75;-1.0;Helden_der_Echsensümpfe;1000;-sonders exquisiten
PDType0Font/PDCIDFontType2, PostScript name: DCJWFM+GentiumBasic;false;false;5.0;75;-1.0;Helden_der_Echsensümpfe;1000;Handstück. Doch auch die Achaz-Rha von Loch Harodrôl sind angetan von ihrer dunklen Eleganz.Manchmal werden solche Peitschen
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;6.0;75;-1.0;Helden_der_Echsensümpfe;1000;mit Zähnen oder scharfen Me-
PDType0Font/PDCIDFontType2, PostScript name: DCJWFM+GentiumBasic;false;false;7.0;75;-1.0;Helden_der_Echsensümpfe;1000;tallstücken noch schmerz
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;8.0;75;-1.0;Helden_der_Echsensümpfe;1000;-
PDType0Font/PDCIDFontType2, PostScript name: DCJWFM+GentiumBasic;false;false;9.0;75;-1.0;Helden_der_Echsensümpfe;1000;hafter gemacht, dann aber meist nur zur Einschüch
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;10.0;75;-1.0;Helden_der_Echsensümpfe;1000;-terung getragen. Denn wer seinen ungehorsa-
PDType0Font/PDCIDFontType2, PostScript name: DCJWFM+GentiumBasic;false;false;11.0;75;-1.0;Helden_der_Echsensümpfe;1000;men Sklaven mit einer solchen Waffe bestrafen will, muss es sich leisten kön
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;12.0;75;-1.0;Helden_der_Echsensümpfe;1000;-
PDType0Font/PDCIDFontType2, PostScript name: DCJWFM+GentiumBasic;false;false;13.0;75;-1.0;Helden_der_Echsensümpfe;1000;nen, bald einen neuen Sklaven zu kaufen: Die Hiebe mit der Echsenlederpeitsche können bei Ungerüsteten schnell zum Tod führen. Gegen gerüs
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;14.0;75;-1.0;Helden_der_Echsensümpfe;1000;-
PDType0Font/PDCIDFontType2, PostScript name: DCJWFM+GentiumBasic;false;false;15.0;75;-1.0;Helden_der_Echsensümpfe;1000;tete Kämpfer dagegen ist die Peitsche eine besten
PDTrueTypeFont BZKKDQ+GentiumBasic;false;false;16.0;75;-1.0;Helden_der_Echsensümpfe;1000;-
PDType0Font/PDCIDFontType2, PostScript name: DCJWFM+GentiumBasic;false;false;17.0;75;-1.0;Helden_der_Echsensümpfe;1000;falls zweitklassige Waffe.
PDTrueTypeFont AAAEPS+GentiumBasic-Bold;true;false;18.0;75;-1.0;Helden_der_Echsensümpfe;1300;Achaz-Mattenschild
PDType0Font/PDCIDFontType2, PostScript name: YXWSNW+GentiumBasic-Italic;false;true;19.0;75;-1.0;Helden_der_Echsensümpfe;1000;»Der Kampf der Unaussprechlichen ist auf die Verteidigung
PDTrueTypeFont ZOYFVU+GentiumBasic-Italic;false;true;20.0;75;-1.0;Helden_der_Echsensümpfe;1000;ausgelegt. Feige sind sie, die Geschuppten! Ihre Angriffe kommen aus dem Hinterhalt und sie vergiften ihre Waffen. Um sich gegen unsere Pfeile zu schützen, nutzen sie Schilde aus
PDType0Font/PDCIDFontType2, PostScript name: YXWSNW+GentiumBasic-Italic;false;true;21.0;75;-1.0;Helden_der_Echsensümpfe;1000;Mattengeflecht.«—aus einem Brief eines Balayan an seinen Auftraggeber, 856 BF
