FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont XDDCID+Andalus;false;false;1.0;24;-1.0;Helden_der_Flusslande;1300;23
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;2.0;24;-1.0;Helden_der_Flusslande;1000;Hügellande und Angbarer See (Stufe II)Gastfreundlich
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;3.0;24;-1.0;Helden_der_Flusslande;1000;Bewohner der Hügellande und der Gegend um den Angbarer See gelten als besonders herzlich und gastfreundlich. Sie erhalten eine Erleichterung von +1 auf CH-Teilproben bei
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;4.0;24;-1.0;Helden_der_Flusslande;1000;Überreden (Aufschwatzen
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;5.0;24;-1.0;Helden_der_Flusslande;1000;oder
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;6.0;24;-1.0;Helden_der_Flusslande;1000;Schmeicheln)
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;7.0;24;-1.0;Helden_der_Flusslande;1000;, wenn es um Kontakt mit Fremden und Gästen geht.
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;8.0;24;-1.0;Helden_der_Flusslande;1000;Verweichlicht
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;9.0;24;-1.0;Helden_der_Flusslande;1000;Bewohner der Hügellande und des Angbarer Sees sind bekannt dafür, sehr friedliebend zu sein. Sie erhalten eine Erschwernis von –1 auf alle Proben auf
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;10.0;24;-1.0;Helden_der_Flusslande;1000;Einschüchtern
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;11.0;24;-1.0;Helden_der_Flusslande;1000;,
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;12.0;24;-1.0;Helden_der_Flusslande;1000;
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;13.0;24;-1.0;Helden_der_Flusslande;1000;da ihnen keiner recht glauben will, dass sie gefährlich sein können.
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;14.0;24;-1.0;Helden_der_Flusslande;1000;Kombinierbar mit
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;15.0;24;-1.0;Helden_der_Flusslande;1000;Stufe I:
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;16.0;24;-1.0;Helden_der_Flusslande;1000;Typische/r Koscher/in
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;17.0;24;-1.0;Helden_der_Flusslande;1000;,
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;18.0;24;-1.0;Helden_der_Flusslande;1000;Hügelzwerge
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;19.0;24;-1.0;Helden_der_Flusslande;1000;Nordgratenfels (Stufe II)Waldkenner
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;20.0;24;-1.0;Helden_der_Flusslande;1000;Kaum jemand kennt Wälder so gut wie die Nordgratenfelser. Sie kennen viele Unterschlüpfe im Wald und wissen, wie man sich am besten verbirgt. Bei Proben auf
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;21.0;24;-1.0;Helden_der_Flusslande;1000;Verbergen (sich Verstecken)
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;22.0;24;-1.0;Helden_der_Flusslande;1000;im Wald erhalten sie bei der dritten Teilprobe eine Erleichterung von +1 auf GE.
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;23.0;24;-1.0;Helden_der_Flusslande;1000;Hinterwäldler
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;24.0;24;-1.0;Helden_der_Flusslande;1000;In Nordgratenfels gibt es keine größeren Ansiedlungen. Sollte ein Bewohner eine Probe auf
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;25.0;24;-1.0;Helden_der_Flusslande;1000;Gassenwissen
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;26.0;24;-1.0;Helden_der_Flusslande;1000;
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;27.0;24;-1.0;Helden_der_Flusslande;1000;(Informationssuche
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;28.0;24;-1.0;Helden_der_Flusslande;1000;oder
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;29.0;24;-1.0;Helden_der_Flusslande;1000;Orteinschätzung)
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;30.0;24;-1.0;Helden_der_Flusslande;1000;in einer Ortschaft mit mehr als 300 Einwohnern ablegen müssen, so erhält er bei der Teilprobe auf IN eine Erschwernis von –1.
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;31.0;24;-1.0;Helden_der_Flusslande;1000;Kombinierbar mit
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;32.0;24;-1.0;Helden_der_Flusslande;1000;Stufe I:
