FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont XDDCID+Andalus;false;false;1.0;70;-1.0;Helden_der_Flusslande;1800;Rüstzeug
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;2.0;70;-1.0;Helden_der_Flusslande;1000;Koscher GambesonKomplexität
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;3.0;70;-1.0;Helden_der_Flusslande;1000;einf
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;4.0;70;-1.0;Helden_der_Flusslande;900;ArtRüstungsschutzBelastung (Stufe)zusätzliche AbzügeGewichtPreis
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;5.0;70;-1.0;Helden_der_Flusslande;1000;Koscher Gambeson
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;6.0;70;-1.0;Helden_der_Flusslande;1000;21–3,25 Stn80 S
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;7.0;70;-1.0;Helden_der_Flusslande;1000;Anmerkung
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;8.0;70;-1.0;Helden_der_Flusslande;1000;Der Koscher Gambeson ist eine Variante der Stoffrüstung.
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;9.0;70;-1.0;Helden_der_Flusslande;1000;Rüstungsvorteil
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;10.0;70;-1.0;Helden_der_Flusslande;1000;Ein Koscher Gambeson verfügt über einen Kälteschutz von 1. Gegen Waffen der Kampftechniken
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;11.0;70;-1.0;Helden_der_Flusslande;1000;Kettenwaffen
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;12.0;70;-1.0;Helden_der_Flusslande;1000;und
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;13.0;70;-1.0;Helden_der_Flusslande;1000;Zweihandhiebwaffen
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;14.0;70;-1.0;Helden_der_Flusslande;1000;schützt der Koscher Gambeson mit RS 3.
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;15.0;70;-1.0;Helden_der_Flusslande;1000;Rüstungsnachteil
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;16.0;70;-1.0;Helden_der_Flusslande;1000;Gegen Waffen der Kampftechniken
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;17.0;70;-1.0;Helden_der_Flusslande;1000;Dolche
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;18.0;70;-1.0;Helden_der_Flusslande;1000;und
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;19.0;70;-1.0;Helden_der_Flusslande;1000;Fechtwaffen
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;20.0;70;-1.0;Helden_der_Flusslande;1000;sowie Bolzen und Pfeile schützt der Koscher Gambeson nur mit RS 1.
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;21.0;70;-1.0;Helden_der_Flusslande;1000;Albenhuser PlattenharnischKomplexität
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;22.0;70;-1.0;Helden_der_Flusslande;1000;komp (3 AP)
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;23.0;70;-1.0;Helden_der_Flusslande;900;ArtRüstungsschutzBelastung (Stufe)zusätzliche AbzügeGewichtPreis
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;24.0;70;-1.0;Helden_der_Flusslande;1000;Albenhuser Plattenharnisch
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;25.0;70;-1.0;Helden_der_Flusslande;1000;63–12 Stn275 S
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;26.0;70;-1.0;Helden_der_Flusslande;1000;Anmerkung
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;27.0;70;-1.0;Helden_der_Flusslande;1000;Der Albenhuser Plattenharnisch ist eine Variante der Plattenrüstung.
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;28.0;70;-1.0;Helden_der_Flusslande;1000;Rüstungsvorteil
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;29.0;70;-1.0;Helden_der_Flusslande;1000;Gegen Waffen der Kampftechniken
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;30.0;70;-1.0;Helden_der_Flusslande;1000;Dolche
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;31.0;70;-1.0;Helden_der_Flusslande;1000;,
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;32.0;70;-1.0;Helden_der_Flusslande;1000;Fechtwaffen
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;33.0;70;-1.0;Helden_der_Flusslande;1000;und
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;34.0;70;-1.0;Helden_der_Flusslande;1000;Lanzen
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;35.0;70;-1.0;Helden_der_Flusslande;1000;schützt der Albenhuser Plattenharnisch mit einem RS von 7.
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;36.0;70;-1.0;Helden_der_Flusslande;1000;Rüstungsnachteil
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;37.0;70;-1.0;Helden_der_Flusslande;1000;Gegen Waffen der Kampftechniken
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;38.0;70;-1.0;Helden_der_Flusslande;1000;Kettenwaffen
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;39.0;70;-1.0;Helden_der_Flusslande;1000;und
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;40.0;70;-1.0;Helden_der_Flusslande;1000;Zweihandhiebwaffen
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;41.0;70;-1.0;Helden_der_Flusslande;1000;schützt der Albenhuser Plattenharnisch nur mit einem RS von 3. Gegenüber Angriffen von hinten schützt der Albenhuser Plattenharnisch nur mit einem RS von 1.
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;42.0;70;-1.0;Helden_der_Flusslande;1300;Der Koscher Gambeson
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;43.0;70;-1.0;Helden_der_Flusslande;900;»
PDType0Font/PDCIDFontType2, PostScript name: FCCYQN+GentiumBasic-Italic;false;true;44.0;70;-1.0;Helden_der_Flusslande;900;Gebt fein Acht, denn das hier ist keine zweit
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;45.0;70;-1.0;Helden_der_Flusslande;900;-
PDType0Font/PDCIDFontType2, PostScript name: FCCYQN+GentiumBasic-Italic;false;true;46.0;70;-1.0;Helden_der_Flusslande;900;klassige Ware, wie man sie Euch wo
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;47.0;70;-1.0;Helden_der_Flusslande;900;-
PDType0Font/PDCIDFontType2, PostScript name: FCCYQN+GentiumBasic-Italic;false;true;48.0;70;-1.0;Helden_der_Flusslande;900;möglich im Außerkosch aufschwatzen würde. Oh nein, dieses gute Stück ist echt koscher. Bester Leinen
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;49.0;70;-1.0;Helden_der_Flusslande;900;-
PDType0Font/PDCIDFontType2, PostScript name: FCCYQN+GentiumBasic-Italic;false;true;50.0;70;-1.0;Helden_der_Flusslande;900;stoff, gefüttert mit Rosshaaren und verstärkt mit stabilen Le
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;51.0;70;-1.0;Helden_der_Flusslande;900;-
PDType0Font/PDCIDFontType2, PostScript name: FCCYQN+GentiumBasic-Italic;false;true;52.0;70;-1.0;Helden_der_Flusslande;900;derstreifen und eisernen Nieten. Eine bessere Arbeit werdet Ihr nir
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;53.0;70;-1.0;Helden_der_Flusslande;900;-
PDType0Font/PDCIDFontType2, PostScript name: FCCYQN+GentiumBasic-Italic;false;true;54.0;70;-1.0;Helden_der_Flusslande;900;gendwo finden.
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;55.0;70;-1.0;Helden_der_Flusslande;900;«
PDType0Font/PDCIDFontType2, PostScript name: FCCYQN+GentiumBasic-Italic;false;true;56.0;70;-1.0;Helden_der_Flusslande;1000;—gehört auf dem Markt in Angbar, neuzeitlich
PDType0Font/PDCIDFontType2, PostScript name: UBPKSJ+GentiumBasic;false;false;57.0;70;-1.0;Helden_der_Flusslande;1000;Wenngleich die Schmiedekunst in den Flusslanden einen hohen Stel
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;58.0;70;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UBPKSJ+GentiumBasic;false;false;59.0;70;-1.0;Helden_der_Flusslande;1000;lenwert einnimmt, kann sich auch in den Nordmarken und im Kosch nicht jeder Streiter eine teure Metallrüs
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;60.0;70;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UBPKSJ+GentiumBasic;false;false;61.0;70;-1.0;Helden_der_Flusslande;1000;tung leisten. So ist vor allem bei Dorfbütteln und den Landwehraufgeboten des örtlichen Adels, aber auch bei Straßenräubern und Flusspiraten der Koscher Gambeson weit verbreitet. Der wattierte Waffenrock, wie man ihn im Kosch anfertigt, besitzt eingesteppte Röhren, die mit Hanf oder Rosshaar gefüllt sind. Zusätzlich werden diese Polster mit aufgenähten Lederstücken und Metallnieten verstärkt, was die Schutzwirkung der Rüstung gegenüber Hieben verstärkt. Aufgrund seiner einfachen Machart lässt sich der Waffenrock leicht ausbessern und reparie
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;62.0;70;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UBPKSJ+GentiumBasic;false;false;63.0;70;-1.0;Helden_der_Flusslande;1000;ren. Ein Vorteil gegenüber Metallrüstungen besitzt der Koscher Gambeson außerdem in kalten Nächten unter freiem Himmel und im Winter, vermag er es doch, seinen Träger vorzüglich warm zu halten.
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;64.0;70;-1.0;Helden_der_Flusslande;1000;»
PDType0Font/PDCIDFontType2, PostScript name: FCCYQN+GentiumBasic-Italic;false;true;65.0;70;-1.0;Helden_der_Flusslande;1000;Recht bequem, so ein Koscher Gambeson. Ich glaube, daran könnte ich mich gewöhnen.
