FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDType0Font/PDCIDFontType2, PostScript name: NOYUYX+GentiumBasic-Bold;true;false;1.0;76;-1.0;Helden_der_Flusslande;1300;Das Isnatoscher Kettengeflecht
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;2.0;76;-1.0;Helden_der_Flusslande;1000;»
PDType0Font/PDCIDFontType2, PostScript name: FCCYQN+GentiumBasic-Italic;false;true;3.0;76;-1.0;Helden_der_Flusslande;1000;Bester Stahl, beidseitig geschliffen, seht Ihr? Mit dieser Klinge durchdringt ihr jede Rüstung. Jedenfalls so
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;4.0;76;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FCCYQN+GentiumBasic-Italic;false;true;5.0;76;-1.0;Helden_der_Flusslande;1000;lange Euer Gegner nicht ausge
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;6.0;76;-1.0;Helden_der_Flusslande;1000;-rechnet ein Isnatoscher Ketten-
PDType0Font/PDCIDFontType2, PostScript name: FCCYQN+GentiumBasic-Italic;false;true;7.0;76;-1.0;Helden_der_Flusslande;1000;geflecht am Leib trägt.
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;8.0;76;-1.0;Helden_der_Flusslande;1000;«
PDType0Font/PDCIDFontType2, PostScript name: FCCYQN+GentiumBasic-Italic;false;true;9.0;76;-1.0;Helden_der_Flusslande;1000;—Roschima Tochter der Ro
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;10.0;76;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FCCYQN+GentiumBasic-Italic;false;true;11.0;76;-1.0;Helden_der_Flusslande;1000;schoka, erzzwergische Schmie
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;12.0;76;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FCCYQN+GentiumBasic-Italic;false;true;13.0;76;-1.0;Helden_der_Flusslande;1000;din, neuzeitlich
PDType0Font/PDCIDFontType2, PostScript name: UBPKSJ+GentiumBasic;false;false;14.0;76;-1.0;Helden_der_Flusslande;1000;Das Isnatoscher Ketten
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;15.0;76;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UBPKSJ+GentiumBasic;false;false;16.0;76;-1.0;Helden_der_Flusslande;1000;geflecht, ein Kettenhemd aus zwergischer Fertigung, gilt zurecht als ein Meister
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;17.0;76;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UBPKSJ+GentiumBasic;false;false;18.0;76;-1.0;Helden_der_Flusslande;1000;werk unter den Rüstungen, das stets mit einem hohen Maß Fachkenntnis und Sorgfalt herge
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;19.0;76;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UBPKSJ+GentiumBasic;false;false;20.0;76;-1.0;Helden_der_Flusslande;1000;stellt wird. Die wenigen Stücke, die in menschliche Hand gelangen, sind entweder Geschen
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;21.0;76;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UBPKSJ+GentiumBasic;false;false;22.0;76;-1.0;Helden_der_Flusslande;1000;ke oder Auftragsarbeiten, die sich die Angroschim mit gutem Gold bezahlen lassen. Dementsprechend sind solche Kettenhemden auch in den Nordmarken und im Kosch, wo Menschen und Zwerge seit vielen Gene
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;23.0;76;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UBPKSJ+GentiumBasic;false;false;24.0;76;-1.0;Helden_der_Flusslande;1000;rationen in enger Gemeinschaft leben, keine Massen
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;25.0;76;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UBPKSJ+GentiumBasic;false;false;26.0;76;-1.0;Helden_der_Flusslande;1000;ware. Man findet sie in dieser Region allerdings deut
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;27.0;76;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UBPKSJ+GentiumBasic;false;false;28.0;76;-1.0;Helden_der_Flusslande;1000;lich häufiger als in anderen Teilen des Mittelreiches. Dies gilt insbesondere im Isenhag, wo es einen hohen Anteil an zwergischen Schmieden und Rüstungsbau
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;29.0;76;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UBPKSJ+GentiumBasic;false;false;30.0;76;-1.0;Helden_der_Flusslande;1000;ern gibt und die meisten dieser Kettenhemden ge
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;31.0;76;-1.0;Helden_der_Flusslande;1000;-fertigt werden. Unter den Menschen der Flusslande
PDType0Font/PDCIDFontType2, PostScript name: UBPKSJ+GentiumBasic;false;false;32.0;76;-1.0;Helden_der_Flusslande;1000;ist diese Rüstung daher auch als Isenhager Kettenge
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;33.0;76;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UBPKSJ+GentiumBasic;false;false;34.0;76;-1.0;Helden_der_Flusslande;1000;flecht bekannt. Die Qualität eines zwergischen Ketten
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;35.0;76;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UBPKSJ+GentiumBasic;false;false;36.0;76;-1.0;Helden_der_Flusslande;1000;hemds zeigt sich sowohl im Material als auch in der Machart. So sind die Ringe aus hervorragendem, be
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;37.0;76;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UBPKSJ+GentiumBasic;false;false;38.0;76;-1.0;Helden_der_Flusslande;1000;sonders hartem Stahl gefertigt, der dennoch leichter ist als gewöhnlicher Menschenstahl. Zudem sind die einzelnen Kettenglieder so kunstvoll miteinander ver
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;39.0;76;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UBPKSJ+GentiumBasic;false;false;40.0;76;-1.0;Helden_der_Flusslande;1000;flochten, dass sie sich nicht einfach öffnen, wenn die Rüstung getroffen wird.
PDType0Font/PDCIDFontType2, PostScript name: LXJFXS+GentiumBasic-Bold;true;false;41.0;76;-1.0;Helden_der_Flusslande;1000;Isnatoscher Kettengeflecht
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;42.0;76;-1.0;Helden_der_Flusslande;1000;Komplexität
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;43.0;76;-1.0;Helden_der_Flusslande;1000;komp (2 AP)
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;44.0;76;-1.0;Helden_der_Flusslande;900;ArtRüstungsschutzBelastung (Stufe)zusätzliche AbzügeGewichtPreis
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;45.0;76;-1.0;Helden_der_Flusslande;1000;Isnatoscher
PDType0Font/PDCIDFontType2, PostScript name: LXJFXS+GentiumBasic-Bold;true;false;46.0;76;-1.0;Helden_der_Flusslande;1000;Kettengeflecht
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;47.0;76;-1.0;Helden_der_Flusslande;1000;42–8 Stn320 S
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;48.0;76;-1.0;Helden_der_Flusslande;1000;Anmerkung
PDType0Font/PDCIDFontType2, PostScript name: FOHVRE+GentiumBasic;false;false;49.0;76;-1.0;Helden_der_Flusslande;1000;Das Isnatoscher Kettengeflecht ist eine Variante der Kettenrüstung
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;50.0;76;-1.0;Helden_der_Flusslande;1000;.
PDType0Font/PDCIDFontType2, PostScript name: FOHVRE+GentiumBasic;false;false;51.0;76;-1.0;Helden_der_Flusslande;1000;Um die Rüstung bei der Heldenerschaffung zu erwerben, muss der Held der Kultur Erzzwerge angehören.
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;52.0;76;-1.0;Helden_der_Flusslande;1000;Rüstungsvorteil
PDType0Font/PDCIDFontType2, PostScript name: FOHVRE+GentiumBasic;false;false;53.0;76;-1.0;Helden_der_Flusslande;1000;Gegen Ungeheuer verfügt das Isnatoscher Kettengeflecht über einen RS von 5. Einbußen auf GS und INI durch BE oder zusätzliche Abzüge von Rüstungen werden halbiert (abgerundet).
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;54.0;76;-1.0;Helden_der_Flusslande;1000;Rüstungsnachteil
PDType0Font/PDCIDFontType2, PostScript name: FOHVRE+GentiumBasic;false;false;55.0;76;-1.0;Helden_der_Flusslande;1000;Gegen Waffen der Kampftechniken
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;56.0;76;-1.0;Helden_der_Flusslande;1000;Dolche
PDType0Font/PDCIDFontType2, PostScript name: FOHVRE+GentiumBasic;false;false;57.0;76;-1.0;Helden_der_Flusslande;1000;und
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;58.0;76;-1.0;Helden_der_Flusslande;1000;Fechtwaffen
PDType0Font/PDCIDFontType2, PostScript name: FOHVRE+GentiumBasic;false;false;59.0;76;-1.0;Helden_der_Flusslande;1000;schützt das Isnatoscher Kettenge
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;60.0;76;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FOHVRE+GentiumBasic;false;false;61.0;76;-1.0;Helden_der_Flusslande;1000;flecht nur mit RS 3. Proben auf
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;62.0;76;-1.0;Helden_der_Flusslande;1000;Sinnesschärfe
PDType0Font/PDCIDFontType2, PostScript name: FOHVRE+GentiumBasic;false;false;63.0;76;-1.0;Helden_der_Flusslande;1000;, um den Träger eines Isnatoscher Kettengeflechts zu bemerken, sind um +1 erleichtert.
PDType0Font/PDCIDFontType2, PostScript name: FCCYQN+GentiumBasic-Italic;false;true;64.0;76;-1.0;Helden_der_Flusslande;1000;»Das ist wahre Qualität. Das hält ein Leben lang. Und vor allem erhält es dich am Leben. Aber bei den Preisen kann man als einfacher Söldner da
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;65.0;76;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FCCYQN+GentiumBasic-Italic;false;true;66.0;76;-1.0;Helden_der_Flusslande;1000;von nur träumen.«—Geron Waisenmacher, Doppelsöldner»Wenn du all das Geld gespart hättest, dass du über die Jahre beim Würfeln und beim Boltanspiel ver
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;67.0;76;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FCCYQN+GentiumBasic-Italic;false;true;68.0;76;-1.0;Helden_der_Flusslande;1000;loren hast ... dann würde es inzwischen wahrschein
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;69.0;76;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FCCYQN+GentiumBasic-Italic;false;true;70.0;76;-1.0;Helden_der_Flusslande;1000;lich sogar für ein solches Kettengeflecht reichen.«—Bruder Hilbert, Perainegeweihter
