FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont XDDCID+Andalus;false;false;1.0;79;-1.0;Helden_der_Flusslande;1200;Rüstkammer der Flusslande
PDTrueTypeFont XDDCID+Andalus;false;false;2.0;79;-1.0;Helden_der_Flusslande;1800;Besondere Gegenstände
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;3.0;79;-1.0;Helden_der_Flusslande;1000;GuldebrandtKomplexität
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;4.0;79;-1.0;Helden_der_Flusslande;1000;keine
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;5.0;79;-1.0;Helden_der_Flusslande;900;NameKampftechnikTPL+S
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;6.0;79;-1.0;Helden_der_Flusslande;800;AT/PA-Mod
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;7.0;79;-1.0;Helden_der_Flusslande;900;RWGewichtLängePreis
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;8.0;79;-1.0;Helden_der_Flusslande;1000;Guldebrandt
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;9.0;79;-1.0;Helden_der_Flusslande;1000;(2H)Zweihandschwerter1W6+8KK 13+1/–1mittel3,5 Stn125 HFunbezahlbar
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;10.0;79;-1.0;Helden_der_Flusslande;1000;Anmerkung
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;11.0;79;-1.0;Helden_der_Flusslande;1000;Guldebrandt ist unzerbrechlich und setzt keinen Rost an. Orks erleiden 1 Stufe
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;12.0;79;-1.0;Helden_der_Flusslande;1000;Schmerz
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;13.0;79;-1.0;Helden_der_Flusslande;1000;für 1 Stunde, wenn sie mindestens 1 SP durch Guldebrandt erleiden. Diese Zustandsstufen sind kumulativ.
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;14.0;79;-1.0;Helden_der_Flusslande;1000;Waffenvorteil
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;15.0;79;-1.0;Helden_der_Flusslande;1000;Das Manöver
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;16.0;79;-1.0;Helden_der_Flusslande;1000;Vorstoß
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;17.0;79;-1.0;Helden_der_Flusslande;1000;verleiht dem Träger Guldebrandts einen Bonus von +3 AT (statt +2).
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;18.0;79;-1.0;Helden_der_Flusslande;1000;Waffennachteil
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;19.0;79;-1.0;Helden_der_Flusslande;1000;Das Manöver
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;20.0;79;-1.0;Helden_der_Flusslande;1000;Verteidigungshaltung
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;21.0;79;-1.0;Helden_der_Flusslande;1000;verleiht dem Träger Guldebrandts nur einen Bonus von +3 VW (statt +4).
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;22.0;79;-1.0;Helden_der_Flusslande;1300;Das Koschbasalt-Kästchen
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;23.0;79;-1.0;Helden_der_Flusslande;1000;»
PDType0Font/PDCIDFontType2, PostScript name: FCCYQN+GentiumBasic-Italic;false;true;24.0;79;-1.0;Helden_der_Flusslande;1000;Nein, meine magische Hellsicht trügt mich nie. Das Artefakt ist nicht hier. Alle Gegenstände in dieser Schatzkammer sind so magisch wie Koschbasalt. Moment mal ... Das Kästchen da
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;25.0;79;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FCCYQN+GentiumBasic-Italic;false;true;26.0;79;-1.0;Helden_der_Flusslande;1000;hinten ... Das ist tatsächlich aus Koschbasalt! Dort also hat der Schurke es versteckt.
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;27.0;79;-1.0;Helden_der_Flusslande;1000;«
PDType0Font/PDCIDFontType2, PostScript name: FCCYQN+GentiumBasic-Italic;false;true;28.0;79;-1.0;Helden_der_Flusslande;1000;—Jocasta Dohlfelder, Magierin aus Elenvina, 1041 BF
PDType0Font/PDCIDFontType2, PostScript name: UBPKSJ+GentiumBasic;false;false;29.0;79;-1.0;Helden_der_Flusslande;1000;Der Koschbasalt ist ein tiefgraues Gestein, das häufig regenbo
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;30.0;79;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UBPKSJ+GentiumBasic;false;false;31.0;79;-1.0;Helden_der_Flusslande;1000;genfarben schimmernde Einschlüsse aufweist. Er ist fast ausschließ
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;32.0;79;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UBPKSJ+GentiumBasic;false;false;33.0;79;-1.0;Helden_der_Flusslande;1000;lich in den Koschber
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;34.0;79;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UBPKSJ+GentiumBasic;false;false;35.0;79;-1.0;Helden_der_Flusslande;1000;gen zu finden und aventurienweit für seine starke antimagi
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;36.0;79;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UBPKSJ+GentiumBasic;false;false;37.0;79;-1.0;Helden_der_Flusslande;1000;sche Wirkung bekannt. Kundige Steinschneider
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;38.0;79;-1.0;Helden_der_Flusslande;1000;verstehen sich darauf, den
PDType0Font/PDCIDFontType2, PostScript name: UBPKSJ+GentiumBasic;false;false;39.0;79;-1.0;Helden_der_Flusslande;1000;Basaltstein in so dünne Plat
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;40.0;79;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UBPKSJ+GentiumBasic;false;false;41.0;79;-1.0;Helden_der_Flusslande;1000;ten zu zerschneiden, dass sich damit die Innenseiten von Kisten und Tru
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;42.0;79;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UBPKSJ+GentiumBasic;false;false;43.0;79;-1.0;Helden_der_Flusslande;1000;hen auslegen oder sogar komplette Kästchen aus Kosch
