FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont XDDCID+Andalus;false;false;1.0;63;-1.0;Helden_der_Flusslande;1200;Rüstkammer der Flusslande
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;2.0;63;-1.0;Helden_der_Flusslande;1000;Albenhuser RossschinderKomplexität
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;3.0;63;-1.0;Helden_der_Flusslande;1000;einf
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;4.0;63;-1.0;Helden_der_Flusslande;900;NameKampftechnikTPL+S
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;5.0;63;-1.0;Helden_der_Flusslande;800;AT/PA-Mod
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;6.0;63;-1.0;Helden_der_Flusslande;900;RWGewichtLängePreis
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;7.0;63;-1.0;Helden_der_Flusslande;1000;Albenhuser Rossschinder
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;8.0;63;-1.0;Helden_der_Flusslande;1000;(2H)Stangenwaffen1W6+4GE/KK 150/–2lang4 Stn180 HF70 S
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;9.0;63;-1.0;Helden_der_Flusslande;1000;Waffenvorteil
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;10.0;63;-1.0;Helden_der_Flusslande;1000;Gegen Reiter und Reittiere richtet der Albenhuser Rossschinder +1 TP an, wenn er von einem Fußkämpfer eingesetzt wird. PA mit einem Schild ist für den Gegner zudem um –1 erschwert.
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;11.0;63;-1.0;Helden_der_Flusslande;1000;Waffennachteil
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;12.0;63;-1.0;Helden_der_Flusslande;1000;Im Status
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;13.0;63;-1.0;Helden_der_Flusslande;1000;Eingeengt
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;14.0;63;-1.0;Helden_der_Flusslande;1000;sind AT und PA mit dem Albenhuser Rossschinder zusätzlich um je –1 erschwert.
PDTrueTypeFont XDDCID+Andalus;false;false;15.0;63;-1.0;Helden_der_Flusslande;1800;Waffen
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;16.0;63;-1.0;Helden_der_Flusslande;1300;Der Albenhuser Rossschinder
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;17.0;63;-1.0;Helden_der_Flusslande;1000;»
PDType0Font/PDCIDFontType2, PostScript name: FCCYQN+GentiumBasic-Italic;false;true;18.0;63;-1.0;Helden_der_Flusslande;1000;Das ist eine Waffe für Räuberabschaum und Hasenfü
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;19.0;63;-1.0;Helden_der_Flusslande;1000;-
