FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont XDDCID+Andalus;false;false;1.0;77;-1.0;Helden_der_Flusslande;1200;Rüstkammer der Flusslande
PDTrueTypeFont XDDCID+Andalus;false;false;2.0;77;-1.0;Helden_der_Flusslande;1800;Werkzeuge und Improvisierte Waffen
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;3.0;77;-1.0;Helden_der_Flusslande;1300;Der Koscher Grevenstecken
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;4.0;77;-1.0;Helden_der_Flusslande;1000;»
PDType0Font/PDCIDFontType2, PostScript name: FCCYQN+GentiumBasic-Italic;false;true;5.0;77;-1.0;Helden_der_Flusslande;1000;Und ob ich eine Amtfrau des Koscher Fürsten bin! Siehst du nicht meinen Grevenstecken, Bursche? Ach
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;6.0;77;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FCCYQN+GentiumBasic-Italic;false;true;7.0;77;-1.0;Helden_der_Flusslande;1000;te besser auf deinen Tonfall, sonst zeige ich dir, dass man das Lot nicht bloß zum Messen verwenden kann.
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;8.0;77;-1.0;Helden_der_Flusslande;1000;«
PDType0Font/PDCIDFontType2, PostScript name: FCCYQN+GentiumBasic-Italic;false;true;9.0;77;-1.0;Helden_der_Flusslande;1000;—Padora Dinkelkorn, Koscher Almgrevin, 1040 BF
PDType0Font/PDCIDFontType2, PostScript name: UBPKSJ+GentiumBasic;false;false;10.0;77;-1.0;Helden_der_Flusslande;1000;Ein Gebrauchsgegenstand, der in dieser Form wohl nur im Koscher Land zu finden ist, ist der Grevenstecken. Es ist Amtsinsignium, Werkzeug und Waf
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;11.0;77;-1.0;Helden_der_Flusslande;1000;-fe der Almgreven, die
PDType0Font/PDCIDFontType2, PostScript name: UBPKSJ+GentiumBasic;false;false;12.0;77;-1.0;Helden_der_Flusslande;1000;über den Frieden unter den Bergbauern und die Einhaltung der Grenz
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;13.0;77;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UBPKSJ+GentiumBasic;false;false;14.0;77;-1.0;Helden_der_Flusslande;1000;ziehungen wachen und daher bisweilen auch Grenzgreven genannt
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;15.0;77;-1.0;Helden_der_Flusslande;1000;werden. Der Koscher
PDType0Font/PDCIDFontType2, PostScript name: UBPKSJ+GentiumBasic;false;false;16.0;77;-1.0;Helden_der_Flusslande;1000;Grevenstecken ist ein Holzstab mit einer soliden Stahlspitze am unteren Ende und einem Haken am oberen Ende, an dem ein eisernes Lot zur Landvermessung befestigt ist. Der mit zahlreichen Kerben und Markierungen ver
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;17.0;77;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UBPKSJ+GentiumBasic;false;false;18.0;77;-1.0;Helden_der_Flusslande;1000;sehene Stab dient ebenfalls als Vermessungsinstru
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;19.0;77;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UBPKSJ+GentiumBasic;false;false;20.0;77;-1.0;Helden_der_Flusslande;1000;ment und zugleich auch als verbindliches Richtmaß für Maße und Längen.Im Gegensatz zu den Vögten arbeiten die Almgreven nicht an einem festen Ort, sondern sind wandernde Beamte des Koscher Fürsten, die das ihnen anvertraute Gebiet durchstreifen und die Vollmacht besitzen, jeder
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;21.0;77;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UBPKSJ+GentiumBasic;false;false;22.0;77;-1.0;Helden_der_Flusslande;1000;zeit Entscheidungen zu fällen und deren Durchsetzung zu veranlassen. Gerade im dünn besiedelten Koscher Bergland muss der Grevenstecken daher nicht nur als Statussymbol, Wanderstab und Kletterhilfe, sondern bisweilen auch als Waffe herhalten, wenn es gilt, wil
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;23.0;77;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UBPKSJ+GentiumBasic;false;false;24.0;77;-1.0;Helden_der_Flusslande;1000;de Tiere oder Raubgesindel auf Abstand zu halten. Im Kampf lässt sich der Grevenstecken sowohl als Spieß, durch das massive Eisenlot aber auch als improvisierter
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;25.0;77;-1.0;Helden_der_Flusslande;1000;Morgenstern verwenden.
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;26.0;77;-1.0;Helden_der_Flusslande;1000;Koscher GrevensteckenKomplexität
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;27.0;77;-1.0;Helden_der_Flusslande;1000;prim
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;28.0;77;-1.0;Helden_der_Flusslande;900;NameKampftechnikTPL+S
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;29.0;77;-1.0;Helden_der_Flusslande;800;AT/PA-Mod
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;30.0;77;-1.0;Helden_der_Flusslande;900;RWGewichtLängePreis
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;31.0;77;-1.0;Helden_der_Flusslande;1000;Koscher Grevenstecken
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;32.0;77;-1.0;Helden_der_Flusslande;1000;(i)Hiebwaffen1W3+1KK 16–1/–2mittel1,5 Stn80 HF18 S
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;33.0;77;-1.0;Helden_der_Flusslande;1000;Waffenvorteil
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;34.0;77;-1.0;Helden_der_Flusslande;1000;Bei einer Parade gegen einen Grevenstecken (egal ob gelungen oder misslungen) oder bei einer mit einem Grevenstecken parierten AT verhakt sich die andere Waffe im Lot des Grevensteckens – die nächste Aktion des Trägers der verhakten Waffe ist um –2 Punkte erschwert.
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;35.0;77;-1.0;Helden_der_Flusslande;1000;Waffennachteil
