FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont XDDCID+Andalus;false;false;1.0;72;-1.0;Helden_der_Flusslande;1800;Zwergisches Arsenal
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;2.0;72;-1.0;Helden_der_Flusslande;1300;Der Lûrer Lindwurmschläger
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;3.0;72;-1.0;Helden_der_Flusslande;1000;»Der
PDType0Font/PDCIDFontType2, PostScript name: FCCYQN+GentiumBasic-Italic;false;true;4.0;72;-1.0;Helden_der_Flusslande;1000;Lindwurmschläger ist das beste Bei
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;5.0;72;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FCCYQN+GentiumBasic-Italic;false;true;6.0;72;-1.0;Helden_der_Flusslande;1000;spiel dafür, dass es nicht auf die Größe an
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;7.0;72;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FCCYQN+GentiumBasic-Italic;false;true;8.0;72;-1.0;Helden_der_Flusslande;1000;kommt. Man muss weder ein Riese sein, noch bedarf es einer großen Axt, um Helden
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;9.0;72;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FCCYQN+GentiumBasic-Italic;false;true;10.0;72;-1.0;Helden_der_Flusslande;1000;taten zu vollbringen. Es kommt einzig darauf an, was in einem steckt. Und wenn das Richtige in einem steckt, dann kann sogar ein einzelner Angroscho einen Drachen zu Fall bringen.«—Zandrosch Sohn des Gandrosch, ambosszwergischer Söldner, neuzeitlich
PDType0Font/PDCIDFontType2, PostScript name: UBPKSJ+GentiumBasic;false;false;11.0;72;-1.0;Helden_der_Flusslande;1000;Der Lindwurmschläger ist das traditionelle ein
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;12.0;72;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UBPKSJ+GentiumBasic;false;false;13.0;72;-1.0;Helden_der_Flusslande;1000;händige Kampfbeil des Zwergenvolks, und keine andere Einhandwaffe ist unter den Angroschim weiter verbreitet. Er besitzt einen kurzen, eisen
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;14.0;72;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UBPKSJ+GentiumBasic;false;false;15.0;72;-1.0;Helden_der_Flusslande;1000;verstärkten Stiel und ein gebogenes, lang nach unten auslaufendes Blatt. Einige Varianten weisen zusätzlich einen Dorn auf, der hervorragend dazu geeignet ist, um eine Lücke zwischen Drachenschuppen, aber auch zwischen Rüstungsplatten zu reißen. Der Griff ist durch seine Größe und Machart speziell für die Hand eines Zwerges ausgelegt, weshalb die Waffe für Menschen unhandlich und schwer zu führen ist. Unter den An
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;16.0;72;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UBPKSJ+GentiumBasic;false;false;17.0;72;-1.0;Helden_der_Flusslande;1000;groschim heißt es, die besten Lindwurmschläger wür
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;18.0;72;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UBPKSJ+GentiumBasic;false;false;19.0;72;-1.0;Helden_der_Flusslande;1000;den in der ambosszwergischen Siedlung Lûr gefertigt. Ebenso alt wie die Form des Lûrer Lindwurmschlägers ist die daran ausgerichtete zwergische Kampfkunst, de
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;20.0;72;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UBPKSJ+GentiumBasic;false;false;21.0;72;-1.0;Helden_der_Flusslande;1000;ren Schwerpunkt im Kampf gegen große Kreaturen wie den namensgebenden Lindwurm liegt. Oft wird eine sol
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;22.0;72;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UBPKSJ+GentiumBasic;false;false;23.0;72;-1.0;Helden_der_Flusslande;1000;che Axt innerhalb einer Familie von Generation zu Ge
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;24.0;72;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UBPKSJ+GentiumBasic;false;false;25.0;72;-1.0;Helden_der_Flusslande;1000;neration weitergegeben und ist nicht nur sorgfältig ge
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;26.0;72;-1.0;Helden_der_Flusslande;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UBPKSJ+GentiumBasic;false;false;27.0;72;-1.0;Helden_der_Flusslande;1000;hütetes Erbstück, sondern auch Gegenstand zahlreicher Heldengeschichten und Familienerinnerungen.
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;28.0;72;-1.0;Helden_der_Flusslande;1000;Hügelzwergisches KurzschwertKomplexität
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;29.0;72;-1.0;Helden_der_Flusslande;1000;einf
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;30.0;72;-1.0;Helden_der_Flusslande;900;NameKampftechnikTPL+S
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;31.0;72;-1.0;Helden_der_Flusslande;800;AT/PA-Mod
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;32.0;72;-1.0;Helden_der_Flusslande;900;RWGewichtLängePreis
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;33.0;72;-1.0;Helden_der_Flusslande;1000;Hügelzwergisches Kurzschwert
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;34.0;72;-1.0;Helden_der_Flusslande;1000;Schwerter1W6+1GE/KK 140/0kurz0,75 Stn50 HF140 S
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;35.0;72;-1.0;Helden_der_Flusslande;1000;Anmerkung
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;36.0;72;-1.0;Helden_der_Flusslande;1000;Um die Waffe bei der Heldenerschaffung zu erwerben, muss der Held der Kultur Hügelzwerge angehören.
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;37.0;72;-1.0;Helden_der_Flusslande;1000;Waffenvorteil
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;38.0;72;-1.0;Helden_der_Flusslande;1000;In beengter Umgebung (siehe
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;39.0;72;-1.0;Helden_der_Flusslande;1000;Regelwerk
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;40.0;72;-1.0;Helden_der_Flusslande;1000;Seite
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;41.0;72;-1.0;Helden_der_Flusslande;1000;35/36
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;42.0;72;-1.0;Helden_der_Flusslande;1000;und
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;43.0;72;-1.0;Helden_der_Flusslande;1000;Kodex des Schwertes
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;44.0;72;-1.0;Helden_der_Flusslande;1000;Seite
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;45.0;72;-1.0;Helden_der_Flusslande;1000;74
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;46.0;72;-1.0;Helden_der_Flusslande;1000;) erleidet ein Gegner des Trägers des Hügelzwergischen Kurzschwerts einen zusätzlichen Abzug von –1 auf PA.
PDTrueTypeFont JIAWUF+GentiumBasic-Bold;true;false;47.0;72;-1.0;Helden_der_Flusslande;1000;Waffennachteil
PDTrueTypeFont QVMMOR+GentiumBasic;false;false;48.0;72;-1.0;Helden_der_Flusslande;1000;Wird ein Hügelzwergisches Kurzschwert von Nichtzwergen geführt, erhält es einen Malus von –2 auf AT, PA und TP. Im Kampf gegen Waffen mit Reichweite
PDTrueTypeFont BWZAMV+GentiumBasic-Italic;false;true;49.0;72;-1.0;Helden_der_Flusslande;1000;lang
