FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont KYDWUY+Andalus;false;false;1.0;39;-1.0;Helden_der_Siebenwindküste;1200;Regeln der Siebenwindküste
PDTrueTypeFont KYDWUY+Andalus;false;false;2.0;39;-1.0;Helden_der_Siebenwindküste;1300;38
PDTrueTypeFont KYDWUY+Andalus;false;false;3.0;39;-1.0;Helden_der_Siebenwindküste;1800;Kampfstilsonderfertigkeiten
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;4.0;39;-1.0;Helden_der_Siebenwindküste;1300;Distelritter-Stil
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;5.0;39;-1.0;Helden_der_Siebenwindküste;1000;(passiv)
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;6.0;39;-1.0;Helden_der_Siebenwindküste;1300;
PDTrueTypeFont KYDWUY+Andalus;false;false;7.0;39;-1.0;Helden_der_Siebenwindküste;800;BK
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;8.0;39;-1.0;Helden_der_Siebenwindküste;1000;Die unnahbaren Distelritter gelten als vorzügliche Reiter, die ihr Pferd im Kampf mit unglaublicher Präzision lenken können.
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;9.0;39;-1.0;Helden_der_Siebenwindküste;1000;Regel
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;10.0;39;-1.0;Helden_der_Siebenwindküste;1000;Kämpft der Held beritten gegen Fußkämpfer, erhöht sich die aus der
PDTrueTypeFont VZQKSC+GentiumBasic-Italic;false;true;11.0;39;-1.0;Helden_der_Siebenwindküste;1000;Vorteilhaften Position
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;12.0;39;-1.0;Helden_der_Siebenwindküste;1000;resultierende Erleichterung auf AT um +2 (siehe
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;13.0;39;-1.0;Helden_der_Siebenwindküste;1000;Regelwerk
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;14.0;39;-1.0;Helden_der_Siebenwindküste;1000;Seite
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;15.0;39;-1.0;Helden_der_Siebenwindküste;1000;238/240
