FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont KYDWUY+Andalus;false;false;1.0;8;-1.0;Helden_der_Siebenwindküste;1300;7
PDTrueTypeFont VZQKSC+GentiumBasic-Italic;false;true;2.0;8;-1.0;Helden_der_Siebenwindküste;1000;»Das raue Klima an der Siebenwindküste hat einen äußerst eigenwilligen Menschenschlag hervorgebracht, dem vor allem eines wichtig ist – seine Freiheit. Auch wenn sich immer wieder zeigt, dass die abwechslungsreichen Regionen die Menschen ganz unterschiedlich formen, ist der Wille, die eigene Selbstbestimmung bedingungslos zu verteidigen, sowohl bei den Alberniern wie auch bei den Windhagern weit verbreitet.Die Bewohner der Küsten sind sich durchaus ähnlich, ob es sich dabei um eine verwegene Schmugglerin aus dem Windhag han-
PDType0Font/PDCIDFontType2, PostScript name: XCPWUY+GentiumBasic-Italic;false;true;3.0;8;-1.0;Helden_der_Siebenwindküste;1000;delt, einen pflichtbewussten Seesoldaten der mittelreichischen Westflotte oder eine Schwertgesellin nach Meisterin Scanlail ni
PDTrueTypeFont VZQKSC+GentiumBasic-Italic;false;true;4.0;8;-1.0;Helden_der_Siebenwindküste;1000;Uinin aus Havena, die sich als Seesöldnerin oder als Geleitschutz für Handelsreisende verdingt hat. Wind und Wogen sowie die anhaltende Gischt formen zupackende und tapfere Leute, die sich mit Efferds Segen jeder Herausforderung stellen. Das Wort der Geweihten ist vielen von ihnen oberstes Gesetz, und nur die wenigsten wagen es, ihren Rat in den Wind zu schlagen. In den steilen und unzugänglichen Bergen leben die Sippen des Windhag, die ganz famose Sippenkrieger kennen und nur wenig auf Herrschaftsanspruch und Ränke des Adels geben.Die Menschen des Seenlandes fürchten die Geister der Moore und des Nebels, und im Nordwesten Albernias, wo dichte und verwunschene Wälder die Landschaft prägen und die Feen herrschen, sind die Menschen rau und oft recht wortkarg. Besonders die Distelritter des Hauses Fenwasian sind unheimliche Gesellen, die mit den Feen im Bunde stehen sollen. Aber auch im Bredenhager Land braucht es wagemutige und ausdauernde Recken, um das Land zu schützen. Die bekanntesten sind sicher die Heckenreiter, die sich von nichts und niemandem aufhalten lassen, wenn sie sich einmal auf die Fährte eines Übeltäters gesetzt haben.Dann gibt es an der Siebenwindküste noch die Ceoladir, die zaubermächtigen Barden Albernias. Sie ziehen von Ort zu Ort, immer auf der Suche nach spannenden Geschichten, die es zu bewahren und zu verbreiten gilt. Ja, deren Melodie solltet Ihr unbedingt einmal lauschen, wenn es Euch in diesen Landstrich verschlägt!«—Lyssandra della Pallyo, Geschichtskundige von der Nandus-Schule zu Methumis, 1029 BF
PDTrueTypeFont KYDWUY+Andalus;false;false;5.0;8;-1.0;Helden_der_Siebenwindküste;1800;Weltliche Professionen
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;6.0;8;-1.0;Helden_der_Siebenwindküste;1300;Albernischer Seefahrer
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;7.0;8;-1.0;Helden_der_Siebenwindküste;1000;Seefahrer kann man überall an den Küsten Aventuriens
PDType0Font/PDCIDFontType2, PostScript name: FTQSCI+GentiumBasic;false;false;8.0;8;-1.0;Helden_der_Siebenwindküste;1000;finden. Der albernische Seefahrer sticht jedoch aus der
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;9.0;8;-1.0;Helden_der_Siebenwindküste;1000;Masse der Matrosen hervor. Er ist mit seiner Heimat genauso verbunden wie mit dem Meer und fürchtet und liebt Efferd gleichermaßen. Als Mittelreicher betrachtet er bereits den Dschungel des Regengebirges als Ende der ihm bekannten Welt, doch ihn lockt vor allem die Exotik noch weiter entfernter Orte, wie der Tulamidenlande, der Waldinseln oder Uthurias. Das größte Abenteuer seines Lebens mag der albernische Seefahrer aber in
PDTrueTypeFont KYDWUY+Andalus;false;false;1.0;9;-1.0;Helden_der_Siebenwindküste;1200;Helden der Siebenwindküste
