FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont KYDWUY+Andalus;false;false;1.0;86;-1.0;Helden_der_Siebenwindküste;1300;85
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;2.0;86;-1.0;Helden_der_Siebenwindküste;1300;Das Windhager Drachenmesser
PDTrueTypeFont VZQKSC+GentiumBasic-Italic;false;true;3.0;86;-1.0;Helden_der_Siebenwindküste;1000;»Das Drachenmesser ist eine Waffe der Ehre und der Tradition. Es gehört zu den Sippen, wie die Sippen zu den Windhagbergen gehören. Mit Stolz wage ich zu behaupten, dass es Cortak selbst war, der einst das erste Drachenmesser schuf, nachdem es ihm gelungen war, den Grauen Dumbracor, den Herrn der Westwinddrachen, zu überlisten. Man sagt, ein Druide aus dem Volk der Angroschim habe ihm gezeigt, wie man einen Drachenzahn bearbeitet und zu einer Waffe formt, die sowohl Drachen als auch anderes Zaubergezücht das Fürchten lehrt. Allein wenn es gilt, die Herrin vom See aufzusuchen, solltest du dein Drachenmesser ablegen. Die erhabene Thalaria mag diese Klingen nicht.«—Algire, Sippenführerin von Cortaks Sippe, neuzeitlich
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;4.0;86;-1.0;Helden_der_Siebenwindküste;900;Die traditionellen Messer der freien Windhager Sippen sind bis heute legendenumwoben, auch wenn bei weitem nicht mehr jedes Stück aus einem Drachenzahn hergestellt wird. Weil es im Windhag aber nur wenig gutes Erz gibt, sind noch immer viele Klingen aus der Beute
PDType0Font/PDCIDFontType2, PostScript name: MMXRCQ+GentiumBasic;false;false;5.0;86;-1.0;Helden_der_Siebenwindküste;900;wackerer Drachentöter oder findiger Jäger gefertigt und
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;6.0;86;-1.0;Helden_der_Siebenwindküste;900;deutlich seltener aus Stahl geschmiedet.
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;7.0;86;-1.0;Helden_der_Siebenwindküste;1300;Die Windhager Schleuder
PDTrueTypeFont VZQKSC+GentiumBasic-Italic;false;true;8.0;86;-1.0;Helden_der_Siebenwindküste;1000;»Lass die Grangorier ruhig über uns lachen und die Schleuder als primitive Waffe abtun. Sie vergessen nur zu gern, dass sie schon zu Zeiten der Altvorderen im bosparanischen Heer eingesetzt wurden – in ihren eigenen verdammten Legionen!Die Schleuder ist eine mächtige Waffe und ein gutes Jagdinstrument, wenn du sie einzusetzen weißt. Das braucht Übung, mach dir da nichts vor! Also, nimm die Schlinge und lege einen Feuerstein hinein. Dann lass die Schleuder über deinen Kopf kreisen oder an deiner Seite. Tust du das schnell genug, lass ein Ende der Schlinge los, dann
PDType0Font/PDCIDFontType2, PostScript name: GLTCWC+GentiumBasic-Italic;false;true;9.0;86;-1.0;Helden_der_Siebenwindküste;1000;fliegt der Stein. Es mag eine Weile dauern, bis
PDTrueTypeFont VZQKSC+GentiumBasic-Italic;false;true;10.0;86;-1.0;Helden_der_Siebenwindküste;1000;du das triffst, was du anvisiert hast, aber lass dich davon nicht entmutigen. Auch du wirst eines Tages die Schleuder meistern und Vögel damit vom Himmel holen oder Reiter aus dem Sattel.«—Stuaich Kleibock aus Udamans Sippe, Windhager Sippenkrieger, neuzeitlich
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;11.0;86;-1.0;Helden_der_Siebenwindküste;1000;Da die Windhagberge wenig Holz bieten, aus dem man zuverlässige Bögen bauen kann, behilft man sich hierzulande auf andere Weise. Die Hirten der Region fertigen aus geschmeidigem Schafsleder treffsichere Schleudern als etwa einen halben Schritt lange Lederschlinge, in die der zu schleudernde Stein gelegt wird. Mit diesen Fernkampfwaffen verteidigen sie ihre Herden gegen Raubtiere und gehen auf die Jagd nach Vögeln. Der gekonnte Einsatz einer Schleuder erfordert jahrelange Übung. Ein erfahrener Schütze kann jedoch sogar einen Reiter mit einem einzigen gutgezielten Treffer vom Pferd holen.
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;12.0;86;-1.0;Helden_der_Siebenwindküste;900;Auch bei Aufständischen und den Sippenkriegern des Windhags ist diese Waffe äußerst beliebt. Eine Schleuder ist schnell zusammengelegt und lässt sich gut als Gürtel oder Lederbebänderung tarnen. Sie ist daher kaum als Waffe zu erkennen, bis der Schütze seine Schlinge kreisen lässt. Munition ist leicht verfügbar und ebenso unauffällig zu transportieren. Besonders beliebt sind scharfe Splitter aus Feuerstein, die schmerzhafte Wunden reißen können.
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;13.0;86;-1.0;Helden_der_Siebenwindküste;900;Windhager SchleuderKomplexität
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;14.0;86;-1.0;Helden_der_Siebenwindküste;900;prim
