FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont SSEKCN+GentiumBasic-Bold;true;false;31.0;30;-1.0;Helden_der_Winterwacht;1300;Ackerbau
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;32.0;30;-1.0;Helden_der_Winterwacht;1000;Jeder kann Saatgut ausstreuen, aber nicht jeder kennt sich mit dem erfolgreichen Züchten von Feldfrüchten und Getreide aus. Wie kann man Ungezieferbefall auf-
PDType0Font/PDCIDFontType2, PostScript name: ZYTGAV+GentiumBasic;false;false;33.0;30;-1.0;Helden_der_Winterwacht;1000;halten? Wie viel Wasser brauchen die Pflanzen? Womit
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;34.0;30;-1.0;Helden_der_Winterwacht;1000;düngt man am besten den Boden?
PDTrueTypeFont SSEKCN+GentiumBasic-Bold;true;false;35.0;30;-1.0;Helden_der_Winterwacht;1000;Regel
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;36.0;30;-1.0;Helden_der_Winterwacht;1000;Ackerbau ist eine Einsatzmöglichkeit für
PDType0Font/PDCIDFontType2, PostScript name: SLHQGJ+GentiumBasic-Italic;false;true;37.0;30;-1.0;Helden_der_Winterwacht;1000;Pflan
PDTrueTypeFont JCOIGF+GentiumBasic-Italic;false;true;38.0;30;-1.0;Helden_der_Winterwacht;1000;-
PDType0Font/PDCIDFontType2, PostScript name: SLHQGJ+GentiumBasic-Italic;false;true;39.0;30;-1.0;Helden_der_Winterwacht;1000;zenkunde (Nutzpflanzen)
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;40.0;30;-1.0;Helden_der_Winterwacht;1000;. Ein Held, der über die Sonderfertigkeit verfügt, kennt sich damit aus, Äcker zu
PDType0Font/PDCIDFontType2, PostScript name: ZYTGAV+GentiumBasic;false;false;41.0;30;-1.0;Helden_der_Winterwacht;1000;bestellen und die Aussaat ordnungsgemäß zu pflegen
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;42.0;30;-1.0;Helden_der_Winterwacht;1000;und zu ernten. Ohne die Sonderfertigkeit wird der Ertrag deutlich geringer ausfallen.
PDTrueTypeFont SSEKCN+GentiumBasic-Bold;true;false;43.0;30;-1.0;Helden_der_Winterwacht;1000;Voraussetzung
