FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont BQGGSV+Andalus;false;false;1.0;9;-1.0;Helden_der_Winterwacht;1200;Helden der Winterwacht
PDTrueTypeFont BQGGSV+Andalus;false;false;2.0;9;-1.0;Helden_der_Winterwacht;1300;8
PDTrueTypeFont SSEKCN+GentiumBasic-Bold;true;false;3.0;9;-1.0;Helden_der_Winterwacht;1300;Freibund-Kontoristin
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;4.0;9;-1.0;Helden_der_Winterwacht;1000;Im Dienste eines der im Freibund zusammengeschlos
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;5.0;9;-1.0;Helden_der_Winterwacht;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;6.0;9;-1.0;Helden_der_Winterwacht;1000;senen Handelshäuser stehend, ist es an der Kontoristin, die örtliche Niederlassung gewinnbringend zu leiten. Neben alltäglichem Organisationstalent verfügt sie über kaufmännisches Gespür und weiß Gelegenheiten beim Schopfe zu packen. Fernhandel ist im Bornland eine auf
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;7.0;9;-1.0;Helden_der_Winterwacht;1000;-wändige und gefährliche Angelegenheit. Daher ist es eine
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;8.0;9;-1.0;Helden_der_Winterwacht;1000;der wichtigsten Aufgaben der Kontoristin, Handelszüge aufzustellen und für ihren Schutz zu sorgen. Sie heuert dafür Bewaffnete, Ortskundige oder andere Spezialisten an. Mitunter begibt sie sich selbst auf Reisen, denn die Be
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;9.0;9;-1.0;Helden_der_Winterwacht;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;10.0;9;-1.0;Helden_der_Winterwacht;1000;reitschaft, selbst mit anzufassen und Risiken einzugehen, wird im Freibund durchaus geschätzt.Die Kontoristin verkörpert das aufstrebende Selbstbe
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;11.0;9;-1.0;Helden_der_Winterwacht;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;12.0;9;-1.0;Helden_der_Winterwacht;1000;wusstsein des Bürgertums und macht durchaus von den finanziellen Ressourcen Gebrauch, die ihr zur Verfügung stehen. Um erfolgreich zu sein, bedarf es zudem eines gu
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;13.0;9;-1.0;Helden_der_Winterwacht;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;14.0;9;-1.0;Helden_der_Winterwacht;1000;ten Verständnisses der lokalen Verhältnisse abseits ihres Heimatkontors. Ob im Umgang mit Bronnjaren oder wan
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;15.0;9;-1.0;Helden_der_Winterwacht;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;16.0;9;-1.0;Helden_der_Winterwacht;1000;dernden norbardischen Sippen: ihr Talent, den richtigen Ton anzuschlagen, kann Türen und Tore öffnen, die an
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;17.0;9;-1.0;Helden_der_Winterwacht;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;18.0;9;-1.0;Helden_der_Winterwacht;1000;deren verschlossen bleiben. Das Verhandlungsgeschick der Kontoristin wird weithin geschätzt. Ihre gesellschaft
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;19.0;9;-1.0;Helden_der_Winterwacht;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;20.0;9;-1.0;Helden_der_Winterwacht;1000;liche Anpassungsfähigkeit kann auch einer Abenteurer
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;21.0;9;-1.0;Helden_der_Winterwacht;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;22.0;9;-1.0;Helden_der_Winterwacht;1000;gruppe zugutekommen.
PDTrueTypeFont BQGGSV+Andalus;false;false;23.0;9;-1.0;Helden_der_Winterwacht;1800;Weltliche Professionen
PDTrueTypeFont SSEKCN+GentiumBasic-Bold;true;false;24.0;9;-1.0;Helden_der_Winterwacht;1000;Kleidung und Tracht
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;25.0;9;-1.0;Helden_der_Winterwacht;1000;Als Angestellte eines Handelshauses besitzt die Kontoristin mindestens zwei Garnituren Kleidung. Bei ihrer Arbeit trägt sie einen schlicht gehaltenen Amtskittel, auf Reisen hingegen ein Gewand, das der bornischen Witterung standhalten kann. Wenn es die Situation verlangt, legt sie einen Gambeson an. Außer Dolch oder Kampfstab benutzt die Kon
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;26.0;9;-1.0;Helden_der_Winterwacht;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;27.0;9;-1.0;Helden_der_Winterwacht;1000;toristin nur selten Waffen. Sie kann eine Kaleschka lenken und besitzt oft sogar ein eigenes Gefährt.
PDTrueTypeFont SSEKCN+GentiumBasic-Bold;true;false;28.0;9;-1.0;Helden_der_Winterwacht;1300;Freibund-Kontoristin
PDTrueTypeFont JCOIGF+GentiumBasic-Italic;false;true;29.0;9;-1.0;Helden_der_Winterwacht;1000;Professionspaket
PDTrueTypeFont SSEKCN+GentiumBasic-Bold;true;false;30.0;9;-1.0;Helden_der_Winterwacht;1000;AP-Wert
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;31.0;9;-1.0;Helden_der_Winterwacht;1000;248 Abenteuerpunkte
PDTrueTypeFont SSEKCN+GentiumBasic-Bold;true;false;32.0;9;-1.0;Helden_der_Winterwacht;1000;Voraussetzungen
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;33.0;9;-1.0;Helden_der_Winterwacht;1000;keine
PDTrueTypeFont SSEKCN+GentiumBasic-Bold;true;false;34.0;9;-1.0;Helden_der_Winterwacht;1000;Sonderfertigkeiten
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;35.0;9;-1.0;Helden_der_Winterwacht;1000;Sprachen und Schriften für insgesamt 12 Abenteuerpunkte, Fertigkeitsspezialisierung Handel
PDTrueTypeFont SSEKCN+GentiumBasic-Bold;true;false;36.0;9;-1.0;Helden_der_Winterwacht;1000;Passender Talentstil
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;37.0;9;-1.0;Helden_der_Winterwacht;1000;Weg der Kontoristin (8 AP)
PDTrueTypeFont SSEKCN+GentiumBasic-Bold;true;false;38.0;9;-1.0;Helden_der_Winterwacht;1000;Kampftechniken
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;39.0;9;-1.0;Helden_der_Winterwacht;1000;Armbrüste 8, Dolche 8, Raufen 8
PDTrueTypeFont SSEKCN+GentiumBasic-Bold;true;false;40.0;9;-1.0;Helden_der_Winterwacht;1000;Talente
PDTrueTypeFont JCOIGF+GentiumBasic-Italic;false;true;41.0;9;-1.0;Helden_der_Winterwacht;1000;Körper:
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;42.0;9;-1.0;Helden_der_Winterwacht;1000;Selbstbeherrschung 4, Sinnesschärfe 4, Taschendiebstahl 3, Verbergen 3
PDTrueTypeFont JCOIGF+GentiumBasic-Italic;false;true;43.0;9;-1.0;Helden_der_Winterwacht;1000;Gesellschaft
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;44.0;9;-1.0;Helden_der_Winterwacht;1000;Betören 3, Einschüchtern 3, Etikette 6, Gassenwissen 5, Menschenkenntnis 6, Überreden 6, Willenskraft 5
PDTrueTypeFont JCOIGF+GentiumBasic-Italic;false;true;45.0;9;-1.0;Helden_der_Winterwacht;1000;Natur:
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;46.0;9;-1.0;Helden_der_Winterwacht;1000;Orientierung 3
PDTrueTypeFont JCOIGF+GentiumBasic-Italic;false;true;47.0;9;-1.0;Helden_der_Winterwacht;1000;Wissen
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;48.0;9;-1.0;Helden_der_Winterwacht;1000;Brett- & Glücksspiel 2, Geographie 4, Geschichtswissen 4, Götter & Kulte 4, Mechanik 2, Rechnen 6, Rechtskunde 6, Sagen & Legenden 3
PDTrueTypeFont JCOIGF+GentiumBasic-Italic;false;true;49.0;9;-1.0;Helden_der_Winterwacht;1000;Handwerk
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;50.0;9;-1.0;Helden_der_Winterwacht;1000;Boote & Schiffe 2, Fahrzeuge 3, Handel 8, Malen & Zeichnen 3
PDTrueTypeFont SSEKCN+GentiumBasic-Bold;true;false;51.0;9;-1.0;Helden_der_Winterwacht;1000;Empfohlene Vorteile
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;52.0;9;-1.0;Helden_der_Winterwacht;1000;Geborener Redner, Hohe Seelenkraft, Reich, Soziale Anpassungsfähigkeit, Vertrauenerweckend
PDTrueTypeFont SSEKCN+GentiumBasic-Bold;true;false;53.0;9;-1.0;Helden_der_Winterwacht;1000;Empfohlene Nachteile
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;54.0;9;-1.0;Helden_der_Winterwacht;1000;Persönlichkeitsschwäche (Arroganz, Neid, Verwöhnt), Schlechte Eigen-
PDType0Font/PDCIDFontType2, PostScript name: TPWHLH+GentiumBasic;false;false;55.0;9;-1.0;Helden_der_Winterwacht;1000;schaft (Geiz, Goldgier), Verpflichtungen (Gilde,
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;56.0;9;-1.0;Helden_der_Winterwacht;1000;Handelsherr)
PDTrueTypeFont SSEKCN+GentiumBasic-Bold;true;false;57.0;9;-1.0;Helden_der_Winterwacht;1000;Ungeeignete Vorteile
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;58.0;9;-1.0;Helden_der_Winterwacht;1000;Adel
PDTrueTypeFont SSEKCN+GentiumBasic-Bold;true;false;59.0;9;-1.0;Helden_der_Winterwacht;1000;Ungeeignete Nachteile
PDTrueTypeFont BQGGSV+Andalus;false;false;1.0;10;-1.0;Helden_der_Winterwacht;1300;9
PDTrueTypeFont SSEKCN+GentiumBasic-Bold;true;false;2.0;10;-1.0;Helden_der_Winterwacht;1300;Goblinischer Rattenfänger
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;3.0;10;-1.0;Helden_der_Winterwacht;1000;In Festum sind Goblins zu einem festen Bestandteil der Bevölkerung geworden. Auch in Firunen sind sie neuer
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;4.0;10;-1.0;Helden_der_Winterwacht;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;5.0;10;-1.0;Helden_der_Winterwacht;1000;dings anzutreffen. In beiden Städten erledigen sie be
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;6.0;10;-1.0;Helden_der_Winterwacht;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;7.0;10;-1.0;Helden_der_Winterwacht;1000;reitwillig unehrenhafte Arbeiten. So lebt der goblini
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;8.0;10;-1.0;Helden_der_Winterwacht;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;9.0;10;-1.0;Helden_der_Winterwacht;1000;sche Rattenfänger von der Jagd auf mehrbeiniges, meist in Rudeln oder Schwärmen auftretendes Ungeziefer, das Menschen und Goblins gleichermaßen gefährlich werden kann. Die vom Weiten Rat ausgelobten Fangprä
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;10.0;10;-1.0;Helden_der_Winterwacht;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;11.0;10;-1.0;Helden_der_Winterwacht;1000;mien erlauben ihm eine einträgliche Beschäftigung. Mit einem nagelgespickten Knüppel steigt er in die Tiefen
PDTrueTypeFont SSEKCN+GentiumBasic-Bold;true;false;12.0;10;-1.0;Helden_der_Winterwacht;1000;Kleidung und Tracht
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;13.0;10;-1.0;Helden_der_Winterwacht;1000;Die Arbeitskluft des Rattenfängers ist schlicht ge
