FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont BQGGSV+Andalus;false;false;1.0;72;-1.0;Helden_der_Winterwacht;1300;71
PDTrueTypeFont BQGGSV+Andalus;false;false;2.0;72;-1.0;Helden_der_Winterwacht;1800;Rüstzeug
PDTrueTypeFont SSEKCN+GentiumBasic-Bold;true;false;3.0;72;-1.0;Helden_der_Winterwacht;1300;Der Bornische Eisenmantel
PDTrueTypeFont JCOIGF+GentiumBasic-Italic;false;true;4.0;72;-1.0;Helden_der_Winterwacht;1000;»Ich war der erste, der das Achterdeck des Festumer Kauffahrers enterte. Kaum war ich an Deck, sah ich mich auch schon ihrer Steuerfrau gegenüber. Sie trug nur einen Ledermantel, und ich dachte, ich könnte sie mit einem schnellen Hieb in die Seite zu Boden schicken. Aber weit gefehlt! Das war kein Ledermantel, sondern ein Bornischer Eisenmantel. Und ehe ich mich versah, hatte sie ihren eigenen Säbel gezogen und versuchte, es mir heimzuzahlen.«
PDType0Font/PDCIDFontType2, PostScript name: PLQSMT+GentiumBasic-Italic;false;true;5.0;72;-1.0;Helden_der_Winterwacht;1000;—Bericht des al’anfanischen Seeoffi
PDTrueTypeFont JCOIGF+GentiumBasic-Italic;false;true;6.0;72;-1.0;Helden_der_Winterwacht;1000;-ziers Diago Delazar über den Überfall auf das Handelsschiff ›Braut von Festum‹, 1028 BF
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;7.0;72;-1.0;Helden_der_Winterwacht;1000;Der knielange Mantel, dem man seine Schutzwirkung nicht auf den ersten Blick ansieht, hat als unauffällige Rüstung weite Verbreitung gefunden. Nach Brigantina-Machart sind Metallplatten auf festes Leder genietet. Darüber ist eine weitere Lederschicht genäht, sodass der eiserne Kern des Mantels dem flüchtigen Beobachter verborgen bleibt. Diese Form der Rüstung ist bei Fuhrleuten, Händlern und Seeleuten, aber auch bei zwielichtigen Gestalten beliebt. Sie kann vergleichsweise einfach hergestellt werden und so finden sich etwa auf dem Markt in Festum zahlreiche Exemplare ganz unterschiedlicher Qualität.
PDTrueTypeFont SSEKCN+GentiumBasic-Bold;true;false;8.0;72;-1.0;Helden_der_Winterwacht;1300;Die Goblinische Fellweste
PDTrueTypeFont JCOIGF+GentiumBasic-Italic;false;true;9.0;72;-1.0;Helden_der_Winterwacht;1000;»Diese tolldreisten Rotpelze haben schon wieder versucht, eines meiner Schafe zu stehlen! Ich bin ihnen nach und dem einen oder anderen habe ich auch mit meinem Hirtenstab einen ordentlichen Knuff verpasst. Aber bei dem dichten Fell und gepolstert durch ihre Fellwesten hat es ihnen wahrscheinlich nur halb so weh getan, wie es sollte. Und einer von denen trug doch tatsächlich eine ganz neue Weste aus frischem Schafsfell! Zehn Silbergroschen wette ich, dass es das Fell meiner guten Nokja war, die sie im letzten Mond geraubt haben.«—Tila, Hirtin aus der Baronie Firunshag, 1046 BF
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;10.0;72;-1.0;Helden_der_Winterwacht;1000;Ebenso sehr Kleidungsstück wie Rüstung, vermag die Goblinische Fellweste weder durch ihr Äußeres noch durch eine überragende Schutzwirkung hervorzuste
