FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont BQGGSV+Andalus;false;false;1.0;79;-1.0;Helden_der_Winterwacht;1200;Rüstkammer der Winterwacht
PDTrueTypeFont BQGGSV+Andalus;false;false;2.0;79;-1.0;Helden_der_Winterwacht;1300;78
PDTrueTypeFont BQGGSV+Andalus;false;false;3.0;79;-1.0;Helden_der_Winterwacht;1800;Besondere Gegenstände
PDTrueTypeFont SSEKCN+GentiumBasic-Bold;true;false;4.0;79;-1.0;Helden_der_Winterwacht;1300;Blitzwender
PDTrueTypeFont JCOIGF+GentiumBasic-Italic;false;true;5.0;79;-1.0;Helden_der_Winterwacht;1000;»Morgen erreichen wir dann Schwertbergen und werden Blitzwender sehen – eine Stiftung des sechsten Pilavtis-Barons Leomar, der damit gleichzeitig die Geburtsstunde des neuen Rondratempels der Stadt markierte! Also los, damit wir rechtzeitig ankommen!—Bruder Radumar zu seiner erschöpften Pilgergruppe, im Frühling 1041 BF
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;6.0;79;-1.0;Helden_der_Winterwacht;1000;Im Holz des schlichten rondrianischen Wappenschildes ist schwarz die Silhouette einer Löwin eingebrannt. Die Legende besagt, dass das Zeichen einst zu Zeiten der Priesterkaiser beim Kampf zwischen einem Baron von Pilavtis und den Schergen von Praioslob von Selem entstand, als der Baron einen Bannstrahl mit dem Schild auf seinen Verursacher zurückwarf.Der Schild wird heute im Tempel der Leuin von Schwert
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;7.0;79;-1.0;Helden_der_Winterwacht;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;8.0;79;-1.0;Helden_der_Winterwacht;1000;bergen ausgestellt und macht Schwertbergen zu einem beliebten Ziel für Pilger. Seit den Ereignissen um den Korsmalbund gibt es unter den Geweihten des Tempels Diskussionen, ob der Schild angesichts der Umwälzun
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;9.0;79;-1.0;Helden_der_Winterwacht;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;10.0;79;-1.0;Helden_der_Winterwacht;1000;gen im Bornland nicht vielleicht in die Hände eines ron
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;11.0;79;-1.0;Helden_der_Winterwacht;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;12.0;79;-1.0;Helden_der_Winterwacht;1000;dratreuen Streiters gehört. Andere sehen die Pilgerstät
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;13.0;79;-1.0;Helden_der_Winterwacht;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;14.0;79;-1.0;Helden_der_Winterwacht;1000;te in Gefahr, zumal ein geeigneter Träger für den Schild bisher noch nicht in Erscheinung getreten ist.
PDTrueTypeFont SSEKCN+GentiumBasic-Bold;true;false;15.0;79;-1.0;Helden_der_Winterwacht;1300;Das Eisschwert
PDTrueTypeFont JCOIGF+GentiumBasic-Italic;false;true;16.0;79;-1.0;Helden_der_Winterwacht;1000;»Eine Novizin aus dem dritten Jahr hat mir erzählt, dass Magister Eisblick seine Hand oben in den Walbergen beim Kampf gegen eine schreckliche Kreatur verloren hat. Aber Travin meint, das sei Unsinn. Er sagt, der Magister musste sich seine Hand mit einem magischen Schwert selbst abschlagen, um aus einer Felsspalte zu
PDType0Font/PDCIDFontType2, PostScript name: PLQSMT+GentiumBasic-Italic;false;true;17.0;79;-1.0;Helden_der_Winterwacht;1000;entkommen. Klingt auch seltsam, finde ich. Denkst du, wir
PDTrueTypeFont JCOIGF+GentiumBasic-Italic;false;true;18.0;79;-1.0;Helden_der_Winterwacht;1000;können den Magister im Unterricht danach fragen?«—Novizin Danjascha Donsemkin zu einer Mitschülerin, kurz vor ihrem ersten Seminar bei Magister Cirrusil Eisblick, Neersander Schule der Beherrschung, 1046 BF
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;19.0;79;-1.0;Helden_der_Winterwacht;1000;Nach Jahrzehnten der Suche gelang es dem fir
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;20.0;79;-1.0;Helden_der_Winterwacht;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;21.0;79;-1.0;Helden_der_Winterwacht;1000;nelfischen Magister
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;22.0;79;-1.0;Helden_der_Winterwacht;1000;
PDTrueTypeFont JCOIGF+GentiumBasic-Italic;false;true;23.0;79;-1.0;Helden_der_Winterwacht;1000;Cirrusil Eisblick
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;24.0;79;-1.0;Helden_der_Winterwacht;1000;(siehe
PDTrueTypeFont SSEKCN+GentiumBasic-Bold;true;false;25.0;79;-1.0;Helden_der_Winterwacht;1000;Region
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;26.0;79;-1.0;Helden_der_Winterwacht;1000;Seite
PDTrueTypeFont SSEKCN+GentiumBasic-Bold;true;false;27.0;79;-1.0;Helden_der_Winterwacht;1000;115
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;28.0;79;-1.0;Helden_der_Winterwacht;1000;) kürzlich, diese uralte Waffe in einer Schlucht in den Walbergen aufzuspüren. Nun befindet sie sich an der Neersander Schule der Beherrschung,
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;29.0;79;-1.0;Helden_der_Winterwacht;1000;wo sie analysiert und sicher verwahrt wird. Die Klinge
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;30.0;79;-1.0;Helden_der_Winterwacht;1000;mit einer Legierung aus Mondsilber, Stahl und gerin
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;31.0;79;-1.0;Helden_der_Winterwacht;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;32.0;79;-1.0;Helden_der_Winterwacht;1000;gen Mengen von Mindorium wirkt wie von einer bläu
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;33.0;79;-1.0;Helden_der_Winterwacht;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;34.0;79;-1.0;Helden_der_Winterwacht;1000;lichen Eisschicht überzogen, auf deren Oberfläche Lichtreflexionen schimmern, deren stetige Bewegung gefriert, sobald das Schwert berührt wird.Zur Zeit der Hochelfen wurde es im Kampf gegen die Streitmacht des Dhaza geführt. Magister Eisblick ahnt, dass dem Schwert nun erneut eine wichtige Rolle zukommen wird, denn wie damals greifen heute namen
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;35.0;79;-1.0;Helden_der_Winterwacht;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;36.0;79;-1.0;Helden_der_Winterwacht;1000;lose Horden nach dem Bornland. Da Eisblick jedoch seine Schwerthand bei der Bergung verlor, kann er die Waffe ih
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;37.0;79;-1.0;Helden_der_Winterwacht;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;38.0;79;-1.0;Helden_der_Winterwacht;1000;rer Rolle nicht mehr selbst zuführen. Er ist daher auf der Suche nach jemandem, der an seiner statt bereit ist, dem Dhaza mit dem Eisch
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;39.0;79;-1.0;Helden_der_Winterwacht;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;40.0;79;-1.0;Helden_der_Winterwacht;1000;wert entgegenzutreten.
PDTrueTypeFont JCOIGF+GentiumBasic-Italic;false;true;41.0;79;-1.0;Helden_der_Winterwacht;1000;»Hat dieser morsche Holzschild nun wirklich irgendwelche übernatürlichen Kräfte oder nicht?«—Carolan Calavanti, Vinsalter Streuner»Darum geht es nicht, Carolan. Sieh nur, wie viele Menschen jedes Jahr herkommen, nur um ihn zu sehen. Die Legende verleiht ihnen Mut. Und Mut können sie in diesen Zeiten gar nicht genug haben.«—Bruder Hilbert, Perainegeweihter
PDTrueTypeFont SSEKCN+GentiumBasic-Bold;true;false;42.0;79;-1.0;Helden_der_Winterwacht;1000;BlitzwenderKomplexität
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;43.0;79;-1.0;Helden_der_Winterwacht;1000;–
