FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont BQGGSV+Andalus;false;false;1.0;65;-1.0;Helden_der_Winterwacht;1200;Rüstkammer der Winterwacht
PDTrueTypeFont BQGGSV+Andalus;false;false;2.0;65;-1.0;Helden_der_Winterwacht;1300;64
PDTrueTypeFont SSEKCN+GentiumBasic-Bold;true;false;3.0;65;-1.0;Helden_der_Winterwacht;1300;Die Bornische Peitsche
PDTrueTypeFont JCOIGF+GentiumBasic-Italic;false;true;4.0;65;-1.0;Helden_der_Winterwacht;1000;»Die besten Fuhrmannspeitschen bekommst du im Bornland. Als ich angefangen habe, als Rollkutscher für den alten Stoerrebrandt zu fahren und seine Waren über das Gebirge zu bringen, da wusste ich, es gibt drei Dinge, auf die es ankommt: feste Stiefel, einen breiten Hut und eine gute Peitsche. Und bei einer guten Peitsche ist das richtige Leder ganz entscheidend ...«—Herbo Ranfel, legendärer Rollkutscher, neuzeitlich
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;5.0;65;-1.0;Helden_der_Winterwacht;1000;Die bornische Fuhrmannspeitsche ist als Gebrauchsgegenstand im gesam
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;6.0;65;-1.0;Helden_der_Winterwacht;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;7.0;65;-1.0;Helden_der_Winterwacht;1000;ten Bornland und den benachbarten Regionen beliebt und weit verbreitet. Fuhrleute, Rollkutscher und Norbar
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;8.0;65;-1.0;Helden_der_Winterwacht;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;9.0;65;-1.0;Helden_der_Winterwacht;1000;den auf ihren Wagen und Kaleschkas verlassen sich auf die robuste Peit
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;10.0;65;-1.0;Helden_der_Winterwacht;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;11.0;65;-1.0;Helden_der_Winterwacht;1000;sche mit dem kurzen Griff und der bis zu drei Schritt langen Peitschen
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;12.0;65;-1.0;Helden_der_Winterwacht;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;13.0;65;-1.0;Helden_der_Winterwacht;1000;schnur aus geflochtenen Lederbän
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;14.0;65;-1.0;Helden_der_Winterwacht;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;15.0;65;-1.0;Helden_der_Winterwacht;1000;dern. Viele von ihnen eignen sich über die Jahre großes Geschick im Umgang mit der Peitsche an, sodass sie diese auch zur Verteidigung gegen Wegelagerer und wilde Tiere geschickt einzuset
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;16.0;65;-1.0;Helden_der_Winterwacht;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;17.0;65;-1.0;Helden_der_Winterwacht;1000;zen wissen. Auf dem Land werden diese Peitschen häufig von halbwüchsigen Leibeigenen mit geschickten Fingern geflochten, in Festum dagegen liegt die Herstellung fest in der Hand einer Goblingroßfamilie, deren Erzeugnisse für ihre Langlebigkeit bekannt sind.
PDTrueTypeFont SSEKCN+GentiumBasic-Bold;true;false;18.0;65;-1.0;Helden_der_Winterwacht;1300;Das Bronnjarenschwert
PDTrueTypeFont JCOIGF+GentiumBasic-Italic;false;true;19.0;65;-1.0;Helden_der_Winterwacht;1000;»Vergiss niemals, was ich dich gelehrt habe: Achte die Götter, steh treu zu deinen Freunden und mutig gegenüber deinen Feinden. Trage dieses Schwert mit Ehre und zum Ruhme unserer Familie, wie es unsere Vorfahren seit den Tagen der Theaterritter getan haben. Und wenn dein Arm eines Tages zu schwach geworden ist, um die Klinge im Kampf zu führen, dann übergib sie an deinen Erben und er-
PDType0Font/PDCIDFontType2, PostScript name: PLQSMT+GentiumBasic-Italic;false;true;20.0;65;-1.0;Helden_der_Winterwacht;1000;mahne ihn seiner Pflichten.«—Gräfin Firunjeschka von Gulnitz, bei der Übergabe des
PDTrueTypeFont JCOIGF+GentiumBasic-Italic;false;true;21.0;65;-1.0;Helden_der_Winterwacht;1000;Schwerts an ihren Sohn, 932 BF
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;22.0;65;-1.0;Helden_der_Winterwacht;1000;Im Bornland gibt es kaum eine Bronnjarenfamilie, selbst unter denen, denen kaum mehr als ihr guter Name geblieben ist, die nicht über ein traditionelles Erbschwert verfügt, das von einer Generation an die nächste weitergegeben wird. Meist handelt es sich dabei um ein schweres Bastardschwert von fünf bis sechs Spann Länge. Viele dieser Schwerter sind reich verzierte Waffen, deren Pracht Herrschaftsanspruch und Selbstverständnis der Bronnjarenhäuser unter
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;23.0;65;-1.0;Helden_der_Winterwacht;1000;-streicht. Dementsprechend sind diese Schwerter auch
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;24.0;65;-1.0;Helden_der_Winterwacht;1000;innerhalb des bornländischen Adels wohlbekannt. Es erregt großes Aufsehen, wenn eine solche Klinge in fremde Hände gerät. Die meisten Bronnjaren wür
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;25.0;65;-1.0;Helden_der_Winterwacht;1000;-
PDType0Font/PDCIDFontType2, PostScript name: FOSPCN+GentiumBasic;false;false;26.0;65;-1.0;Helden_der_Winterwacht;1000;den eher hungern, als das Schwert ihrer Familie zu
PDTrueTypeFont TEFKKL+GentiumBasic;false;false;27.0;65;-1.0;Helden_der_Winterwacht;1000;verpfänden.
PDTrueTypeFont JCOIGF+GentiumBasic-Italic;false;true;28.0;65;-1.0;Helden_der_Winterwacht;1000;»Ich kannte mal einen Fuhrmann, der konnte den Docht einer brennenden Kerze aus drei Schritt Entfernung mit seiner Peitsche ausschlagen – und zwar ohne dass die Kerze dabei auch nur ins Schwanken geriet!«—Rowena aus dem Überwals, bornische Katzenhexe
PDTrueTypeFont SSEKCN+GentiumBasic-Bold;true;false;29.0;65;-1.0;Helden_der_Winterwacht;1000;Bornische PeitscheKomplexität einf
