FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;65.0;28;-1.0;Helden_des_Dornenreiches;1300;Drohgebärden
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;66.0;28;-1.0;Helden_des_Dornenreiches;1000;Barbarinnen und andere Kämpfer können durch wilde Schreie oder einschüchterndes Auftreten ihre Gegner in Angst und Schrecken versetzen.
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;67.0;28;-1.0;Helden_des_Dornenreiches;1000;Regel
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;68.0;28;-1.0;Helden_des_Dornenreiches;1000;Durch die Sonderfertigkeit erwirbt die Heldin eine Einsatzmöglichkeit für das Talent Einschüchtern. Die Abenteurerin kann mittels
PDTrueTypeFont OLYMCB+GentiumBasic-Italic;false;true;69.0;28;-1.0;Helden_des_Dornenreiches;1000;Einschüchtern (Drohung)
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;70.0;28;-1.0;Helden_des_Dornenreiches;1000;ihre Gegner während eines Kampfes in Angst versetzen. Die Heldin muss 1 Aktion aufwenden. Danach legt ihre Spielerin eine Probe auf
PDTrueTypeFont OLYMCB+GentiumBasic-Italic;false;true;71.0;28;-1.0;Helden_des_Dornenreiches;1000;Einschüchtern (Drohung)
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;72.0;28;-1.0;Helden_des_Dornenreiches;1000;ab. Bis zu QS+1 andere Personen ihrer Wahl in ihrer Sicht- und Hörreichweite bekommen in der nächsten Kampfrunde einen Malus von –1 AT, –1 Verteidigung, FK –1 (der Bonus ist nicht kumulativ mit weiteren Anwendungen der SF Drohgebärden).
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;73.0;28;-1.0;Helden_des_Dornenreiches;1000;Voraussetzungen
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;74.0;28;-1.0;Helden_des_Dornenreiches;1000;Einschüchtern 4
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;75.0;28;-1.0;Helden_des_Dornenreiches;1000;AP-Wert
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;76.0;28;-1.0;Helden_des_Dornenreiches;1000;10 Abenteuerpunkte
PDTrueTypeFont UUAWIP+Andalus;false;false;77.0;28;-1.0;Helden_des_Dornenreiches;1800;Allgemeine Sonderfertigkeiten
PDTrueTypeFont UUAWIP+Andalus;false;false;1.0;29;-1.0;Helden_des_Dornenreiches;1200;Helden aus dem Dornenreich
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;2.0;29;-1.0;Helden_des_Dornenreiches;1300;Einnahmequelle
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;3.0;29;-1.0;Helden_des_Dornenreiches;1000;Einige Helden sind deutlich geschickter darin, durch ihre Profession und Talente Geld zu verdienen. Ihre Einnahmequelle nutzen sie regelmäßiger und wissen, wie man genug Kunden und Schaulustige anzieht.
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;4.0;29;-1.0;Helden_des_Dornenreiches;1000;Regel
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;5.0;29;-1.0;Helden_des_Dornenreiches;1000;Der Held kann ein Talent zum Geld verdienen (siehe
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;6.0;29;-1.0;Helden_des_Dornenreiches;1000;Aventurisches Kompendium
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;7.0;29;-1.0;Helden_des_Dornenreiches;1000;Seite
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;8.0;29;-1.0;Helden_des_Dornenreiches;1000;11
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;9.0;29;-1.0;Helden_des_Dornenreiches;1000;) doppelt
PDType0Font/PDCIDFontType2, PostScript name: PDYJKE+GentiumBasic;false;false;10.0;29;-1.0;Helden_des_Dornenreiches;1000;so häufig wie üblich pro Tag oder Vorstellung einsetzen.
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;11.0;29;-1.0;Helden_des_Dornenreiches;1000;Voraussetzung
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;12.0;29;-1.0;Helden_des_Dornenreiches;1000;passende Talentstil-SF
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;13.0;29;-1.0;Helden_des_Dornenreiches;1000;AP-Wert
PDType0Font/PDCIDFontType2, PostScript name: PDYJKE+GentiumBasic;false;false;14.0;29;-1.0;Helden_des_Dornenreiches;1000;8 Abenteuerpunkte
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;15.0;29;-1.0;Helden_des_Dornenreiches;1300;Gerüchte aufschnappen
PDType0Font/PDCIDFontType2, PostScript name: PDYJKE+GentiumBasic;false;false;16.0;29;-1.0;Helden_des_Dornenreiches;1000;Manche Heldin hat einfach ein Händchen für die rich
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;17.0;29;-1.0;Helden_des_Dornenreiches;1000;-tigen Gesprächspartner und ist stets zur rechten
PDType0Font/PDCIDFontType2, PostScript name: PDYJKE+GentiumBasic;false;false;18.0;29;-1.0;Helden_des_Dornenreiches;1000;Zeit am rechten Ort. Es fällt ihr besonders leicht, im Alltagsgeschehen für sie nützliche Gerüchte und Infor
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;19.0;29;-1.0;Helden_des_Dornenreiches;1000;-mationen aufzuschnappen.
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;20.0;29;-1.0;Helden_des_Dornenreiches;1000;Regel
PDType0Font/PDCIDFontType2, PostScript name: PDYJKE+GentiumBasic;false;false;21.0;29;-1.0;Helden_des_Dornenreiches;1000;Die Heldin bekommt eine neue Einsatzmöglich
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;22.0;29;-1.0;Helden_des_Dornenreiches;1000;-
PDType0Font/PDCIDFontType2, PostScript name: PDYJKE+GentiumBasic;false;false;23.0;29;-1.0;Helden_des_Dornenreiches;1000;keit für das Talent
PDTrueTypeFont OLYMCB+GentiumBasic-Italic;false;true;24.0;29;-1.0;Helden_des_Dornenreiches;1000;Gassenwissen
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;25.0;29;-1.0;Helden_des_Dornenreiches;1000;. Sie kann einmal am
PDType0Font/PDCIDFontType2, PostScript name: PDYJKE+GentiumBasic;false;false;26.0;29;-1.0;Helden_des_Dornenreiches;1000;Tag in einem entsprechenden Umfeld eine Probe able
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;27.0;29;-1.0;Helden_des_Dornenreiches;1000;-gen und erhält je nach QS mehr oder weniger passen-
PDType0Font/PDCIDFontType2, PostScript name: PDYJKE+GentiumBasic;false;false;28.0;29;-1.0;Helden_des_Dornenreiches;1000;de Gerüchte zugetragen, die für sie vorteilhafte Infor
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;29.0;29;-1.0;Helden_des_Dornenreiches;1000;-
PDType0Font/PDCIDFontType2, PostScript name: PDYJKE+GentiumBasic;false;false;30.0;29;-1.0;Helden_des_Dornenreiches;1000;mationen beinhalten. Da es sich um Gerüchte handelt,
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;31.0;29;-1.0;Helden_des_Dornenreiches;1000;sind jedoch stets auch Fehlinformationen oder Unstimmigkeiten enthalten.
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;32.0;29;-1.0;Helden_des_Dornenreiches;1000;Voraussetzung
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;33.0;29;-1.0;Helden_des_Dornenreiches;1000;passende Talentstil-SF
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;34.0;29;-1.0;Helden_des_Dornenreiches;1000;AP-Wert
PDType0Font/PDCIDFontType2, PostScript name: PDYJKE+GentiumBasic;false;false;35.0;29;-1.0;Helden_des_Dornenreiches;1000;10 Abenteuerpunkte
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;36.0;29;-1.0;Helden_des_Dornenreiches;1300;Handwerkskunst
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;37.0;29;-1.0;Helden_des_Dornenreiches;1000;Nicht jeder Aventurier kennt sich in jedem Handwerk
PDType0Font/PDCIDFontType2, PostScript name: PDYJKE+GentiumBasic;false;false;38.0;29;-1.0;Helden_des_Dornenreiches;1000;gleich gut aus. Jene Handwerker, die ein bestimmtes
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;39.0;29;-1.0;Helden_des_Dornenreiches;1000;Die vorliegende Regel ist eine
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;40.0;29;-1.0;Helden_des_Dornenreiches;1000;Fokusregel der Stufe I
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;41.0;29;-1.0;Helden_des_Dornenreiches;1000;für den Themenkomplex
PDTrueTypeFont OLYMCB+GentiumBasic-Italic;false;true;42.0;29;-1.0;Helden_des_Dornenreiches;1000;Sonderfertigkeiten
