FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont UUAWIP+Andalus;false;false;1.0;9;-1.0;Helden_des_Dornenreiches;1200;Helden aus dem Dornenreich
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;2.0;9;-1.0;Helden_des_Dornenreiches;1300;Aranischer Sippenkrieger
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;3.0;9;-1.0;Helden_des_Dornenreiches;1000;In ganz Aranien ist es in wohlhabenden Familien Brauch, vielversprechende Nachkommen zur Ausbil
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;4.0;9;-1.0;Helden_des_Dornenreiches;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;5.0;9;-1.0;Helden_des_Dornenreiches;1000;dung an den Hof des Sippenvorstandes zu schicken. Zeit ihres Lebens stehen sie in der Schuld dieses Ober
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;6.0;9;-1.0;Helden_des_Dornenreiches;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;7.0;9;-1.0;Helden_des_Dornenreiches;1000;haupts, sofern sie ihre Ausbildung nicht mit Gold be
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;8.0;9;-1.0;Helden_des_Dornenreiches;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;9.0;9;-1.0;Helden_des_Dornenreiches;1000;zahlen können. Aranische Sippenkrieger würden anderswo Gardisten genannt werden, da ihre Haupt
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;10.0;9;-1.0;Helden_des_Dornenreiches;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;11.0;9;-1.0;Helden_des_Dornenreiches;1000;kompetenzen im Umgang mit Waffen und der virtuo
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;12.0;9;-1.0;Helden_des_Dornenreiches;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;13.0;9;-1.0;Helden_des_Dornenreiches;1000;sen Kenntnis allgemeiner und gehobener Etikette lie
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;14.0;9;-1.0;Helden_des_Dornenreiches;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;15.0;9;-1.0;Helden_des_Dornenreiches;1000;gen. Wo der aranische Sippenkrieger seine Tätigkeit als Wächter und Wahrer der Ruhe ausübt, hängt meist vom Willen seines Herrn ab. Grundsätzlich kümmert er sich, vor allem während der Ausbildung, um die ei
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;16.0;9;-1.0;Helden_des_Dornenreiches;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;17.0;9;-1.0;Helden_des_Dornenreiches;1000;genen Ländereien der Sippe sowie die Grenzgebiete. Später wird er jedoch ebenso oft ausgesandt, um die Familie zu repräsentieren, Kontakte zu knüpfen oder Konkurrenz und Feinden gewaltsam eine Lektion zu erteilen. Sich von der Pflicht gegenüber der Sippe frei
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;18.0;9;-1.0;Helden_des_Dornenreiches;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;19.0;9;-1.0;Helden_des_Dornenreiches;1000;zusprechen, ist mit sozialen Kosten verbunden, aber nicht unmöglich. Je nach der Rolle und den indivi
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;20.0;9;-1.0;Helden_des_Dornenreiches;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;21.0;9;-1.0;Helden_des_Dornenreiches;1000;duellen Beziehungen, die ein Sippenkrieger gepflegt hat, wird ihm mehr oder weniger Verständnis für die
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;22.0;9;-1.0;Helden_des_Dornenreiches;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;23.0;9;-1.0;Helden_des_Dornenreiches;1000;se Entscheidung entgegengebracht werden. Sein bei
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;24.0;9;-1.0;Helden_des_Dornenreiches;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;25.0;9;-1.0;Helden_des_Dornenreiches;1000;spielloser Mut, sein Stolz und seine Waffenfertigkeit werden allerdings durchaus gerne genutzt, um jen
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;26.0;9;-1.0;Helden_des_Dornenreiches;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;27.0;9;-1.0;Helden_des_Dornenreiches;1000;seits der Heimat einen guten Eindruck zu hinterlassen. Auch im rondragefälligen Aranien wünschen sich die die meisten, einen Helden in der Sippe zu haben.
PDTrueTypeFont UUAWIP+Andalus;false;false;28.0;9;-1.0;Helden_des_Dornenreiches;1800;Kämpferprofessionen
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;29.0;9;-1.0;Helden_des_Dornenreiches;1300;Aranischer Sippenkrieger
PDTrueTypeFont OLYMCB+GentiumBasic-Italic;false;true;30.0;9;-1.0;Helden_des_Dornenreiches;1000;Professionspaket
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;31.0;9;-1.0;Helden_des_Dornenreiches;900;AP-Wert
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;32.0;9;-1.0;Helden_des_Dornenreiches;900;351 Abenteuerpunkte
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;33.0;9;-1.0;Helden_des_Dornenreiches;900;Voraussetzungen
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;34.0;9;-1.0;Helden_des_Dornenreiches;900;GE 13 (für die SF Finte I), KO 13 (für die SF Belastungsgewöhnung I), KK 13 (für die SF Wuchtschlag I), Sonderfertigkeit Berittener Kampf (für die SF Lanzenangriff) (20 AP), Sonder-
PDType0Font/PDCIDFontType2, PostScript name: SPAIXD+GentiumBasic;false;false;35.0;9;-1.0;Helden_des_Dornenreiches;900;fertigkeit Lanzenangriff (10 AP), Verpflichtungen II
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;36.0;9;-1.0;Helden_des_Dornenreiches;900;(Sippe) (–20 AP)
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;37.0;9;-1.0;Helden_des_Dornenreiches;900;Sonderfertigkeiten
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;38.0;9;-1.0;Helden_des_Dornenreiches;900;Sprachen und Schriften für insgesamt 6 Abenteuerpunkte, Fertigkeitsspezialisierung Kriegskunst, Belastungsgewöhnung I, Finte I, Wuchtschlag I
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;39.0;9;-1.0;Helden_des_Dornenreiches;900;Passender Kampfstil
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;40.0;9;-1.0;Helden_des_Dornenreiches;900;Aranischer Sippenkrieger-Stil (12 AP)
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;41.0;9;-1.0;Helden_des_Dornenreiches;900;Kampftechniken
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;42.0;9;-1.0;Helden_des_Dornenreiches;900;Bögen 10,
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;43.0;9;-1.0;Helden_des_Dornenreiches;900;
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;44.0;9;-1.0;Helden_des_Dornenreiches;900;Dolche 10, Lanzen 10, Raufen 11, eine der folgenden Kampftechniken 12, die anderen 10: Schilde, Schwerter, Stangenwaffen
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;45.0;9;-1.0;Helden_des_Dornenreiches;900;Talente
PDTrueTypeFont OLYMCB+GentiumBasic-Italic;false;true;46.0;9;-1.0;Helden_des_Dornenreiches;900;Körper:
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;47.0;9;-1.0;Helden_des_Dornenreiches;900;Klettern 3, Körperbeherrschung 4, Kraftakt 4, Reiten 8*, Selbstbeherrschung 3, Singen 3, Sinnesschärfe 4, Verbergen 3, Zechen 2
PDTrueTypeFont OLYMCB+GentiumBasic-Italic;false;true;48.0;9;-1.0;Helden_des_Dornenreiches;900;Gesellschaft:
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;49.0;9;-1.0;Helden_des_Dornenreiches;900;Einschüchtern 5
PDTrueTypeFont OLYMCB+GentiumBasic-Italic;false;true;50.0;9;-1.0;Helden_des_Dornenreiches;900;Natur:
PDType0Font/PDCIDFontType2, PostScript name: SPAIXD+GentiumBasic;false;false;51.0;9;-1.0;Helden_des_Dornenreiches;900;Fährtensuchen 2, Orientierung 4, Pflanzenkun
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;52.0;9;-1.0;Helden_des_Dornenreiches;900;-de 3, Tierkunde 3, Wildnisleben 3
