FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;39.0;69;-1.0;Helden_des_Dornenreiches;1000;Elburische TuchrüstungKomplexität
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;40.0;69;-1.0;Helden_des_Dornenreiches;1000;einf
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;41.0;69;-1.0;Helden_des_Dornenreiches;1000;ArtRüstungsschutzBelastung (Stufe)zusätzliche AbzügeGewichtPreisElburische Tuchrüstung (Elburesh)
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;42.0;69;-1.0;Helden_des_Dornenreiches;1000;21–3 Stn50 S
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;43.0;69;-1.0;Helden_des_Dornenreiches;900;Anmerkung
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;44.0;69;-1.0;Helden_des_Dornenreiches;1000;Die Elburische Tuchrüstung ist eine Variante der Stoffrüstung.
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;45.0;69;-1.0;Helden_des_Dornenreiches;1000;Rüstungsvorteil
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;46.0;69;-1.0;Helden_des_Dornenreiches;1000;Bei Fertigkeitsproben auf
PDTrueTypeFont OLYMCB+GentiumBasic-Italic;false;true;47.0;69;-1.0;Helden_des_Dornenreiches;1000;Klettern
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;48.0;69;-1.0;Helden_des_Dornenreiches;1000;,
PDTrueTypeFont OLYMCB+GentiumBasic-Italic;false;true;49.0;69;-1.0;Helden_des_Dornenreiches;1000;Körperbeherrschung
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;50.0;69;-1.0;Helden_des_Dornenreiches;1000;und
PDTrueTypeFont OLYMCB+GentiumBasic-Italic;false;true;51.0;69;-1.0;Helden_des_Dornenreiches;1000;Verbergen
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;52.0;69;-1.0;Helden_des_Dornenreiches;1000;kommt die BE der Elburischen Tuchrüstung nicht zum Tragen.
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;53.0;69;-1.0;Helden_des_Dornenreiches;1000;Rüstungsnachteil
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;54.0;69;-1.0;Helden_des_Dornenreiches;1000;Gegen Waffen der Kampftechniken
PDTrueTypeFont OLYMCB+GentiumBasic-Italic;false;true;55.0;69;-1.0;Helden_des_Dornenreiches;1000;Dolche
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;56.0;69;-1.0;Helden_des_Dornenreiches;1000;,
PDTrueTypeFont OLYMCB+GentiumBasic-Italic;false;true;57.0;69;-1.0;Helden_des_Dornenreiches;1000;Schwerter
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;58.0;69;-1.0;Helden_des_Dornenreiches;1000;und
PDTrueTypeFont OLYMCB+GentiumBasic-Italic;false;true;59.0;69;-1.0;Helden_des_Dornenreiches;1000;Zweihandschwerter
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;60.0;69;-1.0;Helden_des_Dornenreiches;1000;schützt die Elburische Tuchrüstung mit RS 1.
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;61.0;69;-1.0;Helden_des_Dornenreiches;1000;Kampfsonderfertigkeiten für Peitschen
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;62.0;69;-1.0;Helden_des_Dornenreiches;1000;Folgende Kampfsonderfertigkeiten aus dem
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;63.0;69;-1.0;Helden_des_Dornenreiches;1000;Regelwerk
