FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;1.0;74;-1.0;Helden_des_Dornenreiches;1300;Die Skorpionrüstung
PDTrueTypeFont NHJGOD+TimesNewRomanPSMT;false;false;2.0;74;-1.0;Helden_des_Dornenreiches;800;
PDTrueTypeFont OLYMCB+GentiumBasic-Italic;false;true;3.0;74;-1.0;Helden_des_Dornenreiches;1000;»Eine merkwürdige Anfertigung. Mit merkwürdig meine ich keineswegs schlecht oder unbrauchbar. Ganz im Gegenteil. Diejenige, die diese Rüstung angefertigt hat, versteht etwas von der Verarbeitung von Leder. Sehr stabil, etwas spröde, aber widerstandsfähig. Vermutlich genauso hart wir ein Ringelpanzer. Hab so eine Lederrüstung aber noch nie vorher gesehen.«—Orlan Brunnbutter, Waffenmeister im Zorganer Spiegelpalast, 1042
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;4.0;74;-1.0;Helden_des_Dornenreiches;1000;Diese Rüstung ist nicht etwa ein Relikt
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;5.0;74;-1.0;Helden_des_Dornenreiches;1000;aus den Zeiten des Moghulats. Vielmehr
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;6.0;74;-1.0;Helden_des_Dornenreiches;1000;handelt es sich hierbei um ein vergleichsweise neues Stück, das erst nach dem Untergang Orons hergestellt wurde. Verantwortlich dafür ist das erste Oberhaupt der Skorpionschwestern, eines heimlichen Ordens von Anhängerinnen Orons, die noch immer der Herrschaft Dimionas hinterhertrauern. Einige der Skorpionschwestern sind ehe
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;7.0;74;-1.0;Helden_des_Dornenreiches;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;8.0;74;-1.0;Helden_des_Dornenreiches;1000;malige Tempelherrinnen des Belkelel-Kul
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;9.0;74;-1.0;Helden_des_Dornenreiches;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;10.0;74;-1.0;Helden_des_Dornenreiches;1000;tes und haben eine vortreffliche Kenntnis in der Bearbeitung von Leder erworben. Tanamin, die die Skorpionschwestern zu einem Orden von Kriegerinnen, Folter
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;11.0;74;-1.0;Helden_des_Dornenreiches;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;12.0;74;-1.0;Helden_des_Dornenreiches;1000;meisterinnen und Meuchlerinnen zu
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;13.0;74;-1.0;Helden_des_Dornenreiches;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;14.0;74;-1.0;Helden_des_Dornenreiches;1000;sammengeschweißt hatte, wollte eine einheitliche Tracht für alle Mitglieder,
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;15.0;74;-1.0;Helden_des_Dornenreiches;1000;wenn diese sich in den unterirdischen An-
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;16.0;74;-1.0;Helden_des_Dornenreiches;1000;lagen Elburums trafen. Die dunkelrotgefärbte Skorpionrüstung (auf Tulamidya
PDTrueTypeFont OLYMCB+GentiumBasic-Italic;false;true;17.0;74;-1.0;Helden_des_Dornenreiches;1000;Pamaresh
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;18.0;74;-1.0;Helden_des_Dornenreiches;1000;ge-
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;19.0;74;-1.0;Helden_des_Dornenreiches;1000;nannt) wird aus dem Leder von Mangrovenechsen hergestellt und bietet aufgrund seiner Verarbeitung und Struktur einen exzellenten Schutz gegen Treffer al
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;20.0;74;-1.0;Helden_des_Dornenreiches;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;21.0;74;-1.0;Helden_des_Dornenreiches;1000;ler Arten stumpfer Waffen.
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;22.0;74;-1.0;Helden_des_Dornenreiches;1000;SkorpionrüstungKomplexität
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;23.0;74;-1.0;Helden_des_Dornenreiches;1000;komp (3 AP)
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;24.0;74;-1.0;Helden_des_Dornenreiches;1000;ArtRüstungsschutzBelastung (Stufe)zusätzliche AbzügeGewichtPreisSkorpionrüstung (Pamjara)
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;25.0;74;-1.0;Helden_des_Dornenreiches;1000;31–1 GS, –1 INI5,25 Stn220 S
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;26.0;74;-1.0;Helden_des_Dornenreiches;900;Anmerkung
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;27.0;74;-1.0;Helden_des_Dornenreiches;1000;Die Skorpionrüstung ist eine Variante der Lederrüstung.
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;28.0;74;-1.0;Helden_des_Dornenreiches;1000;Rüstungsvorteil
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;29.0;74;-1.0;Helden_des_Dornenreiches;1000;Gegen Waffen der Kampftechniken
PDTrueTypeFont OLYMCB+GentiumBasic-Italic;false;true;30.0;74;-1.0;Helden_des_Dornenreiches;1000;Hiebwaffen
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;31.0;74;-1.0;Helden_des_Dornenreiches;1000;,
PDTrueTypeFont OLYMCB+GentiumBasic-Italic;false;true;32.0;74;-1.0;Helden_des_Dornenreiches;1000;Kettenwaffen
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;33.0;74;-1.0;Helden_des_Dornenreiches;1000;und
PDTrueTypeFont OLYMCB+GentiumBasic-Italic;false;true;34.0;74;-1.0;Helden_des_Dornenreiches;1000;Raufen
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;35.0;74;-1.0;Helden_des_Dornenreiches;1000;schützt die Skorpionrüstung mit RS 4.
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;36.0;74;-1.0;Helden_des_Dornenreiches;1000;Rüstungsnachteil
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;37.0;74;-1.0;Helden_des_Dornenreiches;1000;Gegen Waffen der Kampftechniken
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;38.0;74;-1.0;Helden_des_Dornenreiches;1000;
PDTrueTypeFont OLYMCB+GentiumBasic-Italic;false;true;39.0;74;-1.0;Helden_des_Dornenreiches;1000;Dolche
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;40.0;74;-1.0;Helden_des_Dornenreiches;1000;und
