FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont UUAWIP+Andalus;false;false;1.0;60;-1.0;Helden_des_Dornenreiches;1800;Waffen
PDTrueTypeFont OLYMCB+GentiumBasic-Italic;false;true;2.0;60;-1.0;Helden_des_Dornenreiches;1000;»Extrem scharfe Kanten, ich kann damit aber eh nicht umgehen. Zu klein.«—Tjalva Garheltdottir, Premer Hetja
PDType0Font/PDCIDFontType2, PostScript name: PKNSQZ+GentiumBasic-Italic;false;true;3.0;60;-1.0;Helden_des_Dornenreiches;1000;»Die sind auch nicht für deine Wurstfinger
PDTrueTypeFont OLYMCB+GentiumBasic-Italic;false;true;4.0;60;-1.0;Helden_des_Dornenreiches;1000;gemacht! Aber so ein Silberstern ist eine exzellente Wurfwaffe in geschickter Hand. Ich kenne kaum einen besseren Wurfstern als die aranische Variante.«—Carolan Calavanti, Vinsalter Streuner
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;5.0;60;-1.0;Helden_des_Dornenreiches;1300;Der Anchopaler Silberstern
PDTrueTypeFont NHJGOD+TimesNewRomanPSMT;false;false;6.0;60;-1.0;Helden_des_Dornenreiches;800;
PDType0Font/PDCIDFontType2, PostScript name: PKNSQZ+GentiumBasic-Italic;false;true;7.0;60;-1.0;Helden_des_Dornenreiches;1000;»In den Märchen der Haimamudim taucht häufig ein
PDTrueTypeFont OLYMCB+GentiumBasic-Italic;false;true;8.0;60;-1.0;Helden_des_Dornenreiches;1000;schöner Dieb – oder eine ebensolche Diebin – auf. Er ist der Held der Geschichte. Zunächst erscheint er zwielichtig und verschlagen, geht phexgefälligen Geschäften nach und treibt seine Späße mit dem Wesir und der Palastwache. In jeder dieser Diebesgeschichten rettet ihm ein Wurf mit einem Silberstern das Leben, sei es, weil er damit das Seil eines Kronleuchters durchtrennt, der dann auf die wachhabenden Eunuchen fällt, oder weil er einen tödlichen Wurf ins Herz der niederhöllischen Satrapa ausführt. Obwohl diese Begebenheiten allesamt Märchen sind, steckt doch immer ein Funken Wahrheit darin. Ich kann es bezeugen. Lasst mich euch die Geschichte erzählen, wie ich in Palmyrabad einer Intrige von ungeheuerlichem Ausmaß auf die Schliche kam ...«—Ayshara, Phexgeweihte im Dienste der Mada Basari, neuzeitlich
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;9.0;60;-1.0;Helden_des_Dornenreiches;1000;Kaum ein Mitglied der Mada Basari oder eine Zorgan
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;10.0;60;-1.0;Helden_des_Dornenreiches;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;11.0;60;-1.0;Helden_des_Dornenreiches;1000;er Streunerin verzichtet gerne auf eine lebensrettende Wurfwaffe. In Aranien gibt es unzählige Varianten von Wurfdolchen undscheiben, aber eine der bekanntesten ist der Anchopaler Silberstern. Dabei handelt es sich um einen Wurfstern in Form einer flachen Scheibe mit vier kantigen Ecken, die sich direkt gegenüber liegen. Silber
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;12.0;60;-1.0;Helden_des_Dornenreiches;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;13.0;60;-1.0;Helden_des_Dornenreiches;1000;sterne dringen aufgrund ihrer messerscharfen Spitzen leicht in den Körper des Opfers ein. Zudem fliegt der Sil
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;14.0;60;-1.0;Helden_des_Dornenreiches;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;15.0;60;-1.0;Helden_des_Dornenreiches;1000;berstern deutlich weiter als vergleichbare Wurfsterne. In Leder- oder Metallrüstungen bleibt der kleine Wurf
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;16.0;60;-1.0;Helden_des_Dornenreiches;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;17.0;60;-1.0;Helden_des_Dornenreiches;1000;stern jedoch gelegentlich hängen.Aranier nennen die bei jedem Waffenhändler legal er
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;18.0;60;-1.0;Helden_des_Dornenreiches;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;19.0;60;-1.0;Helden_des_Dornenreiches;1000;werbbaren Silbersterne
PDTrueTypeFont OLYMCB+GentiumBasic-Italic;false;true;20.0;60;-1.0;Helden_des_Dornenreiches;1000;Najidya
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;21.0;60;-1.0;Helden_des_Dornenreiches;1000;. Trotz der Flugeigen
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;22.0;60;-1.0;Helden_des_Dornenreiches;1000;-schaften sollte man sich gut
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;23.0;60;-1.0;Helden_des_Dornenreiches;1000;überlegen, sie einzusetzen,
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;24.0;60;-1.0;Helden_des_Dornenreiches;1000;denn in vielen Geschichten
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;25.0;60;-1.0;Helden_des_Dornenreiches;1000;über die Silbersterne ist die Rede von kleinen Miss
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;26.0;60;-1.0;Helden_des_Dornenreiches;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;27.0;60;-1.0;Helden_des_Dornenreiches;1000;geschicken, die damit passiert sind – und dabei handelt es sich nicht bloß um Legenden.
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;28.0;60;-1.0;Helden_des_Dornenreiches;1000;Anmerkungen zu Fächerwaffen
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;29.0;60;-1.0;Helden_des_Dornenreiches;1000;Die Anmerkungen der beiden beschriebenen Fächerwaffen (siehe Seite
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;30.0;60;-1.0;Helden_des_Dornenreiches;1000;63
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;31.0;60;-1.0;Helden_des_Dornenreiches;1000;&
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;32.0;60;-1.0;Helden_des_Dornenreiches;1000;65
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;33.0;60;-1.0;Helden_des_Dornenreiches;1000;) sind sich so ähnlich, dass wir sie nur einmal beschreiben. Die Unterschiede sind jeweils für den Llankaner Ei
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;34.0;60;-1.0;Helden_des_Dornenreiches;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;35.0;60;-1.0;Helden_des_Dornenreiches;1000;senfächer / den Elburumer Dornenfächer durch einen Schrägstrich getrennt.
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;36.0;60;-1.0;Helden_des_Dornenreiches;1000;Anmerkung
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;37.0;60;-1.0;Helden_des_Dornenreiches;1000;kleiner Schild, 35/10 Struktur
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;38.0;60;-1.0;Helden_des_Dornenreiches;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;39.0;60;-1.0;Helden_des_Dornenreiches;1000;punkte, oder Parierwaffe (PA-Bonus +1 für die Hauptwaffe).Fächer ein- oder ausklappen dauert jeweils 1 Ak
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;40.0;60;-1.0;Helden_des_Dornenreiches;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;41.0;60;-1.0;Helden_des_Dornenreiches;1000;tion. Der AT-Abzug gilt nur für den Angriff mit dem ausgeklappten Fächer als Schild, aber nicht, wenn man ihn und eine andere Hauptwaffe führt.Mit dem ausgeklappten Fächer kann man versu
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;42.0;60;-1.0;Helden_des_Dornenreiches;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;43.0;60;-1.0;Helden_des_Dornenreiches;1000;chen, mit der Kampftechnik
PDTrueTypeFont OLYMCB+GentiumBasic-Italic;false;true;44.0;60;-1.0;Helden_des_Dornenreiches;1000;Schilde
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;45.0;60;-1.0;Helden_des_Dornenreiches;1000;ein Geschoss
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;46.0;60;-1.0;Helden_des_Dornenreiches;1000;zu parieren, allerdings erleidet man bei der Para
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;47.0;60;-1.0;Helden_des_Dornenreiches;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;48.0;60;-1.0;Helden_des_Dornenreiches;1000;de zusätzlich zu den üblichen Modifikatoren (siehe
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;49.0;60;-1.0;Helden_des_Dornenreiches;1000;Regelwerk
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;50.0;60;-1.0;Helden_des_Dornenreiches;1000;Seite
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;51.0;60;-1.0;Helden_des_Dornenreiches;1000;244
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;52.0;60;-1.0;Helden_des_Dornenreiches;1000;) noch eine Erschwernis von 1.Mit einem offenen Fächer können nur Angriffe der Kampftechniken
PDTrueTypeFont OLYMCB+GentiumBasic-Italic;false;true;53.0;60;-1.0;Helden_des_Dornenreiches;1000;Raufen
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;54.0;60;-1.0;Helden_des_Dornenreiches;1000;,
PDTrueTypeFont OLYMCB+GentiumBasic-Italic;false;true;55.0;60;-1.0;Helden_des_Dornenreiches;1000;Dolche
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;56.0;60;-1.0;Helden_des_Dornenreiches;1000;und
PDTrueTypeFont OLYMCB+GentiumBasic-Italic;false;true;57.0;60;-1.0;Helden_des_Dornenreiches;1000;Fechtwaffen
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;58.0;60;-1.0;Helden_des_Dornenreiches;1000;, sowie Fernkampftechniken (außer Wurfspee
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;59.0;60;-1.0;Helden_des_Dornenreiches;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;60.0;60;-1.0;Helden_des_Dornenreiches;1000;re undäxte und Diskusse) pariert werden. Nur ein offener Fächer kann als kleiner Schild dienen.Mit geschlossenem Fächer können Waffen aller Kampftechniken außer
PDTrueTypeFont OLYMCB+GentiumBasic-Italic;false;true;61.0;60;-1.0;Helden_des_Dornenreiches;1000;Zweihandhiebwaffen
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;62.0;60;-1.0;Helden_des_Dornenreiches;1000;,
PDTrueTypeFont OLYMCB+GentiumBasic-Italic;false;true;63.0;60;-1.0;Helden_des_Dornenreiches;1000;Zweihandschwerter
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;64.0;60;-1.0;Helden_des_Dornenreiches;1000;und Fernkampf
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;65.0;60;-1.0;Helden_des_Dornenreiches;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;66.0;60;-1.0;Helden_des_Dornenreiches;1000;techniken / außer
PDTrueTypeFont OLYMCB+GentiumBasic-Italic;false;true;67.0;60;-1.0;Helden_des_Dornenreiches;1000;Hiebwaffen
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;68.0;60;-1.0;Helden_des_Dornenreiches;1000;,
PDTrueTypeFont OLYMCB+GentiumBasic-Italic;false;true;69.0;60;-1.0;Helden_des_Dornenreiches;1000;Kettenwaffen
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;70.0;60;-1.0;Helden_des_Dornenreiches;1000;,
PDTrueTypeFont OLYMCB+GentiumBasic-Italic;false;true;71.0;60;-1.0;Helden_des_Dornenreiches;1000;Zweihandhiebwaffen
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;72.0;60;-1.0;Helden_des_Dornenreiches;1000;,
PDTrueTypeFont OLYMCB+GentiumBasic-Italic;false;true;73.0;60;-1.0;Helden_des_Dornenreiches;1000;Zweihandschwerter
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;74.0;60;-1.0;Helden_des_Dornenreiches;1000;
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;75.0;60;-1.0;Helden_des_Dornenreiches;1000;und Fernkampftechni
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;76.0;60;-1.0;Helden_des_Dornenreiches;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;77.0;60;-1.0;Helden_des_Dornenreiches;1000;ken pariert werden. Nur
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;78.0;60;-1.0;Helden_des_Dornenreiches;1000;ein geschlossener Fächer
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;79.0;60;-1.0;Helden_des_Dornenreiches;1000;kann als Parierwaffe
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;80.0;60;-1.0;Helden_des_Dornenreiches;1000;dienen.
PDTrueTypeFont UUAWIP+Andalus;false;false;1.0;61;-1.0;Helden_des_Dornenreiches;1200;Die Rüstkammer
PDTrueTypeFont OLYMCB+GentiumBasic-Italic;false;true;2.0;61;-1.0;Helden_des_Dornenreiches;1000;»Ich bevorzuge zwar Langschwert und Anderthalbhänder, aber ich muss dennoch sagen, dass der Aranische Säbel einige Vorteile zu bieten hat. Durch sein geringes Gewicht kann man die Bewegungsabläufe besser koordinieren und im letzten Moment noch eine Finte ansetzen.«—Geron Waisenmacher, Doppelsöldner»Brauchbar. Nicht gut, aber brauchbar. Die Grundform habt ihr Großlinge damals von uns Angroschim gelernt. Sonst hättet ihr nie Säbel geschmiedet.«—Arbosch Sohn des Angrax, ambosszwergischer Meisterschmied»Das erscheint mir aber ein Gerücht, Arbosch. Der Säbel ist eine Reiterwaffe und ihr Zwerge seid nicht dafür bekannt, dass ihr auf Pferde steigt.«—Mirhiban al’Orhima, tulamidische Feuermagierin»Oh, da hast du aber mal Unrecht, gelehrte Dame. Noch nie was von dem berittenen Heer der Brillantzwerge gehört?«—Arbosch Sohn des Angrax, ambosszwergischer Meisterschmied
