FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;1.0;76;-1.0;Helden_des_Dornenreiches;1000;Jahrhunderte später gelang es der Mondsilbersultana Sybia die Waffe aus der Shaz-Man-Yat zu ziehen, wor
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;2.0;76;-1.0;Helden_des_Dornenreiches;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;3.0;76;-1.0;Helden_des_Dornenreiches;1000;auf diese zu neuem unheiligen Leben erwachte. Sybia übergab das Schwert ihrem Sohn, der die mittlerweile als Zhimitarra bekannte Waffe wieder als das Königs
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;4.0;76;-1.0;Helden_des_Dornenreiches;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;5.0;76;-1.0;Helden_des_Dornenreiches;1000;schwert der aranischen Herrscher und Reichsinsignie einsetzt. Die Kraft der Klinge verhindert die Beeinflus
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;6.0;76;-1.0;Helden_des_Dornenreiches;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;7.0;76;-1.0;Helden_des_Dornenreiches;1000;sung seines Trägers durch Herrschaftsmagie.
PDTrueTypeFont RNMESV+GentiumBasic-Bold;true;false;8.0;76;-1.0;Helden_des_Dornenreiches;1300;Belkelels Zuchtmeisterin
PDTrueTypeFont NHJGOD+TimesNewRomanPSMT;false;false;9.0;76;-1.0;Helden_des_Dornenreiches;800;
PDTrueTypeFont OLYMCB+GentiumBasic-Italic;false;true;10.0;76;-1.0;Helden_des_Dornenreiches;1000;»Die Herrin der Schwarzfaulen Lust schenkte mir eine Waffe, um ihre Feinde das Fürchten zu lehren und sie niederzuwerfen, auf dass Belkelels Tochter für immer über das Land Oron herrschen wird. Wir werden gemeinsam ...«—unleserliche Abschrift eines „heiligen“ Buches des Belkelel-Kults, größtenteils verbrannt, in der Nähe Elburums gefunden, 1038 BF
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;11.0;76;-1.0;Helden_des_Dornenreiches;1000;Unter dem Namen Belkelels Zuchtmeis
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;12.0;76;-1.0;Helden_des_Dornenreiches;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;13.0;76;-1.0;Helden_des_Dornenreiches;1000;terin ist eine Waffe – oder gar eine Reihe
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;14.0;76;-1.0;Helden_des_Dornenreiches;1000;von gleichartigen
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;15.0;76;-1.0;Helden_des_Dornenreiches;1000;Waffen – bekannt. Es handelt sich da
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;16.0;76;-1.0;Helden_des_Dornenreiches;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;17.0;76;-1.0;Helden_des_Dornenreiches;1000;bei um fünfschwänzige Peitschen, deren rote Lederrie
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;18.0;76;-1.0;Helden_des_Dornenreiches;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;19.0;76;-1.0;Helden_des_Dornenreiches;1000;men zweieinhalb Schritt lang sind. Die Riemen be
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;20.0;76;-1.0;Helden_des_Dornenreiches;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;21.0;76;-1.0;Helden_des_Dornenreiches;1000;wegen sich ständig, als ob sie ein Eigenleben entwickelt
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;22.0;76;-1.0;Helden_des_Dornenreiches;1000;hätten.
