FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont UUAWIP+Andalus;false;false;1.0;71;-1.0;Helden_des_Dornenreiches;1200;Die Rüstkammer
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;2.0;71;-1.0;Helden_des_Dornenreiches;1000;Neben dem Spiegelpanzer, der in Aranien eine altehr
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;3.0;71;-1.0;Helden_des_Dornenreiches;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;4.0;71;-1.0;Helden_des_Dornenreiches;1000;würdige Tradition besitzt, ist der Zorganer Ringelpan
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;5.0;71;-1.0;Helden_des_Dornenreiches;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;6.0;71;-1.0;Helden_des_Dornenreiches;1000;zer, auch
PDTrueTypeFont OLYMCB+GentiumBasic-Italic;false;true;7.0;71;-1.0;Helden_des_Dornenreiches;1000;Shidaresh
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;8.0;71;-1.0;Helden_des_Dornenreiches;1000;genannt, die beliebteste Rüstung professioneller Kämpfer. In der Akademie Keshal Has
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;9.0;71;-1.0;Helden_des_Dornenreiches;1000;-hinnah in Zorgan tragen fast alle Kriegerinnen, die et-
PDType0Font/PDCIDFontType2, PostScript name: UUAWIP+GentiumBasic;false;false;10.0;71;-1.0;Helden_des_Dornenreiches;1000;was auf sich halten, einen Zorganer Ringelpanzer und selbst außerhalb Araniens gibt es viele Kämpfer, die die Rüstung gerne ihr Eigen nennen würden. Die Beliebtheit kommt nicht von ungefähr. Der Ringelpanzer verbindet den vortrefflichen Schutz eines Kettenhemds mir der Beweglichkeit deutlich leichterer Rüstungstypen. Für den reisenden Abenteurer ist sie eine ideale Rüstung, da er kaum bei seinen üblichen, kraftzehrenden Tätigkei
PDTrueTypeFont SRBKGT+GentiumBasic;false;false;11.0;71;-1.0;Helden_des_Dornenreiches;1000;-
