FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont UXUBHJ+Andalus;false;false;1.0;27;-1.0;Helden_des_Gottwals;1200;Regeln der Gestade des Gottwals
PDTrueTypeFont YQVULB+GentiumBasic;false;false;2.0;27;-1.0;Helden_des_Gottwals;1000;müssen, so erhält er bei der Teilprobe auf IN eine Erschwernis von –1.
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;3.0;27;-1.0;Helden_des_Gottwals;1000;Kombinierbar mit
PDTrueTypeFont YQVULB+GentiumBasic;false;false;4.0;27;-1.0;Helden_des_Gottwals;1000;Stufe I Typische/-r Thorwaler/-in
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;5.0;27;-1.0;Helden_des_Gottwals;1000;Premer Halbinsel (Stufe II)Standhaftes Herz
PDTrueTypeFont YQVULB+GentiumBasic;false;false;6.0;27;-1.0;Helden_des_Gottwals;1000;Die Menschen der Premer Halbinsel lassen sich nicht einfach aus der Ruhe bringen. Bei Teilproben auf MU erhalten sie eine Erleichterung von +1, wenn es um Proben geht, die Zustandsstufen von
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;7.0;27;-1.0;Helden_des_Gottwals;1000;Furcht
PDTrueTypeFont YQVULB+GentiumBasic;false;false;8.0;27;-1.0;Helden_des_Gottwals;1000;gegen sie vermeiden sollen, allerdings nur bei weltlichen Effekten, nicht durch übernatürlich erzeugte Furcht (etwa Zauber und Liturgien).
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;9.0;27;-1.0;Helden_des_Gottwals;1000;Raue Sitten
PDTrueTypeFont YQVULB+GentiumBasic;false;false;10.0;27;-1.0;Helden_des_Gottwals;1000;Die Bewohner der Premer Halbinsel gelten als harte Männer und Frauen. Deshalb sind auch ihre Sitten manchmal entsprechend ungehobelt. Sollte ein
PDTrueTypeFont YQVULB+GentiumBasic;false;false;11.0;27;-1.0;Helden_des_Gottwals;900;
PDType0Font/PDCIDFontType2, PostScript name: GCWVTL+GentiumBasic;false;false;12.0;27;-1.0;Helden_des_Gottwals;1000;Überfahrten zu anderen Kontinenten sind nur möglich, wenn der Navigator über ein entsprechendes Berufsgeheimnis verfügt.
PDTrueTypeFont YQVULB+GentiumBasic;false;false;13.0;27;-1.0;Helden_des_Gottwals;1000;Bewohner der Premer Halbinsel eine Probe auf
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;14.0;27;-1.0;Helden_des_Gottwals;1000;Etikette (Benehmen)
PDTrueTypeFont YQVULB+GentiumBasic;false;false;15.0;27;-1.0;Helden_des_Gottwals;1000;ablegen müssen, so erhält er bei der Teilprobe auf IN eine Erschwernis von –1.
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;16.0;27;-1.0;Helden_des_Gottwals;1000;Kombinierbar mit
PDTrueTypeFont YQVULB+GentiumBasic;false;false;17.0;27;-1.0;Helden_des_Gottwals;1000;Stufe I Typische/-r Thorwaler/-in
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;18.0;27;-1.0;Helden_des_Gottwals;1000;Thorwaler Hinterland (Stufe II)Verbrüdert
PDTrueTypeFont YQVULB+GentiumBasic;false;false;19.0;27;-1.0;Helden_des_Gottwals;1000;Die Hinterländler stehen füreinander ein. Bei Gesellschaftstalenten (außer
