FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;45.0;87;-1.0;Helden_des_Gottwals;1000;Tiergeistkralle (Odûn-Bakka)Komplexität prim
PDTrueTypeFont YQVULB+GentiumBasic;false;false;46.0;87;-1.0;Helden_des_Gottwals;1000;
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;47.0;87;-1.0;Helden_des_Gottwals;1000;NameKampftechnikTPL+SAT/PA-ModRWGewichtLängePreisTiergeistkralle (Odûn-Bakka)
PDTrueTypeFont YQVULB+GentiumBasic;false;false;48.0;87;-1.0;Helden_des_Gottwals;1000;Raufen1W6+4GE/KK 140/–1kurz0,75 Stn40 HF50 S
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;49.0;87;-1.0;Helden_des_Gottwals;1000;Anmerkung
PDTrueTypeFont YQVULB+GentiumBasic;false;false;50.0;87;-1.0;Helden_des_Gottwals;1000;Tierkrieger sind eins mit der Waffe, die ihrem Odûn entspricht, Bestätigungswürfe bei Patzern sind daher um +2 erleichtert.
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;51.0;87;-1.0;Helden_des_Gottwals;1000;Waffenvorteil
PDTrueTypeFont YQVULB+GentiumBasic;false;false;52.0;87;-1.0;Helden_des_Gottwals;1000;Wird ein mit der Bakka ausgeführter Angriff pariert, erhält der Träger nicht wie beim Raufen üblich den halben Waffenschaden.
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;53.0;87;-1.0;Helden_des_Gottwals;1000;Waffennachteil
PDTrueTypeFont YQVULB+GentiumBasic;false;false;54.0;87;-1.0;Helden_des_Gottwals;1000;Gegen Gegner mit einem RS von 4 oder mehr richtet die Tiergeistkralle –2 TP an.
PDType0Font/PDCIDFontType2, PostScript name: GCWVTL+GentiumBasic;false;false;1.0;88;-1.0;Helden_des_Gottwals;1000;Ritual an sich bindet. Durch die Bindung der Waffe fährt ein Tiergeist, der dem primären Patron des Animisten entspricht, in die Waffe ein, welche dadurch magisch und unzerbrechlich wird.Im Laufe des Lebens eines
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;2.0;88;-1.0;Helden_des_Gottwals;1000;Durro-Dûn
PDType0Font/PDCIDFontType2, PostScript name: GCWVTL+GentiumBasic;false;false;3.0;88;-1.0;Helden_des_Gottwals;1000;wird die Tiergeistkralle von ihrem Träger aufwendig mit Schnitzereien verziert, die den primären Patron des Animisten ehren sollen.
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;4.0;88;-1.0;Helden_des_Gottwals;1300;Walschild
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;5.0;88;-1.0;Helden_des_Gottwals;1000;»Dreizehn von denen gegen fünf von uns? Dann müssen wir uns wohl keine Sorgen machen, dass einer von uns zu kurz kommt. Bleibt dicht in meiner Nähe und haltet eure Schilde bereit. Der Gottwal ist mit denen, die tapfer sind, darum besinnt euch auf euren Mut. Diese Hranngar-Brut wird den Tag bereuen, an dem sie sich uns entgegengestellt hat. Für Swafnir!«—Jorunn Swafnildsdottir, reisende Swafnirgeweihte, zu ihren Gefährten, 1043 BF
PDTrueTypeFont YQVULB+GentiumBasic;false;false;6.0;88;-1.0;Helden_des_Gottwals;1000;
PDType0Font/PDCIDFontType2, PostScript name: GCWVTL+GentiumBasic;false;false;7.0;88;-1.0;Helden_des_Gottwals;1000;In seiner äußeren Form ähnelt der Walschild dem traditionellen Rundschild der Thorwaler. Bei seiner Herstellung werden jedoch besonders hochwertige und langlebige Materialien verwendet, denn ein solcher Schild begleitet einen Swafnirgeweihten als Erkennungszeichen und Zeremonialgegenstand auf seinen Reisen. Die Innenseite ist
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;8.0;88;-1.0;Helden_des_Gottwals;1000;»Auch wir kennen die Geschichten über die von den Tiergeistern erwählten Krieger der Gjalsker und der Hilfe, die uns durch sie in der Nacht im Eis zuteilwurde.«—Kinajo von den Rika-Lie, nivesischer Schamane»Wie dem auch sei, diese Kralle, die man am Unterarm trägt, erinnert auf jeden Fall an einen Springarm!«—Carolan Calavanti, Vinsalter Streuner
PDType0Font/PDCIDFontType2, PostScript name: UFSWHJ+GentiumBasic-Italic;false;true;9.0;88;-1.0;Helden_des_Gottwals;1000;»Viel interessanter finde ich, dass es sich
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;10.0;88;-1.0;Helden_des_Gottwals;1000;bei diesen archaischen Dingern um magische Waffen handelt!«—Mirhiban al’Orhima, tulamidische Feuermagierin»Ich folge Odûn Madadh, dem Geist des Großen Wolfes. Er ist ein Teil von mir, und ich bin ein Teil von ihm. Seine Macht ist ein Teil meiner Bakka, und meine Bakka ist eins mit mir.«—Breandan bren Breannan, Wolfstierkrieger
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;11.0;88;-1.0;Helden_des_Gottwals;1000;Große Tiergeistkralle (Odûn-Bakka)Komplexität prim
PDTrueTypeFont YQVULB+GentiumBasic;false;false;12.0;88;-1.0;Helden_des_Gottwals;1000;
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;13.0;88;-1.0;Helden_des_Gottwals;1000;NameKampftechnikTPL+SAT/PA-ModRWGewichtLängePreisGroße Tiergeistkralle (Odûn-Bakka)
PDTrueTypeFont YQVULB+GentiumBasic;false;false;14.0;88;-1.0;Helden_des_Gottwals;1000;Hiebwaffen1W6+4GE/KK 140/–1 mittel1,25 Stn60 HF95 S
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;15.0;88;-1.0;Helden_des_Gottwals;1000;Anmerkung
PDTrueTypeFont YQVULB+GentiumBasic;false;false;16.0;88;-1.0;Helden_des_Gottwals;1000;Tierkrieger sind eins mit der Waffe, die ihrem Odûn entspricht, Bestätigungswürfe bei Patzern sind daher um +2 erleichtert.
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;17.0;88;-1.0;Helden_des_Gottwals;1000;Waffenvorteil
PDTrueTypeFont YQVULB+GentiumBasic;false;false;18.0;88;-1.0;Helden_des_Gottwals;1000;Wird ein Angriff mit einer Großen Tiergeistkralle von einem Wesen der Größenkategorie
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;19.0;88;-1.0;Helden_des_Gottwals;1000;mittel
PDTrueTypeFont YQVULB+GentiumBasic;false;false;20.0;88;-1.0;Helden_des_Gottwals;1000;oder kleiner erfolgreich pariert, erleidet der Verteidiger bis zum Ende der folgenden KR eine Erschwernis in Höhe von –1 auf AT und PA. Die Erschwernis kann maximal –1 betragen, dabei spielt es keine Rolle, wie viele Angriffe einer Großen Tiergeistkralle in einer KR pariert wurden.
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;21.0;88;-1.0;Helden_des_Gottwals;1000;Waffennachteil
PDTrueTypeFont YQVULB+GentiumBasic;false;false;22.0;88;-1.0;Helden_des_Gottwals;1000;Gegen Gegner mit einem RS von 4 oder mehr richtet die Tiergeistkralle –1 TP an. Wurde mit der Großen Tiergeistkralle erfolgreich pariert, erleidet der Träger eine Erschwernis von –1 auf AT in der nächsten KR. Diese Regel gilt nicht für Angriffe von Unbewaffneten.
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;23.0;88;-1.0;Helden_des_Gottwals;1000;»Der Walschild ist nicht nur ein Werkzeug für den Kampf. Er ist auch ein Symbol für die Aufgabe, die allen Dienern Swafnirs obliegt: Der Schutz der Gemeinschaft.«—Ôle Swafgardsson, Hochgeweihter des Swafnir»Ein Schild, um die zu beschützen, die sich nicht selbst schützen können. Das ist ein ehrenwertes Ziel. Andererseits scheint es in Thorwal nicht allzu viele Menschen zu geben, die sich nicht selbst zu verteidigen wissen.«—Bruder Hilbert, Perainegeweihter
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;24.0;88;-1.0;Helden_des_Gottwals;1000;WalschildKomplexität einfNameKampftechnikTPL+SAT/PA-ModRWGewichtLängePreis Walschild
PDTrueTypeFont YQVULB+GentiumBasic;false;false;25.0;88;-1.0;Helden_des_Gottwals;1000;Schilde1W6+1KK 16–5/+2kurz3,5 Stn75 HF85 S
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;26.0;88;-1.0;Helden_des_Gottwals;1000;Anmerkung
PDTrueTypeFont YQVULB+GentiumBasic;false;false;27.0;88;-1.0;Helden_des_Gottwals;1000;mittlerer Schild, 20 Strukturpunkte, geweiht (Swafnir), Waffe ist nur von Swafnirgeweihten erwerbbar
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;28.0;88;-1.0;Helden_des_Gottwals;1000;Waffenvorteil
PDTrueTypeFont YQVULB+GentiumBasic;false;false;29.0;88;-1.0;Helden_des_Gottwals;1000;Wird der Walschild zusammen mit einer anderen Waffe mit dem Manöver S
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;30.0;88;-1.0;Helden_des_Gottwals;1000;turmangriff
PDTrueTypeFont YQVULB+GentiumBasic;false;false;31.0;88;-1.0;Helden_des_Gottwals;1000;eingesetzt, so erhält die andere Waffe einen Bonus von +1 TP.
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;32.0;88;-1.0;Helden_des_Gottwals;1000;Waffennachteil
PDTrueTypeFont YQVULB+GentiumBasic;false;false;33.0;88;-1.0;Helden_des_Gottwals;1000;Auf dem Rücken eines Reittiers lässt sich nur der einfache Schild-Bonus einsetzen.
PDTrueTypeFont UXUBHJ+Andalus;false;false;1.0;89;-1.0;Helden_des_Gottwals;1200;Rüstkammer der Gestade des Gottwals
PDType0Font/PDCIDFontType2, PostScript name: GCWVTL+GentiumBasic;false;false;2.0;89;-1.0;Helden_des_Gottwals;1000;mit weichem Filz gepolstert, die Außenseite ist reich verziert und meist mit Wal-Motiven oder einer Abbildung des mit der Seeschlange Hranngar ringenden Swafnir versehen. Man erzählt sich, den Schild eines Swafnirgeweihten zu berühren, verleihe Glück auf See wie auch im Kampf und der Schildwall, an dem ein Walschild beteiligt ist, sei unüberwindlich.
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;3.0;89;-1.0;Helden_des_Gottwals;1300;Gjalsker Knochenkeule (Byrlysgh)
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;4.0;89;-1.0;Helden_des_Gottwals;1000;»Es war wohl eine Art Rat, vor den man uns führte. Alle Schamanen der Sippe waren dort versammelt. Sie blickten grimmig, und jeder von ihnen trug eine aus Knochen gefertigte Keule. Manche waren kürzer als mein Arm, andere so gewaltig, dass man wohl zwei kräftige Arme bräuchte, um sie im Kampf zu schwingen.«—aus den Berichten des diplomatischen Gesandten Decius Paligan an seine Vorgesetzten in Al’Anfa, 1043 BF
PDType0Font/PDCIDFontType2, PostScript name: GCWVTL+GentiumBasic;false;false;5.0;89;-1.0;Helden_des_Gottwals;1000;Die
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;6.0;89;-1.0;Helden_des_Gottwals;1000;Byrlysgh
PDType0Font/PDCIDFontType2, PostScript name: GCWVTL+GentiumBasic;false;false;7.0;89;-1.0;Helden_des_Gottwals;1000;, die traditionelle Knochenkeule, ist das Erkennungszeichen der Schamanen des Gjalskerlandes. Es gleicht jedoch kein Stück dem anderen, da jeder Schamane seine Keule selbst auswählt. So finden sich kurze Knochenkeulen von kaum einem halben Schritt Länge ebenso wie Exemplare, die die dreifache Länge aufweisen. Gemeinsam ist allen
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;8.0;89;-1.0;Helden_des_Gottwals;1000;Byrlysgh
PDType0Font/PDCIDFontType2, PostScript name: GCWVTL+GentiumBasic;false;false;9.0;89;-1.0;Helden_des_Gottwals;1000;, dass sie mit Knochen, Federn und Schnitzereien verziert sind.
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;10.0;89;-1.0;Helden_des_Gottwals;1000;»Ich bin Ygrain dûr Deardra. Tritt beiseite oder meine Keule wird an meiner Stelle sprechen.«—Ygrain dûr Deardra, reisende Brancha-Dûn
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;11.0;89;-1.0;Helden_des_Gottwals;1000;Gjalsker Knochenkeule (Byrlysgh)Komplexität primNameKampftechnikTPL+SAT/PA-ModRWGewichtLängePreisGjalsker Knochenkeule (Byrlysgh), kurz
PDTrueTypeFont YQVULB+GentiumBasic;false;false;12.0;89;-1.0;Helden_des_Gottwals;1000;Hiebwaffen1W6+2KK 140/–1kurz1 Stn50 HF20 S
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;13.0;89;-1.0;Helden_des_Gottwals;1000;Gjalsker Knochenkeule (Byrlysgh), mittel
PDTrueTypeFont YQVULB+GentiumBasic;false;false;14.0;89;-1.0;Helden_des_Gottwals;1000;Hiebwaffen1W6+3KK 140/–1mittel1,5 Stn75 HF40 S
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;15.0;89;-1.0;Helden_des_Gottwals;1000;Gjalsker Knochenkeule (Byrlysgh), lang (2H)
PDTrueTypeFont YQVULB+GentiumBasic;false;false;16.0;89;-1.0;Helden_des_Gottwals;1000;Zweihandhiebwaffen1W6+4KK 150/–2mittel4 Stn150 HF80 S
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;17.0;89;-1.0;Helden_des_Gottwals;1000;Anmerkung
PDTrueTypeFont YQVULB+GentiumBasic;false;false;18.0;89;-1.0;Helden_des_Gottwals;1000;Um die Knochenkeule bei der Heldenerschaffung zu erwerben, muss der Held eine schamanistische Tradition besitzen.
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;19.0;89;-1.0;Helden_des_Gottwals;1000;Waffenvorteil
PDTrueTypeFont YQVULB+GentiumBasic;false;false;20.0;89;-1.0;Helden_des_Gottwals;1000;Das Manöver
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;21.0;89;-1.0;Helden_des_Gottwals;1000;Wuchtschlag
PDTrueTypeFont YQVULB+GentiumBasic;false;false;22.0;89;-1.0;Helden_des_Gottwals;1000;richtet +1 TP an.
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;23.0;89;-1.0;Helden_des_Gottwals;1000;Waffennachteil
PDTrueTypeFont YQVULB+GentiumBasic;false;false;24.0;89;-1.0;Helden_des_Gottwals;1000;Die Anwendung des Manövers
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;25.0;89;-1.0;Helden_des_Gottwals;1000;Vorstoß
PDTrueTypeFont YQVULB+GentiumBasic;false;false;26.0;89;-1.0;Helden_des_Gottwals;1000;ist nicht möglich.
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;27.0;89;-1.0;Helden_des_Gottwals;1300;Grimring
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;28.0;89;-1.0;Helden_des_Gottwals;1000;Auf wallenden Wellen wogte Gullbringa,des hehren Helden Hyggelik Heim.Geladen voll mit glänzendem Goldaus sonnengleißender südlicher See.Aufschäumt da die See, das Schiff es schwankt,als wild aus den Wellen ein Wurm sich windet.Schrecklicher Drache schlägt mächtige Schwingenund droht den Drakkar dort zu versenken.Da hebet Hyggelik eilig die Hand,zu schwingen das Schwert, das Grimring genannt.
PDType0Font/PDCIDFontType2, PostScript name: UFSWHJ+GentiumBasic-Italic;false;true;29.0;89;-1.0;Helden_des_Gottwals;1000;Links greift er die Askil geheißene Axt,
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;30.0;89;-1.0;Helden_des_Gottwals;1000;so zweifach bewehrt den Wurm zu bezwingen.—Aus Furgrims Rede, eine Saga um Hyggeliks Kampf gegen den Wasserdrachen Furgrim, um 910 BF
PDType0Font/PDCIDFontType2, PostScript name: GCWVTL+GentiumBasic;false;false;31.0;89;-1.0;Helden_des_Gottwals;1000;Das auch als
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;32.0;89;-1.0;Helden_des_Gottwals;1000;Schicksalsklinge
PDType0Font/PDCIDFontType2, PostScript name: GCWVTL+GentiumBasic;false;false;33.0;89;-1.0;Helden_des_Gottwals;1000;bekannte Schwert
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;34.0;89;-1.0;Helden_des_Gottwals;1000;Grimring
PDType0Font/PDCIDFontType2, PostScript name: GCWVTL+GentiumBasic;false;false;35.0;89;-1.0;Helden_des_Gottwals;1000;gehört zu den bekanntesten Waffen Thorwals, obwohl es ursprünglich nicht aus dem Norden stammt. Vor über tausend Jahren begann der Zyklop
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;36.0;89;-1.0;Helden_des_Gottwals;1000;Lar’Lovreen
PDType0Font/PDCIDFontType2, PostScript name: GCWVTL+GentiumBasic;false;false;37.0;89;-1.0;Helden_des_Gottwals;1000;tief unter einem Vulkan auf der Zyklopeninsel Pailos, dem
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;38.0;89;-1.0;Helden_des_Gottwals;1000;Amran Nemoras
PDType0Font/PDCIDFontType2, PostScript name: GCWVTL+GentiumBasic;false;false;39.0;89;-1.0;Helden_des_Gottwals;1000;, den Zweihänder zu schmieden. Inschriften zieren beide Seiten der Klinge: „Standhaft – wo andere weichen“ auf der einen und „Diese Klinge wird dein Schicksal sein“ auf der anderen Seite. Das Bemerkenswerte an den Inschriften ist, dass die Sprache der Zyklopen gar keine Schrift kennt, die Inschrift aber auch nicht in den gängigen Schriften der nahegelegenen menschlichen Kulturen, also in Imperiale- oder Kusliker Zeichen, verfasst wurde. Stattdessen ähneln die Schriftzeichen der als ausgestorben geltenden Zauberschrift Arkanil. 880 BF übergab der Zyklop den Zweihänder an Seekönig Dirimethos II., der auch
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;40.0;89;-1.0;Helden_des_Gottwals;1000;Der Reiche
PDType0Font/PDCIDFontType2, PostScript name: GCWVTL+GentiumBasic;false;false;41.0;89;-1.0;Helden_des_Gottwals;1000;genannt wurde, um sie ihrer Bestimmung zuzuführen. Der Schmied verriet ihm, was die Inschrift auf der Klinge bedeutet und soll dabei die folgenden Worte gesprochen haben: „Der Träger dieser Waffe, die den Namen
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;42.0;89;-1.0;Helden_des_Gottwals;1000;Grimring
PDType0Font/PDCIDFontType2, PostScript name: GCWVTL+GentiumBasic;false;false;43.0;89;-1.0;Helden_des_Gottwals;1000;trägt, wird das Schicksal eines Reiches bestimmen. Ich werde nun ins Feuer gehen, aber meine Flamme wird bestehen, auf dass sie Wärme spendet, wo sonst nur Kälte sein kann.“Um 900 BF führte der Olporter
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;44.0;89;-1.0;Helden_des_Gottwals;1000;Hetmann
PDTrueTypeFont YQVULB+GentiumBasic;false;false;45.0;89;-1.0;Helden_des_Gottwals;1000;
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;46.0;89;-1.0;Helden_des_Gottwals;1000;Hyggelik der Große
PDTrueTypeFont YQVULB+GentiumBasic;false;false;47.0;89;-1.0;Helden_des_Gottwals;1000;
PDType0Font/PDCIDFontType2, PostScript name: GCWVTL+GentiumBasic;false;false;48.0;89;-1.0;Helden_des_Gottwals;1000;eine Reihe von Plünderfahrten zu den Zyklopeninseln und noch weiter nach Süden, bis in die meridianischen Städte Mengbilla, Chorhop und Brabak. Die Sagas, die noch heute an den Gestaden des Gottwals von Hyggeliks Taten künden, berichten von mehreren Zehntausend erbeuteten Golddukaten und mehr als eintausend erschlagenen Feinden. Eine Zeitlang konnte Seekönig
PDType0Font/PDCIDFontType2, PostScript name: GCWVTL+GentiumBasic;false;false;1.0;90;-1.0;Helden_des_Gottwals;1000;Dirimethos die Plünderer mit
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;2.0;90;-1.0;Helden_des_Gottwals;1000;Grimring
