FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;31.0;81;-1.0;Helden_des_Gottwals;1000;Gjalsker Barbarenhammer (Cogathord)Komplexität primNameKampftechnikTPL+SAT/PA-ModRWGewichtLängePreisGjalsker Barbarenhammer (Cogathord)
PDTrueTypeFont YQVULB+GentiumBasic;false;false;32.0;81;-1.0;Helden_des_Gottwals;1000;(2H)Zweihandhiebwaffen2W6+2KK 130/–3mittel2,75 Stn130 HF150 S
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;33.0;81;-1.0;Helden_des_Gottwals;1000;Waffenvorteil
PDTrueTypeFont YQVULB+GentiumBasic;false;false;34.0;81;-1.0;Helden_des_Gottwals;1000;Die Parade gegen einen Gjalsker Barbarenhammer ist um –1 erschwert, das Manöver
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;35.0;81;-1.0;Helden_des_Gottwals;1000;Hammerschlag
PDTrueTypeFont YQVULB+GentiumBasic;false;false;36.0;81;-1.0;Helden_des_Gottwals;1000;ist für den Träger der Waffe um +1 erleichtert. Richtet der Gjalsker Barbarenhammer bei einem Gegner 14+ TP an, erleidet dieser bis zum Ende der nächsten KR eine Stufe
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;37.0;81;-1.0;Helden_des_Gottwals;1000;Betäubung
PDTrueTypeFont YQVULB+GentiumBasic;false;false;38.0;81;-1.0;Helden_des_Gottwals;1000;.
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;39.0;81;-1.0;Helden_des_Gottwals;1000;Waffennachteil
PDTrueTypeFont YQVULB+GentiumBasic;false;false;40.0;81;-1.0;Helden_des_Gottwals;1000;Nach einem bestätigten Patzer bei einer Attacke oder Parade erhält der Träger bis zum Ende der nachfolgenden KR zusätzlich eine Erschwernis von –2 auf alle Proben. Verfügen zwei Kämpfer über den gleichen INI-Wert, schlägt der Träger eines Barbarenhammers immer zuletzt zu. Führt der Gegner ebenfalls einen Barbarenhammer, kommen die normalen Regeln zur Reihenfolge des Handelns (siehe
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;41.0;81;-1.0;Helden_des_Gottwals;1000;Regelwerk
PDTrueTypeFont YQVULB+GentiumBasic;false;false;42.0;81;-1.0;Helden_des_Gottwals;1000;Seite
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;43.0;81;-1.0;Helden_des_Gottwals;1000;227
PDTrueTypeFont YQVULB+GentiumBasic;false;false;44.0;81;-1.0;Helden_des_Gottwals;1000;) zum Tragen.
