FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont UXUBHJ+Andalus;false;false;1.0;86;-1.0;Helden_des_Gottwals;1800;Werkzeuge und improvisierte Waffen
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;2.0;86;-1.0;Helden_des_Gottwals;1300;Olportmesser
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;3.0;86;-1.0;Helden_des_Gottwals;1000;»Frenja! Wo in Swafnirs Namen hast du mein Messer hingelegt?«»Ich habe es nicht angefasst. Such es gefälligst selbst!«—gehört in einem Langhaus am Nader, neuzeitlich
PDType0Font/PDCIDFontType2, PostScript name: GCWVTL+GentiumBasic;false;false;4.0;86;-1.0;Helden_des_Gottwals;1000;Das Olportmesser zählt zu den Werkzeugen und Gebrauchsgegenständen, die in Thorwal am weitesten verbreitet und praktisch überall zu finden sind. Es besitzt eine schmale Klinge, die in einem soliden Holzgriff endet. Die Vorderseite der Klinge weist eine leicht gebogene, scharfe Schneide auf, die Rückseite ist wie eine zackenlose Säge geformt und eignet sich vorzüglich dafür, Fische zu entschuppen.
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;5.0;86;-1.0;Helden_des_Gottwals;1300;Sonnenstein und Peilscheibe
PDType0Font/PDCIDFontType2, PostScript name: GCWVTL+GentiumBasic;false;false;6.0;86;-1.0;Helden_des_Gottwals;1000;Zwar orientieren sich die Thorwaler zur Navigation meistens an prominenten Landmarken, allerdings spielt auch die Sonne eine große Rolle und wird insbesondere in unbekannten Gewässern oder außer Sicht der Küste wichtig für die Positionsbestimmung. Als Hilfsmittel haben
PDTrueTypeFont YQVULB+GentiumBasic;false;false;7.0;86;-1.0;Helden_des_Gottwals;1000;sie eine
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;8.0;86;-1.0;Helden_des_Gottwals;1000;Peilscheibe
PDType0Font/PDCIDFontType2, PostScript name: GCWVTL+GentiumBasic;false;false;9.0;86;-1.0;Helden_des_Gottwals;1000;entwickelt, mit der sie anhand des Sonnenstands ihre Position ermitteln können. Der Rand der hölzernen Scheibe ist mit wellenförmigen Gravuren versehen, die Wind- und Himmelsrichtungen angeben. In der Mitte ist ein Holzstab, ein sogenannter Schattenstab, dessen Schatten auf zwei darunter verlaufenden Linien, einer geraden und einer gebogenen, fällt. Die Linien zeigen den Stand der Sonne im Tagesverlauf an. Solange man also die Tageszeit kennt, kann man die Scheibe so ausrichten, dass der Schatten des Stabes auf den entsprechenden Punkt der Linien fällt, und kann dadurch sowohl auf die eigene Position als auch auf die Himmelsrichtungen schließen. Da dieses Navigationsinstrument an seine Grenzen stößt, sobald die Sonne durch Wolken verdeckt ist oder Nebel aufzieht, verwenden die Thorwaler zusätzlich einen
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;10.0;86;-1.0;Helden_des_Gottwals;1000;Sonnenstein
PDType0Font/PDCIDFontType2, PostScript name: GCWVTL+GentiumBasic;false;false;11.0;86;-1.0;Helden_des_Gottwals;1000;. Dabei handelt es sich um einen Doppelspatkristall, einen trübdurchsichtigen Stein, der selbst bei trübstem Sonnenlicht, dichtem Nebel und bis zu eine Stunde vor Sonnenauf- oder nach Sonnenuntergang beim Hindurchblicken zwei Lichtbündel in seinem Inneren zeigt. Durch Drehen des Steins lässt sich anhand der Leuchtkraft der beiden Lichtbündel der Stand der Sonne ermitteln. Zudem kann man mit ihm auch schwaches Licht auf die Peilscheibe konzentrieren, sodass der Schattenstab einen ausreichenden Schatten wirft.
