FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont UXUBHJ+Andalus;false;false;1.0;73;-1.0;Helden_des_Gottwals;1200;Rüstkammer der Gestade des Gottwals
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;2.0;73;-1.0;Helden_des_Gottwals;1300;Hjallander Entermesser
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;3.0;73;-1.0;Helden_des_Gottwals;1000;»Die Schurken dachten gewiss, wir wären eine leichte Beute, da es nur ein kleines Fischerboot war, in dem wir unterwegs waren. Aber ihr müsst wissen, in Hjalland geht ein Fischer niemals unbewaffnet an Bord. Ragnild und ihre Schwester holten ihre Entermesser hervor, und da sah die Sache gleich ganz anders aus.«—Eirik „Hartbrot“ Thorasson, Abenteurer aus Prem, zu seinen Gefährten, 1042 BF
PDType0Font/PDCIDFontType2, PostScript name: GCWVTL+GentiumBasic;false;false;4.0;73;-1.0;Helden_des_Gottwals;1000;Das Hjallander Entermesser ist eine klassische Gebrauchswaffe der einfachen Menschen. Es findet sich überall dort, wo Thorwaler zur See fahren, eignet es sich doch vorzüglich zum Kampf auf Schiffen und unter beengten Bedingungen. An den Gestaden des Gottwals ist das Entermesser neben Seeleuten und Fischern auch bei Piraten beliebt. Auch mancher Rekker, der sich gewöhnlich auf die Wirkung seiner Axt verlässt, führt als Seitenwaffe eine solche Klinge, die im dichten Handgemenge weitaus schneller zu führen ist. In seiner Form ähnelt das Hjallander Entermesser dem Hjalsmesser, ist jedoch meist länger und weist eine kurze Parierstange und einen massiven, geschmiedeten Knauf als Gegengewicht zur Klinge auf, sodass der Griff eher dem eines Breitschwerts ähnelt und die Waffe besser ausbalanciert ist. Die einseitig geschliffene, spitz zulaufende Klinge eignet sich gleichermaßen, um Taue zu durch trennen, Hiebe abzuwehren oder sie einem Feind in die Brust zu stoßen. Im Laufe der Zeit hat diese Form der Waffe auch in den benachbarten Regionen Verbreitung gefunden, sodass man das Hjallander Entermesser auch in den Händen
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;5.0;73;-1.0;Helden_des_Gottwals;1000;»Mit so einem Entermesser könnte ich mich glatt anfreunden! Es ist zwar ein wenig länger als ein Kurzschwert, aber auch in einer engen Gasse sollte man damit noch ganz gut herumhantieren können – auch, wenn es wohl eher für den Einsatz an Deck eines Schiffes gemacht ist.«—Carolan Calavanti, Vinsalter Streuner»Komm nur her und begrüße das Messer aus Hjalland!«
PDType0Font/PDCIDFontType2, PostScript name: UFSWHJ+GentiumBasic-Italic;false;true;6.0;73;-1.0;Helden_des_Gottwals;1000;—Schwarzaxt, Anführer der friedlosen Piraten
PDType0Font/PDCIDFontType2, PostScript name: GCWVTL+GentiumBasic;false;false;7.0;73;-1.0;Helden_des_Gottwals;1000;einer albernischen Schmugglerin, eines nostrischen Strandräubers oder eines Glücksritters im Orkland finden kann.
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;8.0;73;-1.0;Helden_des_Gottwals;1300;Hjalskari-Rundschild
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;9.0;73;-1.0;Helden_des_Gottwals;1000;»Pfeile und Bolzen prasselten auf uns herab, dicht wie ein Sturzregen und so viele, dass sie die Sonne verdunkelten. Aber wir duckten uns tief hinter unseren Schild wall und harrten tapfer aus, Stunde um Stunde, bis ihnen die Ge-
PDType0Font/PDCIDFontType2, PostScript name: UFSWHJ+GentiumBasic-Italic;false;true;10.0;73;-1.0;Helden_des_Gottwals;1000;schosse ausgingen. Mit all den gefiederten Schäften, die aus
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;11.0;73;-1.0;Helden_des_Gottwals;1000;unseren Schilden ragten, sahen wir aus wie Igel. Bei Swafnir, die haben Augen gemacht, als wir mit einem Mal auf sie losgestürmt sind. Sie haben sich vor Angst ins Hemd gemacht und sind gelaufen, als wäre Hranngar persönlich hinter ihnen her, das wohl!«
PDTrueTypeFont YQVULB+GentiumBasic;false;false;12.0;73;-1.0;Helden_des_Gottwals;1000;
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;13.0;73;-1.0;Helden_des_Gottwals;1000;—Haakon Eldgrimmsson, weitgereister Rekker und Veteran der Hjalskari, 1043 BF
PDType0Font/PDCIDFontType2, PostScript name: GCWVTL+GentiumBasic;false;false;14.0;73;-1.0;Helden_des_Gottwals;1000;Die
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;15.0;73;-1.0;Helden_des_Gottwals;1000;Hjalskari
PDType0Font/PDCIDFontType2, PostScript name: GCWVTL+GentiumBasic;false;false;16.0;73;-1.0;Helden_des_Gottwals;1000;ist die Garde des
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;17.0;73;-1.0;Helden_des_Gottwals;1000;Obersten Hjalding
PDType0Font/PDCIDFontType2, PostScript name: GCWVTL+GentiumBasic;false;false;18.0;73;-1.0;Helden_des_Gottwals;1000;und damit so etwas wie eine thorwalsche Armee. Im Gegensatz zu den regionalen Gefolgschaften und Aufgeboten der Hetleute,
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;19.0;73;-1.0;Helden_des_Gottwals;1000;Hersire
PDType0Font/PDCIDFontType2, PostScript name: GCWVTL+GentiumBasic;false;false;20.0;73;-1.0;Helden_des_Gottwals;1000;und
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;21.0;73;-1.0;Helden_des_Gottwals;1000;Jarle
PDType0Font/PDCIDFontType2, PostScript name: GCWVTL+GentiumBasic;false;false;22.0;73;-1.0;Helden_des_Gottwals;1000;untersteht die
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;23.0;73;-1.0;Helden_des_Gottwals;1000;Hjalskari
PDTrueTypeFont YQVULB+GentiumBasic;false;false;24.0;73;-1.0;Helden_des_Gottwals;1000;
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;25.0;73;-1.0;Helden_des_Gottwals;1000;Hjallander EntermesserKomplexität einfNameKampftechnikTPL+SAT/PA-ModRWGewichtLängePreisHjallander Entermesser
PDTrueTypeFont YQVULB+GentiumBasic;false;false;26.0;73;-1.0;Helden_des_Gottwals;1000;Schwerter1W6+3GE/KK 15/140/–1mittel1 Stn75 HF130 S
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;27.0;73;-1.0;Helden_des_Gottwals;1000;Waffenvorteil
PDTrueTypeFont YQVULB+GentiumBasic;false;false;28.0;73;-1.0;Helden_des_Gottwals;1000;In beengter Umgebung erleidet der Träger eines Hjallander Entermessers nur Abzüge von jeweils –3 auf AT und PA. Passierschläge sind für den Träger lediglich um –2 erschwert.
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;29.0;73;-1.0;Helden_des_Gottwals;1000;Waffennachteil
PDTrueTypeFont YQVULB+GentiumBasic;false;false;30.0;73;-1.0;Helden_des_Gottwals;1000;Paraden gegen
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;31.0;73;-1.0;Helden_des_Gottwals;1000;Ketten-
PDTrueTypeFont YQVULB+GentiumBasic;false;false;32.0;73;-1.0;Helden_des_Gottwals;1000;und
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;33.0;73;-1.0;Helden_des_Gottwals;1000;Zweihandwaffen
PDTrueTypeFont YQVULB+GentiumBasic;false;false;34.0;73;-1.0;Helden_des_Gottwals;1000;sind mit dem Hjallander Entermesser um –1 erschwert.
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;35.0;73;-1.0;Helden_des_Gottwals;1000;Hjalskari-RundschildKomplexität einfNameKampftechnikTPL+SAT/PA-ModRWGewichtLängePreisHjalskari-Rundschild
PDTrueTypeFont YQVULB+GentiumBasic;false;false;36.0;73;-1.0;Helden_des_Gottwals;1000;Schilde1W6+1KK 16–5/+2kurz4,5 Stn75 HF80 S
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;37.0;73;-1.0;Helden_des_Gottwals;1000;Anmerkung
PDTrueTypeFont YQVULB+GentiumBasic;false;false;38.0;73;-1.0;Helden_des_Gottwals;1000;mittlerer Schild, 30 Strukturpunkte
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;39.0;73;-1.0;Helden_des_Gottwals;1000;Waffenvorteil
PDTrueTypeFont YQVULB+GentiumBasic;false;false;40.0;73;-1.0;Helden_des_Gottwals;1000;Wird der Hjalskari-Rundschild in einem
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;41.0;73;-1.0;Helden_des_Gottwals;1000;Schildwall
PDTrueTypeFont YQVULB+GentiumBasic;false;false;42.0;73;-1.0;Helden_des_Gottwals;1000;eingesetzt, erhalten alle an der Formation beteiligten Kämpfer einen Bonus auf AT in Höhe von +1.
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;43.0;73;-1.0;Helden_des_Gottwals;1000;Waffennachteil
PDTrueTypeFont YQVULB+GentiumBasic;false;false;44.0;73;-1.0;Helden_des_Gottwals;1000;Auf dem Rücken eines Reittiers lässt sich nur der einfache Schild-Bonus einsetzen.
PDTrueTypeFont UXUBHJ+Andalus;false;false;45.0;73;-1.0;Helden_des_Gottwals;1800;Thorwaler Waffen
PDType0Font/PDCIDFontType2, PostScript name: GCWVTL+GentiumBasic;false;false;1.0;74;-1.0;Helden_des_Gottwals;1000;direkt dem Hetmann der Hetleute. Während sich die Bewaffnung je nach persönlichen Vorlieben der Rekker unterscheidet, tragen viele Angehörige dieser Garde einen ähnlichen Schild. Es handelt sich um einen großen hölzernen Rundschild, dem ein genieteter Metallbuckel im Zentrum zusätzliche Stabilität verleiht. Der Rand des Schilds ist mit einem Band aus gehärtetem,
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;2.0;74;-1.0;Helden_des_Gottwals;1000;»So ein Rundschild hat mir schon mal das Leben gerettet! Ich war zwar nie ein Mitglied der Hjalskari, aber was man sich in
PDType0Font/PDCIDFontType2, PostScript name: UFSWHJ+GentiumBasic-Italic;false;true;3.0;74;-1.0;Helden_des_Gottwals;1000;dieser Geschichte von den Ifirnshaien
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;4.0;74;-1.0;Helden_des_Gottwals;1000;bei den Olportsteinen über mich erzählt, das ist tatsächlich nicht übertrieben.«—Hjaldar Thorwulfsson, thorwalscher Abenteurer und Liebling der Runjas»Gute Geschichten können einem in so manch
PDType0Font/PDCIDFontType2, PostScript name: UFSWHJ+GentiumBasic-Italic;false;true;5.0;74;-1.0;Helden_des_Gottwals;1000;brenzliger Lage behilflich sein ... ich spreche
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;6.0;74;-1.0;Helden_des_Gottwals;1000;da aus Erfahrung. Also erzähl’ schon.«—Carolan Calavanti, Vinsalter Streuner
PDType0Font/PDCIDFontType2, PostScript name: GFHMSC+GentiumBasic-Bold;true;false;7.0;74;-1.0;Helden_des_Gottwals;1000;Ifirnshavener HailanzeKomplexität einfNameKampftechnik
PDTrueTypeFont KIUTXD+GentiumBasic-Bold;true;false;8.0;74;-1.0;Helden_des_Gottwals;1000;TPLZRW
PDType0Font/PDCIDFontType2, PostScript name: GFHMSC+GentiumBasic-Bold;true;false;9.0;74;-1.0;Helden_des_Gottwals;1000;MunitionstypGewichtLängePreisIfirnshavener Hailanze
PDTrueTypeFont YQVULB+GentiumBasic;false;false;10.0;74;-1.0;Helden_des_Gottwals;1000;Wurfwaffen2W6+33 Aktionen5/10/20–3,5 Stn150 HF75 S
PDType0Font/PDCIDFontType2, PostScript name: GFHMSC+GentiumBasic-Bold;true;false;11.0;74;-1.0;Helden_des_Gottwals;1000;Anmerkung
PDTrueTypeFont YQVULB+GentiumBasic;false;false;12.0;74;-1.0;Helden_des_Gottwals;1000;Proben auf FK sind um –4 erschwert. Der RS des Ziels wird verdoppelt. Wenn die Waffe SP anrichtet, erleiden Lebewesen der Größenkategorie
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;13.0;74;-1.0;Helden_des_Gottwals;1000;groß
PDTrueTypeFont YQVULB+GentiumBasic;false;false;14.0;74;-1.0;Helden_des_Gottwals;1000;oder
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;15.0;74;-1.0;Helden_des_Gottwals;1000;riesig
PDTrueTypeFont YQVULB+GentiumBasic;false;false;16.0;74;-1.0;Helden_des_Gottwals;1000;bei einer 1-3 auf W6 +6 SP. Nach einem misslungenen FK-Angriff mit der Hailanze kann der Werfer sie mit dem Seil zurückholen, dies erfordert 1 Aktion.
PDType0Font/PDCIDFontType2, PostScript name: GFHMSC+GentiumBasic-Bold;true;false;17.0;74;-1.0;Helden_des_Gottwals;1000;Waffenvorteil
PDTrueTypeFont YQVULB+GentiumBasic;false;false;18.0;74;-1.0;Helden_des_Gottwals;1000;Erleiden Lebewesen der Größenkategorie
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;19.0;74;-1.0;Helden_des_Gottwals;1000;groß
PDTrueTypeFont YQVULB+GentiumBasic;false;false;20.0;74;-1.0;Helden_des_Gottwals;1000;oder
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;21.0;74;-1.0;Helden_des_Gottwals;1000;riesig
PDTrueTypeFont YQVULB+GentiumBasic;false;false;22.0;74;-1.0;Helden_des_Gottwals;1000;zusätzlichen Schaden, so ist die Hailanze im Körper des Ziels steckengeblieben. Es kann sich mit einer gelungenen Probe auf
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;23.0;74;-1.0;Helden_des_Gottwals;1000;Körperbeherrschung
PDTrueTypeFont YQVULB+GentiumBasic;false;false;24.0;74;-1.0;Helden_des_Gottwals;1000;–2 von der Lanze befreien, dies erfordert 1 Aktion. Das Ziel erleidet dabei 1W6+2 SP, unabhängig vom Gelingen der Probe. Für jeweils volle ZK KR, in denen die Hailanze im Körper des Ziels steckt, muss dieses eine Probe auf
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;25.0;74;-1.0;Helden_des_Gottwals;1000;Selbstbeherrschung (Handlungsfähigkeit bewahren)
PDTrueTypeFont YQVULB+GentiumBasic;false;false;26.0;74;-1.0;Helden_des_Gottwals;1000;–2 ablegen. Bei Misslingen erleidet es 1 Stufe
PDTrueTypeFont MTRAZZ+GentiumBasic-Italic;false;true;27.0;74;-1.0;Helden_des_Gottwals;1000;Schmerz
PDTrueTypeFont YQVULB+GentiumBasic;false;false;28.0;74;-1.0;Helden_des_Gottwals;1000;und 1W6+2 SP. Um die Hailanze vorsichtig zu entfernen, ist eine Probe auf
