FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont TVAJEL+Andalus;false;false;16.0;51;-1.0;Helden_des_Wolfsfrosts;1800;Zauberstilsonderfertigkeiten
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;17.0;51;-1.0;Helden_des_Wolfsfrosts;1000;Für grundlegende Regeln zu Stilsonderfertigkeiten und erweiterten Sonderfertigkeiten siehe Seite
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;18.0;51;-1.0;Helden_des_Wolfsfrosts;1000;34
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;19.0;51;-1.0;Helden_des_Wolfsfrosts;1000;in diesem Buch. Weitere Informationen zu Zauber-
PDType0Font/PDCIDFontType2, PostScript name: FVZKXE+GentiumBasic;false;false;20.0;51;-1.0;Helden_des_Wolfsfrosts;1000;stilen findest du in
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;21.0;51;-1.0;Helden_des_Wolfsfrosts;1000;Aventurischen Magie
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;22.0;51;-1.0;Helden_des_Wolfsfrosts;1000;auf Seite
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;23.0;51;-1.0;Helden_des_Wolfsfrosts;1000;85
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;24.0;51;-1.0;Helden_des_Wolfsfrosts;1000;.
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;25.0;51;-1.0;Helden_des_Wolfsfrosts;1300;Scholar der Thyella vom Gewitterturm
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;26.0;51;-1.0;Helden_des_Wolfsfrosts;1000;Die Schüler Thyellas verbringen viel Zeit in Wind und Wetter des Hohen Nordens. Dadurch entwickeln sie sich zu Spezialisten des Elements Luft und lernen dieses besonders gezielt zu manipulieren. Als zweites Standbein vermittelt die Maga umfassende Kenntnisse in der Alchimie.
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;27.0;51;-1.0;Helden_des_Wolfsfrosts;1000;Regel
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;28.0;51;-1.0;Helden_des_Wolfsfrosts;1000;Zauber mit dem Merkmal
PDTrueTypeFont NMYZYX+GentiumBasic-Italic;false;true;29.0;51;-1.0;Helden_des_Wolfsfrosts;1000;Elementar
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;30.0;51;-1.0;Helden_des_Wolfsfrosts;1000;, die dem Element Luft zugeordnet werden können, erhalten eine Erleichterung von +1 und kosten 1 AsP weniger (bis zu einem Minimum von 1 AsP).
