FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont TVAJEL+Andalus;false;false;1.0;35;-1.0;Helden_des_Wolfsfrosts;1800;Allgemeine Sonderfertigkeiten
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;2.0;35;-1.0;Helden_des_Wolfsfrosts;1300;Fallenbaumeisterin
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;3.0;35;-1.0;Helden_des_Wolfsfrosts;1000;Nicht jeder kann einen hochkomplexen Mechanismus für eine Falle anfertigen, Fallenbaumeister sind darin jedoch geübt.
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;4.0;35;-1.0;Helden_des_Wolfsfrosts;1000;Regel
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;5.0;35;-1.0;Helden_des_Wolfsfrosts;1000;Die Heldin bekommt durch diese Sonderfertigkeit das neue Anwendungsgebiet
PDTrueTypeFont NMYZYX+GentiumBasic-Italic;false;true;6.0;35;-1.0;Helden_des_Wolfsfrosts;1000;Fallen herstellen
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;7.0;35;-1.0;Helden_des_Wolfsfrosts;1000;in den Talenten
PDTrueTypeFont NMYZYX+GentiumBasic-Italic;false;true;8.0;35;-1.0;Helden_des_Wolfsfrosts;1000;Mechanik
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;9.0;35;-1.0;Helden_des_Wolfsfrosts;1000;und
PDTrueTypeFont NMYZYX+GentiumBasic-Italic;false;true;10.0;35;-1.0;Helden_des_Wolfsfrosts;1000;Schlösserknacken
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;11.0;35;-1.0;Helden_des_Wolfsfrosts;1000;. Sie kann fortan einfache Fallen herstellen. Für komplexe Fallen benötigt sie ein Berufsgeheimnis.
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;12.0;35;-1.0;Helden_des_Wolfsfrosts;1000;Voraussetzungen
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;13.0;35;-1.0;Helden_des_Wolfsfrosts;1000;Sonderfertigkeit
PDTrueTypeFont NMYZYX+GentiumBasic-Italic;false;true;14.0;35;-1.0;Helden_des_Wolfsfrosts;1000;Fallen entschärfen (siehe
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;15.0;35;-1.0;Helden_des_Wolfsfrosts;1000;Regelwerk
PDTrueTypeFont NMYZYX+GentiumBasic-Italic;false;true;16.0;35;-1.0;Helden_des_Wolfsfrosts;1000;Seite
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;17.0;35;-1.0;Helden_des_Wolfsfrosts;1000;216
PDTrueTypeFont NMYZYX+GentiumBasic-Italic;false;true;18.0;35;-1.0;Helden_des_Wolfsfrosts;1000;)
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;19.0;35;-1.0;Helden_des_Wolfsfrosts;1000;AP-Wert
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;20.0;35;-1.0;Helden_des_Wolfsfrosts;1000;5 Abenteuerpunkte
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;21.0;35;-1.0;Helden_des_Wolfsfrosts;1300;Gespür für Himmelsrichtungen
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;22.0;35;-1.0;Helden_des_Wolfsfrosts;1000;Einige Helden haben ein besonders feinsinniges Gespür dafür, in welcher Richtung Osten, Westen, Norden oder Süden liegen, auch wenn sie kaum Anhaltspunkte haben.
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;23.0;35;-1.0;Helden_des_Wolfsfrosts;1000;Regel
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;24.0;35;-1.0;Helden_des_Wolfsfrosts;1000;Mithilfe dieser Sonderfertigkeit besitzt ein Held ein gutes Gespür zur Bestimmung von Himmelsrichtungen. Dies erleichtert ihm bei Proben auf das Talent
PDTrueTypeFont NMYZYX+GentiumBasic-Italic;false;true;25.0;35;-1.0;Helden_des_Wolfsfrosts;1000;Orientierung
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;26.0;35;-1.0;Helden_des_Wolfsfrosts;1000;die erste Teilprobe auf IN.
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;27.0;35;-1.0;Helden_des_Wolfsfrosts;1000;Voraussetzungen
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;28.0;35;-1.0;Helden_des_Wolfsfrosts;1000;Orientierung 4
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;29.0;35;-1.0;Helden_des_Wolfsfrosts;1000;AP-Wert
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;30.0;35;-1.0;Helden_des_Wolfsfrosts;1000;3 Abenteuerpunkte
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;31.0;35;-1.0;Helden_des_Wolfsfrosts;1300;Hunde- bzw. Dachsschlitten (Berufsgeheimnis)
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;32.0;35;-1.0;Helden_des_Wolfsfrosts;1000;Im Hohen Norden, wo viele Monde im Jahr Schnee das Land bedeckt, haben von Hunden oder Dachsen gezogene Schlitten eine weite Verbreitung als schnelles Transport- und Fortbewegungsmittel gefunden. Ein solches Gespann mit einer Meute halbwilder Tiere nur durch Verlagerungen des Gewichts zu lenken, benötigt einiges an Training und Erfahrung.Das Berufsgeheimnis muss für beide Tierarten separat erworben werden.
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;33.0;35;-1.0;Helden_des_Wolfsfrosts;1000;Voraussetzungen
