FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont TVAJEL+Andalus;false;false;74.0;47;-1.0;Helden_des_Wolfsfrosts;1800;Shakagra, die Nachtalben
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;75.0;47;-1.0;Helden_des_Wolfsfrosts;1000;Soll der Animist bei der Heldenerschaffung die Bindung der Waffe bereits vollführt und die perma
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;76.0;47;-1.0;Helden_des_Wolfsfrosts;1000;-
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;77.0;47;-1.0;Helden_des_Wolfsfrosts;1000;nenten AsP zurückgekauft haben, kostet diese Son
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;78.0;47;-1.0;Helden_des_Wolfsfrosts;1000;-
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;79.0;47;-1.0;Helden_des_Wolfsfrosts;1000;derfertigkeit 14 AP.
PDTrueTypeFont TVAJEL+Andalus;false;false;80.0;47;-1.0;Helden_des_Wolfsfrosts;1200;Regeln des Wolfsfrosts
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;81.0;47;-1.0;Helden_des_Wolfsfrosts;1000;Die Tradition (Nachtalben) als Sonderfertigkeit
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;82.0;47;-1.0;Helden_des_Wolfsfrosts;1000;
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;83.0;47;-1.0;Helden_des_Wolfsfrosts;1000;Ein Zauber der nachtalbischen Tradition erfordert Sicht auf das Ziel sowie eine magische Geste und aus
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;84.0;47;-1.0;Helden_des_Wolfsfrosts;1000;-
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;85.0;47;-1.0;Helden_des_Wolfsfrosts;1000;gesprochene Formel, die auch unauffällig sein können.
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;86.0;47;-1.0;Helden_des_Wolfsfrosts;1000;
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;87.0;47;-1.0;Helden_des_Wolfsfrosts;1000;Nachtalbische Zauber können in Zauberbücher und Schriftrollen niedergeschrieben und aus ihnen ohne Lehrmeister erlernt werden.
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;88.0;47;-1.0;Helden_des_Wolfsfrosts;1000;
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;89.0;47;-1.0;Helden_des_Wolfsfrosts;1000;Nachtalben können prinzipiell elfische Zauberlie
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;90.0;47;-1.0;Helden_des_Wolfsfrosts;1000;-
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;91.0;47;-1.0;Helden_des_Wolfsfrosts;1000;der erlernen und nutzen, da sie automatisch den Zweistimmigen Gesang beherrschen. Sie verfügen durch ihre bisherige Abgeschiedenheit aber über einen gänzlich eigenen Satz an Verzerrten Elfenliedern.
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;92.0;47;-1.0;Helden_des_Wolfsfrosts;1000;
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;93.0;47;-1.0;Helden_des_Wolfsfrosts;1000;Zauber des Merkmals Dämonisch verfügen über eine verdoppelte Wirkungsdauer und kosten 1 AsP weniger. Die AsP-Kosten können dadurch nicht un
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;94.0;47;-1.0;Helden_des_Wolfsfrosts;1000;-
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;95.0;47;-1.0;Helden_des_Wolfsfrosts;1000;ter 1 sinken.
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;96.0;47;-1.0;Helden_des_Wolfsfrosts;1000;
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;97.0;47;-1.0;Helden_des_Wolfsfrosts;1000;Die Leiteigenschaft der Tradition ist Mut.
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;98.0;47;-1.0;Helden_des_Wolfsfrosts;1000;Voraussetzungen
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;99.0;47;-1.0;Helden_des_Wolfsfrosts;1000;Vorteil Zauberer, Spezies Nachtalb
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;100.0;47;-1.0;Helden_des_Wolfsfrosts;1000;AP-Wert
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;101.0;47;-1.0;Helden_des_Wolfsfrosts;1000;135 AP
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;1.0;48;-1.0;Helden_des_Wolfsfrosts;1300;Verzerrte Elfenlieder
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;2.0;48;-1.0;Helden_des_Wolfsfrosts;1000;Die Shakagra beherrschen eine befremdliche Art des Zweistimmigen Gesangs. Wo schon ihre Sprache in el-
PDType0Font/PDCIDFontType2, PostScript name: VKMCXY+GentiumBasic;false;false;3.0;48;-1.0;Helden_des_Wolfsfrosts;1000;fischen Ohren nahezu schmerzhaft klingt, sind die Auswirkungen ihres Gesangs noch drastischer. Wie dämonisch verzerrte Kakophonien voll schräger, un
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;4.0;48;-1.0;Helden_des_Wolfsfrosts;1000;-
PDType0Font/PDCIDFontType2, PostScript name: VKMCXY+GentiumBasic;false;false;5.0;48;-1.0;Helden_des_Wolfsfrosts;1000;natürlicher Töne klingen ihre Zauberlieder. Plötzliche Tempowechsel, stakkatohafte, schmerzhafte Laute und unnatürlich schrille Überlagerungen der beiden Stim
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;6.0;48;-1.0;Helden_des_Wolfsfrosts;1000;-
PDType0Font/PDCIDFontType2, PostScript name: VKMCXY+GentiumBasic;false;false;7.0;48;-1.0;Helden_des_Wolfsfrosts;1000;men prägen den „Gesang“, der geradezu wie eine Ver
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;8.0;48;-1.0;Helden_des_Wolfsfrosts;1000;-
PDType0Font/PDCIDFontType2, PostScript name: VKMCXY+GentiumBasic;false;false;9.0;48;-1.0;Helden_des_Wolfsfrosts;1000;höhnung elfischer Zauberlieder klingt. Worte in Zhay
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;10.0;48;-1.0;Helden_des_Wolfsfrosts;1000;-
PDType0Font/PDCIDFontType2, PostScript name: VKMCXY+GentiumBasic;false;false;11.0;48;-1.0;Helden_des_Wolfsfrosts;1000;ad und echsische Anleihen prägen diese Musik, sodass oberirdische Bewohner sie zunächst oft nicht einmal als Lieder erkennen, sondern uralte Beschwörungsformeln dahinter vermuten.Die Wirkung setzt sofort ein, also nachdem der Sha
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;12.0;48;-1.0;Helden_des_Wolfsfrosts;1000;-
PDType0Font/PDCIDFontType2, PostScript name: VKMCXY+GentiumBasic;false;false;13.0;48;-1.0;Helden_des_Wolfsfrosts;1000;kagra 1 Aktion für das Spielen des Lieds aufgewandt hat. Während des Lieds kann der Shakagra pro KR nur 1 Handlung zum Bewegen nutzen, alle übrigen muss er zum Vortragen des Lieds verwenden.
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;14.0;48;-1.0;Helden_des_Wolfsfrosts;1000;Verzerrte Elfenlieder im Detail
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;15.0;48;-1.0;Helden_des_Wolfsfrosts;1000;
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;16.0;48;-1.0;Helden_des_Wolfsfrosts;1000;Regeltechnisch gelten Verzerrte Elfenlieder als Ritualzauber. Daher greifen alle Regeln für Ritua
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;17.0;48;-1.0;Helden_des_Wolfsfrosts;1000;-
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;18.0;48;-1.0;Helden_des_Wolfsfrosts;1000;le auch für nachtalbische Zauberlieder, wobei die richtige oder falsche Bekleidung hierfür keine Rolle spielt und sie nicht modifiziert werden können.
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;19.0;48;-1.0;Helden_des_Wolfsfrosts;1000;
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;20.0;48;-1.0;Helden_des_Wolfsfrosts;1000;Jedes Lied hat einen eigenen Fertigkeitswert und alle Grundregeln für Fertigkeiten gelten auch bei nachtalbischen Zauberliedern.
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;21.0;48;-1.0;Helden_des_Wolfsfrosts;1000;
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;22.0;48;-1.0;Helden_des_Wolfsfrosts;1000;Nur ein Held, der über das Anwendungsgebiet
PDTrueTypeFont NMYZYX+GentiumBasic-Italic;false;true;23.0;48;-1.0;Helden_des_Wolfsfrosts;1000;Zweistimmiger Gesang
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;24.0;48;-1.0;Helden_des_Wolfsfrosts;1000;im Talent
PDTrueTypeFont NMYZYX+GentiumBasic-Italic;false;true;25.0;48;-1.0;Helden_des_Wolfsfrosts;1000;Singen
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;26.0;48;-1.0;Helden_des_Wolfsfrosts;1000;verfügt, kann die Verzerrten Elfenlieder anwenden. Er legt auf die einzelnen Elfenlieder eine Fertigkeitsprobe ab.
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;27.0;48;-1.0;Helden_des_Wolfsfrosts;1000;
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;28.0;48;-1.0;Helden_des_Wolfsfrosts;1000;Jedes Verzerrte Elfenlied hat einen eigenen Fertigkeitswert.
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;29.0;48;-1.0;Helden_des_Wolfsfrosts;1000;
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;30.0;48;-1.0;Helden_des_Wolfsfrosts;1000;Der Nachtalb kann vor dem Ablegen der Probe auf das Verzerrte Elfenlied eine Probe auf
PDTrueTypeFont NMYZYX+GentiumBasic-Italic;false;true;31.0;48;-1.0;Helden_des_Wolfsfrosts;1000;Singen
PDType0Font/PDCIDFontType2, PostScript name: OLNFMV+GentiumBasic-Italic;false;true;32.0;48;-1.0;Helden_des_Wolfsfrosts;1000;(Zweistimmiger Gesang)
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;33.0;48;-1.0;Helden_des_Wolfsfrosts;1000;oder
PDTrueTypeFont NMYZYX+GentiumBasic-Italic;false;true;34.0;48;-1.0;Helden_des_Wolfsfrosts;1000;Musizieren (je nach An-
PDType0Font/PDCIDFontType2, PostScript name: OLNFMV+GentiumBasic-Italic;false;true;35.0;48;-1.0;Helden_des_Wolfsfrosts;1000;wendungsgebiet)
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;36.0;48;-1.0;Helden_des_Wolfsfrosts;1000;ablegen (jeweils bei den Liedern einzeln aufgeführt). Jede QS in der Probe gibt dem Nachtalb 1 FP bei der eigentlichen Probe auf das Zauberlied.
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;37.0;48;-1.0;Helden_des_Wolfsfrosts;1000;Kakophonie des WahnsinnsProbe
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;38.0;48;-1.0;Helden_des_Wolfsfrosts;1000;MU/KL/CH
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;39.0;48;-1.0;Helden_des_Wolfsfrosts;1000;Wirkung
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;40.0;48;-1.0;Helden_des_Wolfsfrosts;1000;Solange das Lied gespielt wird, erhalten alle Lebewesen im Radius von QS x 3 Schritt 2 Stufen des Zustands
PDTrueTypeFont NMYZYX+GentiumBasic-Italic;false;true;41.0;48;-1.0;Helden_des_Wolfsfrosts;1000;Verwirrung
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;42.0;48;-1.0;Helden_des_Wolfsfrosts;1000;. Betroffen sind nur solche Wesen, deren SK die QS des Lieds nicht übersteigen. Nachtal
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;43.0;48;-1.0;Helden_des_Wolfsfrosts;1000;-
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;44.0;48;-1.0;Helden_des_Wolfsfrosts;1000;ben sind gegen die Auswirkungen immun.
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;45.0;48;-1.0;Helden_des_Wolfsfrosts;1000;Talent
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;46.0;48;-1.0;Helden_des_Wolfsfrosts;1000;Musizieren
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;47.0;48;-1.0;Helden_des_Wolfsfrosts;1000;AsP-Kosten
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;48.0;48;-1.0;Helden_des_Wolfsfrosts;1000;8 AsP pro 5 Minuten
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;49.0;48;-1.0;Helden_des_Wolfsfrosts;1000;Merkmal
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;50.0;48;-1.0;Helden_des_Wolfsfrosts;1000;Einfluss
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;51.0;48;-1.0;Helden_des_Wolfsfrosts;1000;Steigerungsfaktor
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;52.0;48;-1.0;Helden_des_Wolfsfrosts;1000;C
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;53.0;48;-1.0;Helden_des_Wolfsfrosts;1000;SchlachtliedProbe
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;54.0;48;-1.0;Helden_des_Wolfsfrosts;1000;MU/IN/CH
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;55.0;48;-1.0;Helden_des_Wolfsfrosts;1000;Wirkung
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;56.0;48;-1.0;Helden_des_Wolfsfrosts;1000;Alle Personen innerhalb von QS x 3 Schritt, die auf der Seite des Musizierenden streiten, erhalten eine Erleichterung von 1 Punkt auf alle Attacken und Paraden. Der Spielende selbst ist nicht davon betrof
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;57.0;48;-1.0;Helden_des_Wolfsfrosts;1000;-
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;58.0;48;-1.0;Helden_des_Wolfsfrosts;1000;fen und kann, wie bei den Verzerrten Elfenliedern üb
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;59.0;48;-1.0;Helden_des_Wolfsfrosts;1000;-
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;60.0;48;-1.0;Helden_des_Wolfsfrosts;1000;lich, nur eine Bewegungshandlung durchführen.
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;61.0;48;-1.0;Helden_des_Wolfsfrosts;1000;Talent
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;62.0;48;-1.0;Helden_des_Wolfsfrosts;1000;Musizieren oder Singen
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;63.0;48;-1.0;Helden_des_Wolfsfrosts;1000;AsP-Kosten
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;64.0;48;-1.0;Helden_des_Wolfsfrosts;1000;1 AsP pro Kampfrunde
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;65.0;48;-1.0;Helden_des_Wolfsfrosts;1000;Merkmal
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;66.0;48;-1.0;Helden_des_Wolfsfrosts;1000;Heilung
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;67.0;48;-1.0;Helden_des_Wolfsfrosts;1000;Steigerungsfaktor
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;68.0;48;-1.0;Helden_des_Wolfsfrosts;1000;B
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;69.0;48;-1.0;Helden_des_Wolfsfrosts;1000;Weitere Zauber in Nachtalbischer Tradition
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;70.0;48;-1.0;Helden_des_Wolfsfrosts;1000;Folgende Zauber des Regelwerks existieren, ab
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;71.0;48;-1.0;Helden_des_Wolfsfrosts;1000;-
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;72.0;48;-1.0;Helden_des_Wolfsfrosts;1000;seits der hier im Buch wiedergegebenen, eben
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;73.0;48;-1.0;Helden_des_Wolfsfrosts;1000;-
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;74.0;48;-1.0;Helden_des_Wolfsfrosts;1000;falls in nachtalbischer Tradition:
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;75.0;48;-1.0;Helden_des_Wolfsfrosts;1000;
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;76.0;48;-1.0;Helden_des_Wolfsfrosts;1000;Zaubersprüche
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;77.0;48;-1.0;Helden_des_Wolfsfrosts;1000;Adlerauge, Armatrutz, Axxe
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;78.0;48;-1.0;Helden_des_Wolfsfrosts;1000;-
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;79.0;48;-1.0;Helden_des_Wolfsfrosts;1000;leratus, Blitz dich find, Corpofesso, Falkenauge, Fulminictus, Horriphobus, Invocatio Minima, Manifesto, Nebelwand, Odem Arcanum, Paraly
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;80.0;48;-1.0;Helden_des_Wolfsfrosts;1000;-
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;81.0;48;-1.0;Helden_des_Wolfsfrosts;1000;sis, Respondami, Spinnenlauf, Spurlos, Visibili
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;82.0;48;-1.0;Helden_des_Wolfsfrosts;1000;
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;83.0;48;-1.0;Helden_des_Wolfsfrosts;1000;Rituale
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;84.0;48;-1.0;Helden_des_Wolfsfrosts;1000;Arcanovi, Dschinnenruf, Elementa
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;85.0;48;-1.0;Helden_des_Wolfsfrosts;1000;-
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;86.0;48;-1.0;Helden_des_Wolfsfrosts;1000;rer Diener, Invocatio Maior, Invocatio Minor, Zauberklinge
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;1.0;49;-1.0;Helden_des_Wolfsfrosts;1000;SturmliedProbe
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;2.0;49;-1.0;Helden_des_Wolfsfrosts;1000;MU/IN/KO
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;3.0;49;-1.0;Helden_des_Wolfsfrosts;1000;Wirkung
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;4.0;49;-1.0;Helden_des_Wolfsfrosts;1000;Solange das Lied gespielt wird, steigt die Windgeschwindigkeit innerhalb eines Radius von QS x 10 Schritt um QS/2 Stufen (maximal ist Stufe 4 möglich). Der Spielende ist nicht von den Auswirkungen betroffen.
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;5.0;49;-1.0;Helden_des_Wolfsfrosts;1000;Talent
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;6.0;49;-1.0;Helden_des_Wolfsfrosts;1000;Musizieren oder Singen
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;7.0;49;-1.0;Helden_des_Wolfsfrosts;1000;AsP-Kosten
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;8.0;49;-1.0;Helden_des_Wolfsfrosts;1000;2 AsP pro Minute
