FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont TVAJEL+Andalus;false;false;1.0;9;-1.0;Helden_des_Wolfsfrosts;1800;Weltliche Professionen
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;2.0;9;-1.0;Helden_des_Wolfsfrosts;1300;Fallensteller
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;3.0;9;-1.0;Helden_des_Wolfsfrosts;1000;Pelze, Felle und das Fleisch vieler Tiere sind begehr
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;4.0;9;-1.0;Helden_des_Wolfsfrosts;1000;-
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;5.0;9;-1.0;Helden_des_Wolfsfrosts;1000;te Waren in aventurischen Städten. So verwundert es kaum, wenn es einen eigenen Beruf für das Einfangen von Tieren gibt. Der Fallensteller arbeitet ausschließ
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;6.0;9;-1.0;Helden_des_Wolfsfrosts;1000;-
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;7.0;9;-1.0;Helden_des_Wolfsfrosts;1000;lich mit Tierfallen und ist kein Jäger im herkömmlichen Sinne. Er benutzt Bärenfallen statt Bogen und Pfeil und steht immer wieder in dem Ruf, ein Wilderer zu sein. Tatsächlich gibt es unter den Fallenstellern viele Wilde
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;8.0;9;-1.0;Helden_des_Wolfsfrosts;1000;-
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;9.0;9;-1.0;Helden_des_Wolfsfrosts;1000;rer, aber genauso auch welche, die von einem Adligen das Recht erhalten haben, Fallen aufstellen zu dürfen. Bei seinen Kollegen, den echten Jägern, wird ein Fal
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;10.0;9;-1.0;Helden_des_Wolfsfrosts;1000;-
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;11.0;9;-1.0;Helden_des_Wolfsfrosts;1000;lensteller misstrauisch beäugt und gemieden, da sein Handwerk in ihren Augen nicht sonderlich firungefäl
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;12.0;9;-1.0;Helden_des_Wolfsfrosts;1000;-
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;13.0;9;-1.0;Helden_des_Wolfsfrosts;1000;lig ist. Er selbst hingegen sieht sich sehr wohl als je
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;14.0;9;-1.0;Helden_des_Wolfsfrosts;1000;-
