FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;1.0;83;-1.0;Helden_des_Wolfsfrosts;1300;Die Schwere Shakagra-Plattenrüstung
PDTrueTypeFont LJZNWB+GentiumBasic-BoldItalic;true;true;2.0;83;-1.0;Helden_des_Wolfsfrosts;1300;Shakri’tar
PDTrueTypeFont NMYZYX+GentiumBasic-Italic;false;true;3.0;83;-1.0;Helden_des_Wolfsfrosts;1000;»Und aus dem wirbelnden Schnee tauchten die Dämonen des Eises auf, von Kopf bis Fuß in nachtschwarzes Metall gewandet. Auf dem Kopf einen Helm dessen Visier einem Fenster in den Abgrund der Niederhöllen glich. Unheilvoll in rotem Licht glühend. Kein Geräusch machten die Dämonen, als sie dort standen und uns einen Augenblick musterten. Dann hefteten sie ihre Hämmer und drangen auf uns ein.«—Ohm Folkert, Erinnerungen an den Himmelsturm, 1010 BF
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;4.0;83;-1.0;Helden_des_Wolfsfrosts;1000;Die klassische Vollpanzerung prägt seit den ersten belastba
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;5.0;83;-1.0;Helden_des_Wolfsfrosts;1000;-
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;6.0;83;-1.0;Helden_des_Wolfsfrosts;1000;ren Berichten über die Nachtalben ihr Bild in der menschli
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;7.0;83;-1.0;Helden_des_Wolfsfrosts;1000;-
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;8.0;83;-1.0;Helden_des_Wolfsfrosts;1000;chen Wahrnehmung. Die Plattenrüstung aus Schwarzstahl verhüllt ihre Körper vollständig, wenn sie aus ihren tiefen Städten an die Oberfläche steigen. Sie schützt dabei nicht nur vor Waffen, sondern vor allem vor dem Tageslicht auf das die älteren Generationen extrem empfindlich reagie
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;9.0;83;-1.0;Helden_des_Wolfsfrosts;1000;-
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;10.0;83;-1.0;Helden_des_Wolfsfrosts;1000;ren. Entsprechend sind ihre Helmvisiere auch mit dunklem Kristallglas versehen, das nicht nur die gleißenden Reflek
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;11.0;83;-1.0;Helden_des_Wolfsfrosts;1000;-
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;12.0;83;-1.0;Helden_des_Wolfsfrosts;1000;tionen auf Schnee und Eis, sondern das Tageslicht generell filtert. Bei den Nai Ashyrr sind die Vollrüstungen dagegen weit weniger verbreitet, da sie unnötig Ressourcen ver
