FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;23.0;77;-1.0;Helden_des_Wolfsfrosts;1000;Anaurak Komplexität
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;24.0;77;-1.0;Helden_des_Wolfsfrosts;1000;komp (4 AP)
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;25.0;77;-1.0;Helden_des_Wolfsfrosts;1000;ArtRüstungsschutzBelastung (Stufe)zusätzliche AbzügeGewichtPreisGewichtLängePreisAnaurak
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;26.0;77;-1.0;Helden_des_Wolfsfrosts;1000;21–1 GS, –1 INI5 Stn120 S1 Stn50 HF5 S
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;27.0;77;-1.0;Helden_des_Wolfsfrosts;1000;Anmerkung
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;28.0;77;-1.0;Helden_des_Wolfsfrosts;1000;Der Anaurak ist eine Variante der Lederrüstung. Er bietet 3 Kälteschutzstufen.
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;29.0;77;-1.0;Helden_des_Wolfsfrosts;1000;Rüstungsvorteil
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;30.0;77;-1.0;Helden_des_Wolfsfrosts;1000;Gegen übernatürlichen Kälteschaden schützt der Anaurak mit RS 4.
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;31.0;77;-1.0;Helden_des_Wolfsfrosts;1000;Rüstungsnachteil
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;32.0;77;-1.0;Helden_des_Wolfsfrosts;1000;Der Träger eines Anauraks erhält einen Abzug von –2 auf INI.»Der
PDTrueTypeFont NMYZYX+GentiumBasic-Italic;false;true;33.0;77;-1.0;Helden_des_Wolfsfrosts;1000;Anaurak ist ein wunderbares Kleidungsstück. Er hält auch in der größten Kälte schön warm, was vor Krankheiten, Erfrierungen und – Peraine bewahre – dem Tod schützt.«—Bruder Hilbert, Perainegeweihter aus Auen
PDTrueTypeFont TVAJEL+Andalus;false;false;34.0;77;-1.0;Helden_des_Wolfsfrosts;1200;Rüstkammer des Wolfsfrosts
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;35.0;77;-1.0;Helden_des_Wolfsfrosts;1300;Waffen versilbern
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;36.0;77;-1.0;Helden_des_Wolfsfrosts;1000;Früher oder später wird ein Held im Wolfsfrost auf den Gedanken kommen, seine Waffe zu versilbern. Glücklicherweise ist dies nicht besonders aufwendig, kann Silber doch einfach in einem Topf über einem Lagerfeuer geschmolzen werden. Das Versilbern einer Waffe setzt demnach keine Sonderfertigkeit voraus. Gleichzeitig aber ist Silber jedoch kein Metall, welches dafür geeignet ist, im Kampf verwendet zu werden. Silberbeschichtungen neigen deshalb dazu, sich bereits nach wenigen kraftvollen Benutzungen von einer Waffe zu lösen.
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;37.0;77;-1.0;Helden_des_Wolfsfrosts;1000;Regel
