FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;1.0;79;-1.0;Helden_des_Wolfsfrosts;1000;Eisiger Wind, Schnee und Temperaturen weit unter dem Gefrierpunkt machen das Tragen von Metallrüstungen zu einem schnell tödlichen Unterfangen. Wo in süd
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;2.0;79;-1.0;Helden_des_Wolfsfrosts;1000;-
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;3.0;79;-1.0;Helden_des_Wolfsfrosts;1000;licheren Gefilden wattiertes Unterzeug reicht, um das Scheuern der Metallteile zu verhindern, braucht man im Hohen Norden – und mancherorts auch im norma
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;4.0;79;-1.0;Helden_des_Wolfsfrosts;1000;-
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;5.0;79;-1.0;Helden_des_Wolfsfrosts;1000;len Winter – spezielle Unterkleidung, die die Wärme im Körper und die eisige Kälte der Metallteile fernhält. Sie ist üblicherweise gesteppt und mit einer eingenähten Fütterung aus Wolle, Fell oder Pelz versehen. Zusätz
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;6.0;79;-1.0;Helden_des_Wolfsfrosts;1000;-
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;7.0;79;-1.0;Helden_des_Wolfsfrosts;1000;lich verlängerte, dicke Kragen, Ärmel, Beine und Schö
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;8.0;79;-1.0;Helden_des_Wolfsfrosts;1000;-
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;9.0;79;-1.0;Helden_des_Wolfsfrosts;1000;ße stellen sicher, dass es nirgends zu einem Kontakt der Metallrüstung mit der Haut kommt. Oftmals lassen sich zugehörige Handschuhe, Kapuzen oder Füßlinge fest anknöpfen.Mancher trägt solche Unterkleidung auch unter nor
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;10.0;79;-1.0;Helden_des_Wolfsfrosts;1000;-
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;11.0;79;-1.0;Helden_des_Wolfsfrosts;1000;maler Kleidung oder einer Fellrüstung, um warm zu bleiben.
