FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;1.0;73;-1.0;Helden_des_Wolfsfrosts;1300;Die Brobim-Wurzelkeule
PDTrueTypeFont LJZNWB+GentiumBasic-BoldItalic;true;true;2.0;73;-1.0;Helden_des_Wolfsfrosts;1300;Gambosch
PDTrueTypeFont NMYZYX+GentiumBasic-Italic;false;true;3.0;73;-1.0;Helden_des_Wolfsfrosts;1000;»Das nennst du einen Totschläger? Das Ding hat noch nicht mal Zacken! Wenn ich mit meinem Gambosch zuschlage, dann kann ich mir sicher sein, dass tot auch tot heißt!«—Bartok Sohn des Brachd, Krieger aus Batatosch, 1047 BF
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;4.0;73;-1.0;Helden_des_Wolfsfrosts;1000;
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;5.0;73;-1.0;Helden_des_Wolfsfrosts;1000;Die „Standardbewaffnung“ der meisten Bro
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;6.0;73;-1.0;Helden_des_Wolfsfrosts;1000;-
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;7.0;73;-1.0;Helden_des_Wolfsfrosts;1000;bim ist ein kruder Knüppel aus hartem, mög
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;8.0;73;-1.0;Helden_des_Wolfsfrosts;1000;-
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;9.0;73;-1.0;Helden_des_Wolfsfrosts;1000;lichst knorrigem Wurzelholz. Grund dafür ist nicht nur die eher geringe Menge an Eisen, das die Brobim in ihren Bingen abbauen und verhütten, sondern auch ihre Unfähigkeit Sel
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;10.0;73;-1.0;Helden_des_Wolfsfrosts;1000;-
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;11.0;73;-1.0;Helden_des_Wolfsfrosts;1000;biges zu schmieden. Dennoch sollte man den Gambosch nicht unterschätzen, denn um die Schadenswirkung zu erhöhen, werden scharf
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;12.0;73;-1.0;Helden_des_Wolfsfrosts;1000;-
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;13.0;73;-1.0;Helden_des_Wolfsfrosts;1000;kantige Nägel, Eisen-, Obsidian- oder Ba
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;14.0;73;-1.0;Helden_des_Wolfsfrosts;1000;-
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;15.0;73;-1.0;Helden_des_Wolfsfrosts;1000;saltsplitter in das Holz geschlagen, sodass sein kopflastiges Ende an die Kugel eines primitiven Morgensterns erinnert. Und wie dieser reißt er hässliche Wunden.
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;16.0;73;-1.0;Helden_des_Wolfsfrosts;1300;Die Brobim-Tiefenaxt
PDTrueTypeFont LJZNWB+GentiumBasic-BoldItalic;true;true;17.0;73;-1.0;Helden_des_Wolfsfrosts;1300;Grumbosch
PDTrueTypeFont NMYZYX+GentiumBasic-Italic;false;true;18.0;73;-1.0;Helden_des_Wolfsfrosts;1000;»Selten habe ich so hässliche Wunden gesehen, wie nach dem Kampf mit den wilden Zwergen. Sind schon die Hämmer und Äxte der normalen Angroschim schlimm, scheinen es die ›Brobim‹ direkt darauf anzulegen, dass ihre Gegner auch nach einem Sieg noch lange an sie denken. Es ist, als hätte euch eine
PDType0Font/PDCIDFontType2, PostScript name: OLNFMV+GentiumBasic-Italic;false;true;19.0;73;-1.0;Helden_des_Wolfsfrosts;1000;Bestie mit rostigen Eisenzähnen zerfleischt!«
PDTrueTypeFont NMYZYX+GentiumBasic-Italic;false;true;20.0;73;-1.0;Helden_des_Wolfsfrosts;1000;—Nayla saba Nazima, Heilerin in Bjaldorn, 1046 BF
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;21.0;73;-1.0;Helden_des_Wolfsfrosts;1000;Die Tiefenaxt der Brobim erinnert entfernt an einen Lindwurmschläger und wird von ihnen Grumbosch genannt. Ihr kurzer, etwa zwei Spann langer Schaft besteht meist aus hartem Pilz- oder krude gebogenem Wurzelholz. Das Blatt ist wie alle Schmiedearbeiten der Brobim eher primitiv zurechtgehämmert. Es weist zahl
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;22.0;73;-1.0;Helden_des_Wolfsfrosts;1000;-
PDType0Font/PDCIDFontType2, PostScript name: SWLDQN+GentiumBasic;false;false;23.0;73;-1.0;Helden_des_Wolfsfrosts;1000;reiche scharfkantige Zacken auf, die zum Teil absichtlich in das Blatt geschlagen werden, um hässliche Wunden zu reißen. Die Träger solcher Äxte sind meist angesehene Krieger bei den Brobim, da Metallwaffen doch eher selten bei ihnen vorkommen.
PDTrueTypeFont PPXLAT+GentiumBasic-Bold;true;false;24.0;73;-1.0;Helden_des_Wolfsfrosts;1300;Der Nivesen-Knochenspeer
PDTrueTypeFont LJZNWB+GentiumBasic-BoldItalic;true;true;25.0;73;-1.0;Helden_des_Wolfsfrosts;1300;Keika
PDTrueTypeFont NMYZYX+GentiumBasic-Italic;false;true;26.0;73;-1.0;Helden_des_Wolfsfrosts;1000;»Willst du einen Taarjuk im Winter besiegen, kommst du um den Keika nicht umher. Wecke den Bären aus seinem Winterschlaf. Er wird verwirrt sein und nach den störenden Geistern schnüffeln. Wenn das mächtige Tier aus seiner Höhle kommt und sich auf die Hinterbeine stellt, platzierte den Speer unter deiner Brust und stützte ihn gegen den Boden, wie ich es dir gelehrt habe. Der Bär wird auf den Keika gespießt, noch bevor er auf dich trifft. Es verpasst ihm wahrscheinlich nicht gleich den Todesstoß, aber du hast ja mich, einen zweiten Speer und den Beistand der Himmelswölfe auf deiner Seite«—Phanta von den Sairan-Hokke zu einer jungen Jägerin, 1046 BF
PDTrueTypeFont RSWXCP+GentiumBasic;false;false;27.0;73;-1.0;Helden_des_Wolfsfrosts;1000;Der nivesische
PDTrueTypeFont NMYZYX+GentiumBasic-Italic;false;true;28.0;73;-1.0;Helden_des_Wolfsfrosts;1000;Keika
