FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont NWWLKS+Andalus;false;false;69.0;17;-1.0;Katakomben_und_Ruinen;1800;Neue SonderfertigkeitenFallen-Regeln
PDTrueTypeFont NWWLKS+GentiumBasic-Bold;true;false;70.0;17;-1.0;Katakomben_und_Ruinen;1300;Fallen entschärfen
PDTrueTypeFont XTUTUY+GentiumBasic;false;false;71.0;17;-1.0;Katakomben_und_Ruinen;900;Um mechanische Fallen zu entschärfen, sind Kenntnisse der Mechanik, aber auch von Riegeln und Schlössern notwendig. Für Streuner und anderes zwielichtiges Gesindel unter den Helden ist diese Sonderfertigkeit wichtig, um Sicherungsmaßnahmen auszuschalten.
PDTrueTypeFont NWWLKS+GentiumBasic-Bold;true;false;72.0;17;-1.0;Katakomben_und_Ruinen;1000;Regel
PDTrueTypeFont XTUTUY+GentiumBasic;false;false;73.0;17;-1.0;Katakomben_und_Ruinen;1000;Durch die Sonderfertigkeit wird das neue Anwendungsgebiet
PDTrueTypeFont XTUTUY+GentiumBasic-Italic;false;true;74.0;17;-1.0;Katakomben_und_Ruinen;1000;Fallen entschärfen
PDTrueTypeFont XTUTUY+GentiumBasic;false;false;75.0;17;-1.0;Katakomben_und_Ruinen;1000;des Talents
PDType0Font/PDCIDFontType2, PostScript name: XTUTUY+GentiumBasic-Italic;false;true;76.0;17;-1.0;Katakomben_und_Ruinen;1000;Schlös
PDTrueTypeFont XTUTUY+GentiumBasic-Italic;false;true;77.0;17;-1.0;Katakomben_und_Ruinen;1000;-serknacken
PDTrueTypeFont XTUTUY+GentiumBasic;false;false;78.0;17;-1.0;Katakomben_und_Ruinen;1000;erworben.
PDTrueTypeFont NWWLKS+GentiumBasic-Bold;true;false;79.0;17;-1.0;Katakomben_und_Ruinen;1000;Voraussetzungen
PDTrueTypeFont XTUTUY+GentiumBasic;false;false;80.0;17;-1.0;Katakomben_und_Ruinen;1000;Mechanik 4, Schlösserknacken 4
PDTrueTypeFont NWWLKS+GentiumBasic-Bold;true;false;81.0;17;-1.0;Katakomben_und_Ruinen;1000;AP-Wert
PDTrueTypeFont XTUTUY+GentiumBasic;false;false;82.0;17;-1.0;Katakomben_und_Ruinen;1000;5 Abenteuerpunkte
PDTrueTypeFont NWWLKS+Andalus;false;false;83.0;17;-1.0;Katakomben_und_Ruinen;1300;17
PDTrueTypeFont NWWLKS+Andalus;false;false;1.0;18;-1.0;Katakomben_und_Ruinen;1200;Katakomben & Ruinen
PDTrueTypeFont NWWLKS+GentiumBasic-Bold;true;false;2.0;18;-1.0;Katakomben_und_Ruinen;1300;Fallenbaumeisterin
PDTrueTypeFont XTUTUY+GentiumBasic;false;false;3.0;18;-1.0;Katakomben_und_Ruinen;900;Nicht jeder kann einen hochkomplexen Mechanismus für eine Falle anfertigen, Fallenbaumeister sind darin jedoch geübt.
PDTrueTypeFont NWWLKS+GentiumBasic-Bold;true;false;4.0;18;-1.0;Katakomben_und_Ruinen;1000;Regel
PDTrueTypeFont XTUTUY+GentiumBasic;false;false;5.0;18;-1.0;Katakomben_und_Ruinen;1000;Die Heldin bekommt durch diese Sonderfertigkeit das neue Anwendungsgebiet
PDTrueTypeFont XTUTUY+GentiumBasic-Italic;false;true;6.0;18;-1.0;Katakomben_und_Ruinen;1000;Fallen herstellen
PDTrueTypeFont XTUTUY+GentiumBasic;false;false;7.0;18;-1.0;Katakomben_und_Ruinen;1000;in den Talenten
PDTrueTypeFont XTUTUY+GentiumBasic-Italic;false;true;8.0;18;-1.0;Katakomben_und_Ruinen;1000;Mechanik
PDTrueTypeFont XTUTUY+GentiumBasic;false;false;9.0;18;-1.0;Katakomben_und_Ruinen;1000;und
PDTrueTypeFont XTUTUY+GentiumBasic-Italic;false;true;10.0;18;-1.0;Katakomben_und_Ruinen;1000;Schlösserknacken
PDTrueTypeFont XTUTUY+GentiumBasic;false;false;11.0;18;-1.0;Katakomben_und_Ruinen;1000;. Sie kann fortan einfache Fallen herstellen. Für komplexe Fallen benötigt sie ein Berufsgeheimnis.
PDTrueTypeFont NWWLKS+GentiumBasic-Bold;true;false;12.0;18;-1.0;Katakomben_und_Ruinen;1000;Voraussetzungen
PDTrueTypeFont XTUTUY+GentiumBasic;false;false;13.0;18;-1.0;Katakomben_und_Ruinen;1000;Sonderfertigkeit
PDTrueTypeFont XTUTUY+GentiumBasic-Italic;false;true;14.0;18;-1.0;Katakomben_und_Ruinen;1000;Fallen entschärfen
PDTrueTypeFont NWWLKS+GentiumBasic-Bold;true;false;15.0;18;-1.0;Katakomben_und_Ruinen;1000;AP-Wert
PDTrueTypeFont XTUTUY+GentiumBasic;false;false;16.0;18;-1.0;Katakomben_und_Ruinen;1000;5 Abenteuerpunkte
PDTrueTypeFont NWWLKS+GentiumBasic-Bold;true;false;17.0;18;-1.0;Katakomben_und_Ruinen;1300;Fallentarnung
PDTrueTypeFont XTUTUY+GentiumBasic;false;false;18.0;18;-1.0;Katakomben_und_Ruinen;1000;Fallen sind gefährliche Mechanismen zur Abwehr von Grabräubern und anderem Gesindel. Nur wer sich mit verschiedenen Tarnmöglichkeiten von Fallen auskennt, kann dafür sorgen, dass sie auch nahezu unsichtbar sind.
PDTrueTypeFont NWWLKS+GentiumBasic-Bold;true;false;19.0;18;-1.0;Katakomben_und_Ruinen;1000;Regel
PDTrueTypeFont XTUTUY+GentiumBasic;false;false;20.0;18;-1.0;Katakomben_und_Ruinen;1000;Diese Sonderfertigkeit eröffnet eine neue Einsatzmöglichkeit für das Talent
PDTrueTypeFont XTUTUY+GentiumBasic-Italic;false;true;21.0;18;-1.0;Katakomben_und_Ruinen;1000;Mechanik
PDTrueTypeFont XTUTUY+GentiumBasic;false;false;22.0;18;-1.0;Katakomben_und_Ruinen;1000;. Mit einer Probe auf
PDTrueTypeFont XTUTUY+GentiumBasic-Italic;false;true;23.0;18;-1.0;Katakomben_und_Ruinen;1000;Mechanik
PDTrueTypeFont XTUTUY+GentiumBasic;false;false;24.0;18;-1.0;Katakomben_und_Ruinen;1000;kann beim Bau einer Falle der Tarnwert um QS/2 erhöht werden. Bei einer schon gebauten Falle ist die Probe um 2 erschwert. Ein kundiger Fallenbauer benötigt für den Einsatz dieser Sonderfertigkeit eine Anzahl Stunden, die dem ursprünglichen Tarnwert der Falle entspricht.
PDTrueTypeFont NWWLKS+GentiumBasic-Bold;true;false;25.0;18;-1.0;Katakomben_und_Ruinen;1000;Voraussetzungen
PDTrueTypeFont XTUTUY+GentiumBasic;false;false;26.0;18;-1.0;Katakomben_und_Ruinen;1000;Schlösserknacken 8, Sonderfertigkeit
PDTrueTypeFont XTUTUY+GentiumBasic-Italic;false;true;27.0;18;-1.0;Katakomben_und_Ruinen;1000;Fallen entschärfen
PDTrueTypeFont NWWLKS+GentiumBasic-Bold;true;false;28.0;18;-1.0;Katakomben_und_Ruinen;1000;AP-Wert
PDTrueTypeFont XTUTUY+GentiumBasic;false;false;29.0;18;-1.0;Katakomben_und_Ruinen;1000;5 Abenteuerpunkte
PDTrueTypeFont NWWLKS+GentiumBasic-Bold;true;false;30.0;18;-1.0;Katakomben_und_Ruinen;1300;Fallen wieder scharfmachen
PDTrueTypeFont XTUTUY+GentiumBasic;false;false;31.0;18;-1.0;Katakomben_und_Ruinen;1000;Eine Falle zu bauen oder sie zu entschärfen ist eine Sache, eine Falle wieder scharf zu machen eine andere.
PDTrueTypeFont NWWLKS+GentiumBasic-Bold;true;false;32.0;18;-1.0;Katakomben_und_Ruinen;1000;Regel
PDTrueTypeFont XTUTUY+GentiumBasic;false;false;33.0;18;-1.0;Katakomben_und_Ruinen;1000;Diese Sonderfertigkeit eröffnet die neue Einsatzmöglichkeit
PDTrueTypeFont XTUTUY+GentiumBasic-Italic;false;true;34.0;18;-1.0;Katakomben_und_Ruinen;1000;Fallen wieder scharfmachen
