FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont NWWLKS+Andalus;false;false;38.0;11;-1.0;Katakomben_und_Ruinen;1800;Neue Sonderfertigkeiten
PDTrueTypeFont NWWLKS+GentiumBasic-Bold;true;false;39.0;11;-1.0;Katakomben_und_Ruinen;1300;Gespür für Himmelsrichtungen
PDTrueTypeFont XTUTUY+GentiumBasic;false;false;40.0;11;-1.0;Katakomben_und_Ruinen;1000;Einige Helden haben ein besonders feinsinniges Gespür dafür, in welcher Richtung Osten, Westen, Norden oder Süden liegen, auch wenn sie kaum Anhaltspunkte haben.
PDTrueTypeFont NWWLKS+GentiumBasic-Bold;true;false;41.0;11;-1.0;Katakomben_und_Ruinen;1000;Regel
PDTrueTypeFont XTUTUY+GentiumBasic;false;false;42.0;11;-1.0;Katakomben_und_Ruinen;1000;Mit Hilfe dieser Sonderfertigkeit besitzt ein Held ein gutes Gespür zur Bestimmung von Himmelsrichtungen. Dies erleichtert ihm bei Proben auf das Talent
PDTrueTypeFont XTUTUY+GentiumBasic-Italic;false;true;43.0;11;-1.0;Katakomben_und_Ruinen;1000;Orientierung
PDTrueTypeFont XTUTUY+GentiumBasic;false;false;44.0;11;-1.0;Katakomben_und_Ruinen;1000;die erste Teilprobe auf IN.
PDTrueTypeFont NWWLKS+GentiumBasic-Bold;true;false;45.0;11;-1.0;Katakomben_und_Ruinen;1000;Voraussetzungen
PDTrueTypeFont XTUTUY+GentiumBasic;false;false;46.0;11;-1.0;Katakomben_und_Ruinen;1000;Orientierung 4
PDTrueTypeFont NWWLKS+GentiumBasic-Bold;true;false;47.0;11;-1.0;Katakomben_und_Ruinen;1000;AP-Wert
PDTrueTypeFont XTUTUY+GentiumBasic;false;false;48.0;11;-1.0;Katakomben_und_Ruinen;1000;3 Abenteuerpunkte
PDTrueTypeFont NWWLKS+GentiumBasic-Bold;true;false;49.0;11;-1.0;Katakomben_und_Ruinen;1300;Orientierung unter Tage
PDTrueTypeFont XTUTUY+GentiumBasic;false;false;50.0;11;-1.0;Katakomben_und_Ruinen;1000;Nicht jeder ist in der Lage, sich ohne den Stand von Sonne, Mond und Sternen in Katakomben und Höhlen zu orientieren.
PDTrueTypeFont NWWLKS+GentiumBasic-Bold;true;false;51.0;11;-1.0;Katakomben_und_Ruinen;1000;Regel
PDTrueTypeFont XTUTUY+GentiumBasic;false;false;52.0;11;-1.0;Katakomben_und_Ruinen;1000;Nur wer diese Sonderfertigkeit besitzt, kann Proben auf
PDTrueTypeFont XTUTUY+GentiumBasic-Italic;false;true;53.0;11;-1.0;Katakomben_und_Ruinen;1000;Orientierung (Unter Tage)
PDTrueTypeFont XTUTUY+GentiumBasic;false;false;54.0;11;-1.0;Katakomben_und_Ruinen;1000;ohne eine zusätzliche Erschwernis von 3 durchführen (siehe Seite
PDTrueTypeFont NWWLKS+GentiumBasic-Bold;true;false;55.0;11;-1.0;Katakomben_und_Ruinen;1000;10
PDTrueTypeFont XTUTUY+GentiumBasic;false;false;56.0;11;-1.0;Katakomben_und_Ruinen;1000;).
PDTrueTypeFont NWWLKS+GentiumBasic-Bold;true;false;57.0;11;-1.0;Katakomben_und_Ruinen;1000;Voraussetzungen
PDTrueTypeFont XTUTUY+GentiumBasic;false;false;58.0;11;-1.0;Katakomben_und_Ruinen;1000;Orientierung 8
PDTrueTypeFont NWWLKS+GentiumBasic-Bold;true;false;59.0;11;-1.0;Katakomben_und_Ruinen;1000;AP-Wert
PDTrueTypeFont XTUTUY+GentiumBasic;false;false;60.0;11;-1.0;Katakomben_und_Ruinen;1000;3 Abenteuerpunkte
