FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont FYBBUT+GentiumBasic-Bold;true;false;54.0;391;-1.0;Kodex_der_Helden;1300;Adel I-III
PDTrueTypeFont JEEEYL+GentiumBasic;false;false;55.0;391;-1.0;Kodex_der_Helden;1000;Ein Held, der über diesen Vorteil verfügt, ist von adliger Geburt und in seiner Kultur angesehen und mit Privilegien ausgestattet. Stufe I ist für Ritter und ähnlich niedrige Adlige gedacht, während Stufe zwei Niederadlige wie Junker und Edle symbolisiert. Die höchste Stufe
PDType0Font/PDCIDFontType2, PostScript name: FGUFHY+GentiumBasic;false;false;56.0;391;-1.0;Kodex_der_Helden;1000;hat etwa den Einfluss eines mittelreichischen Baron. Bei
PDTrueTypeFont JEEEYL+GentiumBasic;false;false;57.0;391;-1.0;Kodex_der_Helden;1000;den unterschiedlichen Kulturen können die Adelstitel
PDType0Font/PDCIDFontType2, PostScript name: FGUFHY+GentiumBasic;false;false;58.0;391;-1.0;Kodex_der_Helden;1000;verschiedene Bezeichnungen besitzen.
PDTrueTypeFont FYBBUT+GentiumBasic-Bold;true;false;59.0;391;-1.0;Kodex_der_Helden;1000;Regel
PDTrueTypeFont JEEEYL+GentiumBasic;false;false;60.0;391;-1.0;Kodex_der_Helden;1000;Der Held ist angesehen, genießt die Privilegien des Adels und kann von der Meisterin Erleichterungen zugesprochen bekommen, wenn er gegenüber Rangniedrigeren agiert. Genaueres hierzu siehe
PDTrueTypeFont FYBBUT+GentiumBasic-Bold;true;false;61.0;391;-1.0;Kodex_der_Helden;1000;Regelwerk
PDTrueTypeFont JEEEYL+GentiumBasic;false;false;62.0;391;-1.0;Kodex_der_Helden;1000;Seite
PDTrueTypeFont FYBBUT+GentiumBasic-Bold;true;false;63.0;391;-1.0;Kodex_der_Helden;1000;338
PDTrueTypeFont JEEEYL+GentiumBasic;false;false;64.0;391;-1.0;Kodex_der_Helden;1000;.
PDTrueTypeFont FYBBUT+GentiumBasic-Bold;true;false;65.0;391;-1.0;Kodex_der_Helden;1000;Voraussetzungen
PDTrueTypeFont JEEEYL+GentiumBasic;false;false;66.0;391;-1.0;Kodex_der_Helden;1000;Kultur muss über einen passenden Adel verfügen.
PDTrueTypeFont FYBBUT+GentiumBasic-Bold;true;false;67.0;391;-1.0;Kodex_der_Helden;1000;AP-Wert
