FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDType0Font/PDCIDFontType2, PostScript name: XEAVPD+GentiumBasic;false;false;1.0;98;-1.0;Kodex_der_Helden;1000;machen, einen Treffer zu landen. Manche Beobachter sagen, dass ein Schwertgeselle aus der Tannhaus-Schu
PDTrueTypeFont JEEEYL+GentiumBasic;false;false;2.0;98;-1.0;Kodex_der_Helden;1000;-
PDType0Font/PDCIDFontType2, PostScript name: XEAVPD+GentiumBasic;false;false;3.0;98;-1.0;Kodex_der_Helden;1000;le schon mit einem gewissen Maß an Arroganz geboren wurde. Tatsächlich sind die Schwertgesellen fast immer sehr selbstbewusst, aber ihre Ausbildung ist auch teu
PDTrueTypeFont JEEEYL+GentiumBasic;false;false;4.0;98;-1.0;Kodex_der_Helden;1000;-
PDType0Font/PDCIDFontType2, PostScript name: XEAVPD+GentiumBasic;false;false;5.0;98;-1.0;Kodex_der_Helden;1000;er und vorzüglich. Nichtsdestotrotz ist ein Schwertge
PDTrueTypeFont JEEEYL+GentiumBasic;false;false;6.0;98;-1.0;Kodex_der_Helden;1000;-
PDType0Font/PDCIDFontType2, PostScript name: XEAVPD+GentiumBasic;false;false;7.0;98;-1.0;Kodex_der_Helden;1000;selle der Tannhaus-Schule ein ehrlicher und gerechter Kämpfer.
PDTrueTypeFont BSDDQB+GentiumBasic-Italic;false;true;8.0;98;-1.0;Kodex_der_Helden;1000;Enzo Comante
PDType0Font/PDCIDFontType2, PostScript name: XEAVPD+GentiumBasic;false;false;9.0;98;-1.0;Kodex_der_Helden;1000;, der ebenfalls von Adersin gelernt hat, be
PDTrueTypeFont JEEEYL+GentiumBasic;false;false;10.0;98;-1.0;Kodex_der_Helden;1000;-
PDType0Font/PDCIDFontType2, PostScript name: XEAVPD+GentiumBasic;false;false;11.0;98;-1.0;Kodex_der_Helden;1000;treibt in Methumis die Schola Defensoria. Anders als bei Adersin und Tannhaus steht seine Schwertgesellen
PDTrueTypeFont JEEEYL+GentiumBasic;false;false;12.0;98;-1.0;Kodex_der_Helden;1000;-
PDType0Font/PDCIDFontType2, PostScript name: XEAVPD+GentiumBasic;false;false;13.0;98;-1.0;Kodex_der_Helden;1000;schule auch dem Bürgertum und nicht nur dem Adel
PDTrueTypeFont JEEEYL+GentiumBasic;false;false;14.0;98;-1.0;Kodex_der_Helden;1000;offen.
PDType0Font/PDCIDFontType2, PostScript name: XEAVPD+GentiumBasic;false;false;15.0;98;-1.0;Kodex_der_Helden;1000;In Bethana unterrichtet
PDTrueTypeFont BSDDQB+GentiumBasic-Italic;false;true;16.0;98;-1.0;Kodex_der_Helden;1000;Lutea della Ledicci
PDTrueTypeFont JEEEYL+GentiumBasic;false;false;17.0;98;-1.0;Kodex_der_Helden;1000;eine ähnliche
PDType0Font/PDCIDFontType2, PostScript name: XEAVPD+GentiumBasic;false;false;18.0;98;-1.0;Kodex_der_Helden;1000;Variante des Adersin-Stils, den auch Enzo Commante pflegt.
PDTrueTypeFont NKCCCD+Andalus;false;false;19.0;98;-1.0;Kodex_der_Helden;1800;Weltliche Professionen
PDTrueTypeFont FYBBUT+GentiumBasic-Bold;true;false;20.0;98;-1.0;Kodex_der_Helden;1000;Ausrüstung und Tracht
PDType0Font/PDCIDFontType2, PostScript name: XEAVPD+GentiumBasic;false;false;21.0;98;-1.0;Kodex_der_Helden;1000;Schwertgesellen, die bei Meister Adersin (oder seinen Ablegern) in die Lehre gegangen sind, füh
PDTrueTypeFont JEEEYL+GentiumBasic;false;false;22.0;98;-1.0;Kodex_der_Helden;1000;-
PDType0Font/PDCIDFontType2, PostScript name: XEAVPD+GentiumBasic;false;false;23.0;98;-1.0;Kodex_der_Helden;1000;ren neben einem herkömmlichen Langschwert immer auch einen Anderthalbhänder mit sich. Ihr gesamter Kampfstil ist auf diese Waffe aus
PDTrueTypeFont JEEEYL+GentiumBasic;false;false;24.0;98;-1.0;Kodex_der_Helden;1000;-
PDType0Font/PDCIDFontType2, PostScript name: XEAVPD+GentiumBasic;false;false;25.0;98;-1.0;Kodex_der_Helden;1000;gelegt. Als Seitenwaffe kommt meist noch ein Dolch hinzu. Zum Schutz ihres Lebens tragen die Adersin-Schwertgesellen Plattenrüstungen, in denen sie sich dank jahrelanger Übung erstaunlich schnell bewegen können.
PDTrueTypeFont FYBBUT+GentiumBasic-Bold;true;false;26.0;98;-1.0;Kodex_der_Helden;1300;Adersin-Schwertgeselle
PDType0Font/PDCIDFontType2, PostScript name: XEAVPD+GentiumBasic;false;false;27.0;98;-1.0;Kodex_der_Helden;1000;Die bekannteste Schwertgesellenschule des Mittelrei
PDTrueTypeFont JEEEYL+GentiumBasic;false;false;28.0;98;-1.0;Kodex_der_Helden;1000;-ches ist die der Familie
PDTrueTypeFont BSDDQB+GentiumBasic-Italic;false;true;29.0;98;-1.0;Kodex_der_Helden;1000;Adersin
PDType0Font/PDCIDFontType2, PostScript name: XEAVPD+GentiumBasic;false;false;30.0;98;-1.0;Kodex_der_Helden;1000;in Gareth. Obwohl der Stil vergleichsweise jung ist, gilt er als Grundstein der gesamten modernen Schwertgesellenbewegung. Ent
PDTrueTypeFont JEEEYL+GentiumBasic;false;false;31.0;98;-1.0;Kodex_der_Helden;1000;-
PDType0Font/PDCIDFontType2, PostScript name: XEAVPD+GentiumBasic;false;false;32.0;98;-1.0;Kodex_der_Helden;1000;wickelt wurde er von Krona Adersin, die diese Art zu kämpfen an ihre Söhnen Erlan und Jost weitergab. Vor vielen Jahren, als das Schwertgesellentum noch kaum bekannt war, schrieb Krona ein Vademecum, ein Lehr
PDTrueTypeFont JEEEYL+GentiumBasic;false;false;33.0;98;-1.0;Kodex_der_Helden;1000;-
PDType0Font/PDCIDFontType2, PostScript name: XEAVPD+GentiumBasic;false;false;34.0;98;-1.0;Kodex_der_Helden;1000;buch für den Schwertkampf. Fast wäre sie wegen des Vademecums verurteilt worden, da der Inhalt gehei
PDTrueTypeFont JEEEYL+GentiumBasic;false;false;35.0;98;-1.0;Kodex_der_Helden;1000;-
PDType0Font/PDCIDFontType2, PostScript name: XEAVPD+GentiumBasic;false;false;36.0;98;-1.0;Kodex_der_Helden;1000;me Manöver beinhaltete und man ihr umstürzlerische Verbreitung von Kriegswissen vorwarf. Doch die Kla
PDTrueTypeFont JEEEYL+GentiumBasic;false;false;37.0;98;-1.0;Kodex_der_Helden;1000;-
