FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont NRVBUS+Andalus;false;false;1.0;225;-1.0;Kodex_der_Magie;1200;Erweiterte Magieregeln
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;2.0;225;-1.0;Kodex_der_Magie;1000;dem Gesicht einer hässlichen alten Frau haben. Manche halten sie für einen dämonischen Vampir, eine ehemalige Dienerin Lolgramoths oder eine Dämonin, die mit dem Namenlosen im Bunde ist. Die Wahrheit über Aphestadil kennt jedoch niemand.
PDTrueTypeFont UMFMOE+GentiumBasic-Bold;true;false;3.0;225;-1.0;Kodex_der_Magie;1000;Heskatet
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;4.0;225;-1.0;Kodex_der_Magie;1000;Heskatet, Trägerin der Waage der ehernen Zeit, Herrin des Feuers von Shaa’naas’bar, ist angeblich die Gegenspielerin Satinavs und versteht sich auf die Manipulation der Zeit. Sie soll aussehen wie ein junges, weißgekleidetes Mädchen mit einer blutigen Sanduhr, oder wie eine alte Frau mit schwarzer Kleidung und einer Waage in der Hand. Gerüchten zufolge erscheint sie nur mächtigen Magiern und entführt diese zu unbekannten Zwecken. Zudem soll sie die Herrin der Zeit
PDType0Font/PDCIDFontType2, PostScript name: PZUCIP+GentiumBasic;false;false;5.0;225;-1.0;Kodex_der_Magie;1000;sein und einen Konflikt mit Satinav austragen.
PDTrueTypeFont UMFMOE+GentiumBasic-Bold;true;false;6.0;225;-1.0;Kodex_der_Magie;1300;Sortierung der Paktgeschenke
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;7.0;225;-1.0;Kodex_der_Magie;1000;Die Sortierung folgt dem nachstehenden Muster: Zuerst sind die allgemeinen Paktgeschenke aufgeführt, anschließend die Paktgeschenke, die einem der Erzdämonen zugeordnet sind, die als Widerpart eine der alveranischen Gottheiten aufweisen. Die Erzdämonen sind dabei nicht alphabetisch sortiert, sondern nach der Sortierung des Zwölfgötterkreises ihrer Widersacher. Abschließend sind in alphabetischer Reihenfolge noch eine Auswahl an weiteren Paktgeschenken beschrieben, die zu unabhängigen Erzdämonen gehören, die keinen alveranischen Widersacher aufweisen.Innerhalb der jeweiligen Kategorien sind die Paktgeschenke alphabetisch sortiert. Entsprechend ist die Reihenfolge wie folgt
PDType0Font/PDCIDFontType2, PostScript name: AVHWUS+GentiumBasic;false;false;8.0;225;-1.0;Kodex_der_Magie;1000;Allgemeine Paktgeschenke
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;9.0;225;-1.0;Kodex_der_Magie;1000;
PDType0Font/PDCIDFontType2, PostScript name: AVHWUS+GentiumBasic;false;false;10.0;225;-1.0;Kodex_der_Magie;1000;Blakharaz
