FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont NRVBUS+Andalus;false;false;1.0;385;-1.0;Kodex_der_Magie;1200;Anhang
PDTrueTypeFont UMFMOE+GentiumBasic-Bold;true;false;2.0;385;-1.0;Kodex_der_Magie;1300;Trunk der ruhigen Hand
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;3.0;385;-1.0;Kodex_der_Magie;1000;Der bei Grabräubern wie Einbrechern äußerst beliebte und deswegen von vielen Alchimisten hergestellte Trunk der ruhigen Hand ist eine Variante des Fingerfertigkeitselixiers. Der Trunk verschafft bei feinmotorischen Arbeiten, wie dem Knacken eines Schlosses oder dem Entschärfen einer Falle, eine extrem ruhige Hand.
PDTrueTypeFont UMFMOE+GentiumBasic-Bold;true;false;4.0;385;-1.0;Kodex_der_Magie;1000;Typische Ingredienzien
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;5.0;385;-1.0;Kodex_der_Magie;1000;Atmon, Finage, Finger eines Diebes, rechte Vorderpfote vom Feh, reiner Alkohol, Schwanz eines Faultiers, zerhauener Topas
PDTrueTypeFont UMFMOE+GentiumBasic-Bold;true;false;6.0;385;-1.0;Kodex_der_Magie;1000;Kosten der Ingredienzienstufen
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;7.0;385;-1.0;Kodex_der_Magie;1000;20 Silbertaler pro Stufe
PDTrueTypeFont UMFMOE+GentiumBasic-Bold;true;false;8.0;385;-1.0;Kodex_der_Magie;1000;Labor
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;9.0;385;-1.0;Kodex_der_Magie;1000;Hexenküche
PDTrueTypeFont UMFMOE+GentiumBasic-Bold;true;false;10.0;385;-1.0;Kodex_der_Magie;1000;Brauschwierigkeit
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;11.0;385;-1.0;Kodex_der_Magie;1000;–1
PDTrueTypeFont UMFMOE+GentiumBasic-Bold;true;false;12.0;385;-1.0;Kodex_der_Magie;1000;Qualitätsstufen
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;13.0;385;-1.0;Kodex_der_Magie;1000;1: Die erste Teilprobe auf FF bei
PDTrueTypeFont RFRUYK+GentiumBasic-Italic;false;true;14.0;385;-1.0;Kodex_der_Magie;1000;Schlösserknacken
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;15.0;385;-1.0;Kodex_der_Magie;1000;ist um 1 erleichtert. Die Wirkung hält 15 Minuten an.2: Beide Teilproben auf FF bei
PDTrueTypeFont RFRUYK+GentiumBasic-Italic;false;true;16.0;385;-1.0;Kodex_der_Magie;1000;Schlösserknacken
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;17.0;385;-1.0;Kodex_der_Magie;1000;sind um 1 erleichtert. Die Wirkung hält 30 Minuten an.3: Beide Teilproben auf FF bei
PDTrueTypeFont RFRUYK+GentiumBasic-Italic;false;true;18.0;385;-1.0;Kodex_der_Magie;1000;Schlösserknacken
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;19.0;385;-1.0;Kodex_der_Magie;1000;sind um 1 erleichtert. Die Wirkung hält 1 Stunde an4: Proben auf
PDTrueTypeFont RFRUYK+GentiumBasic-Italic;false;true;20.0;385;-1.0;Kodex_der_Magie;1000;Schlösserknacken
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;21.0;385;-1.0;Kodex_der_Magie;1000;sind um 1 erleichtert. Die Wirkung hält 2 Stunden an.5: Proben auf
PDTrueTypeFont RFRUYK+GentiumBasic-Italic;false;true;22.0;385;-1.0;Kodex_der_Magie;1000;Schlösserknacken
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;23.0;385;-1.0;Kodex_der_Magie;1000;sind um 1 erleichtert.
PDTrueTypeFont RFRUYK+GentiumBasic-Italic;false;true;24.0;385;-1.0;Kodex_der_Magie;1000;
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;25.0;385;-1.0;Kodex_der_Magie;1000;Die Wirkung hält 4 Stunden an.6: Proben auf
PDTrueTypeFont RFRUYK+GentiumBasic-Italic;false;true;26.0;385;-1.0;Kodex_der_Magie;1000;Schlösserknacken
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;27.0;385;-1.0;Kodex_der_Magie;1000;sind um 1 erleichtert.
PDTrueTypeFont RFRUYK+GentiumBasic-Italic;false;true;28.0;385;-1.0;Kodex_der_Magie;1000;
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;29.0;385;-1.0;Kodex_der_Magie;1000;Die Wirkung hält 8 Stunden an.
PDTrueTypeFont UMFMOE+GentiumBasic-Bold;true;false;30.0;385;-1.0;Kodex_der_Magie;1300;Alchimistensäure
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;31.0;385;-1.0;Kodex_der_Magie;1000;Alchimistensäure besteht aus einer Mischung verschiedener Säuren und kann sowohl Objekte als auch Lebewesen schädigen. Gegen Lebewesen gelten die Regeln für Feuer- und Säureschaden (siehe
