FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont UMFMOE+GentiumBasic-Bold;true;false;17.0;272;-1.0;Kodex_der_Magie;1300;Akademie der Erscheinungen zu Grangor
PDTrueTypeFont UMFMOE+GentiumBasic-Bold;true;false;18.0;272;-1.0;Kodex_der_Magie;1000;Leitlinie
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;19.0;272;-1.0;Kodex_der_Magie;1000;aufgeschlossen
PDTrueTypeFont UMFMOE+GentiumBasic-Bold;true;false;20.0;272;-1.0;Kodex_der_Magie;1000;Wahlzauberpaket
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;21.0;272;-1.0;Kodex_der_Magie;1000;Angst auslösen, Aromatis Illusionis, Manus Illusionius, Pestodem
PDTrueTypeFont UMFMOE+GentiumBasic-Bold;true;false;22.0;272;-1.0;Kodex_der_Magie;1000;Eingeschränkte Zauber
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;23.0;272;-1.0;Kodex_der_Magie;1000;keine borbaradianischen Zauber, keine Zauber mit dem Merkmal
PDTrueTypeFont RFRUYK+GentiumBasic-Italic;false;true;24.0;272;-1.0;Kodex_der_Magie;1000;Dämonisch
PDTrueTypeFont UMFMOE+GentiumBasic-Bold;true;false;25.0;272;-1.0;Kodex_der_Magie;1000;Pfad des Illusionisten (292 AP)
PDTrueTypeFont RFRUYK+GentiumBasic-Italic;false;true;26.0;272;-1.0;Kodex_der_Magie;1000;Zauberänderungen:
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;27.0;272;-1.0;Kodex_der_Magie;1000;Oculus Astralis 5 statt Geisteressenz 10, Manus Illusionis 5 statt Geisterruf 5, Aromatis Illusionis 4 statt Projektimago 4
PDTrueTypeFont RFRUYK+GentiumBasic-Italic;false;true;28.0;272;-1.0;Kodex_der_Magie;1000;Fertigkeiten (+): –Fertigkeiten (–):
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;29.0;272;-1.0;Kodex_der_Magie;1000;–
PDTrueTypeFont UMFMOE+GentiumBasic-Bold;true;false;30.0;272;-1.0;Kodex_der_Magie;1000;Pfad des Geisterbeschwörers (317 AP)
PDTrueTypeFont RFRUYK+GentiumBasic-Italic;false;true;31.0;272;-1.0;Kodex_der_Magie;1000;Zauberänderungen:
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;32.0;272;-1.0;Kodex_der_Magie;1000;Geisterbeschwörung 3 statt
PDTrueTypeFont RFRUYK+GentiumBasic-Italic;false;true;33.0;272;-1.0;Kodex_der_Magie;1000;
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;34.0;272;-1.0;Kodex_der_Magie;1000;Auris Illusionis 4, Angst auslösen 6 statt Ignorantia 5, Pestodem 2 statt Menetekel 6
PDTrueTypeFont RFRUYK+GentiumBasic-Italic;false;true;35.0;272;-1.0;Kodex_der_Magie;1000;Fertigkeiten (+):
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;36.0;272;-1.0;Kodex_der_Magie;1000;Geisterruf auf 10
PDTrueTypeFont RFRUYK+GentiumBasic-Italic;false;true;37.0;272;-1.0;Kodex_der_Magie;1000;Fertigkeiten (–):
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;38.0;272;-1.0;Kodex_der_Magie;1000;–
PDTrueTypeFont UMFMOE+GentiumBasic-Bold;true;false;39.0;272;-1.0;Kodex_der_Magie;1300;Akademie der Geistigen Kraft zu Fasar
PDTrueTypeFont UMFMOE+GentiumBasic-Bold;true;false;40.0;272;-1.0;Kodex_der_Magie;1000;Leitlinie
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;41.0;272;-1.0;Kodex_der_Magie;1000;tolerant
PDTrueTypeFont UMFMOE+GentiumBasic-Bold;true;false;42.0;272;-1.0;Kodex_der_Magie;1000;Wahlzauberpaket
PDType0Font/PDCIDFontType2, PostScript name: OEWXTR+GentiumBasic;false;false;43.0;272;-1.0;Kodex_der_Magie;1000;Ecliptifactus, Einflussbann, Erinne
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;44.0;272;-1.0;Kodex_der_Magie;1000;-rung verlasse dich, Höllenpein, Ignorantia, Imperavi, Magischer Raub, Memorabia, Paralysis, Schwarzer Schrecken, Sensibar, Widerwille
PDTrueTypeFont UMFMOE+GentiumBasic-Bold;true;false;45.0;272;-1.0;Kodex_der_Magie;1000;Eingeschränkte Zauber
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;46.0;272;-1.0;Kodex_der_Magie;1000;keine borbaradianischen Zauber
PDTrueTypeFont UMFMOE+GentiumBasic-Bold;true;false;47.0;272;-1.0;Kodex_der_Magie;1000;Pfad der harten Hand (343 AP)
PDTrueTypeFont RFRUYK+GentiumBasic-Italic;false;true;48.0;272;-1.0;Kodex_der_Magie;1000;Zauberänderungen:
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;49.0;272;-1.0;Kodex_der_Magie;1000;Höllenpein 4 statt Odem 4, Imperavi 4 statt Somnigravis (Elfen) 4, Memorabia 6 statt Bannbaladin 6, Magischer Raub 4 statt Corpofesso 4
PDTrueTypeFont RFRUYK+GentiumBasic-Italic;false;true;50.0;272;-1.0;Kodex_der_Magie;1000;Fertigkeiten (+):
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;51.0;272;-1.0;Kodex_der_Magie;1000;Betören 4 statt 3, Menschenkenntnis 6 statt 5, Willenskraft 7 statt 5
PDTrueTypeFont RFRUYK+GentiumBasic-Italic;false;true;52.0;272;-1.0;Kodex_der_Magie;1000;Fertigkeiten (–):
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;53.0;272;-1.0;Kodex_der_Magie;1000;Körperbeherrschung 0 statt 2, Stangenwaffen 6 statt 8
PDTrueTypeFont UMFMOE+GentiumBasic-Bold;true;false;54.0;272;-1.0;Kodex_der_Magie;1000;Pfad der weichen Hand (329 AP)
PDTrueTypeFont RFRUYK+GentiumBasic-Italic;false;true;55.0;272;-1.0;Kodex_der_Magie;1000;Zauberänderungen:
PDType0Font/PDCIDFontType2, PostScript name: OEWXTR+GentiumBasic;false;false;56.0;272;-1.0;Kodex_der_Magie;1000;Einflussbann 4 statt Corpofesso 4,
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;57.0;272;-1.0;Kodex_der_Magie;1000;Erinnerung verlasse dich 4 statt Odem 4, Magischer Raub 4 statt Somnigravis (Elfen) 4, Widerwille 6 statt Horriphobus 6
PDTrueTypeFont RFRUYK+GentiumBasic-Italic;false;true;58.0;272;-1.0;Kodex_der_Magie;1000;Fertigkeiten (+):
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;59.0;272;-1.0;Kodex_der_Magie;1000;Betören 5 statt 3, Menschenkenntnis 6 statt 5, Willenskraft 6 statt 5
PDTrueTypeFont RFRUYK+GentiumBasic-Italic;false;true;60.0;272;-1.0;Kodex_der_Magie;1000;Fertigkeiten (–):
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;61.0;272;-1.0;Kodex_der_Magie;1000;Körperbeherrschung 0 statt 2, Stangenwaffen 6 statt 8
PDTrueTypeFont UMFMOE+GentiumBasic-Bold;true;false;62.0;272;-1.0;Kodex_der_Magie;1300;Akademie der Geistreisen zu Belhanka
PDTrueTypeFont UMFMOE+GentiumBasic-Bold;true;false;63.0;272;-1.0;Kodex_der_Magie;1000;Leitlinie
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;64.0;272;-1.0;Kodex_der_Magie;1000;tolerant
PDTrueTypeFont UMFMOE+GentiumBasic-Bold;true;false;65.0;272;-1.0;Kodex_der_Magie;1000;Wahlzauberpaket
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;66.0;272;-1.0;Kodex_der_Magie;1000;Analys, Attributo (Körperkraft), Balsam Salabunde, Bannbaladin, Firnlauf, Flim Flam, Gedankenbilder, Körperlose Reise, Manifesto, Movimento, Odem, Sensibar
PDTrueTypeFont UMFMOE+GentiumBasic-Bold;true;false;67.0;272;-1.0;Kodex_der_Magie;1000;Eingeschränkte Zauber
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;68.0;272;-1.0;Kodex_der_Magie;1000;keine borbaradianischen Zauber, keine Zauber mit dem Merkmal
PDTrueTypeFont RFRUYK+GentiumBasic-Italic;false;true;69.0;272;-1.0;Kodex_der_Magie;1000;Dämonisch
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;70.0;272;-1.0;Kodex_der_Magie;1000;oder Dämonenbeschwörungen
PDTrueTypeFont UMFMOE+GentiumBasic-Bold;true;false;71.0;272;-1.0;Kodex_der_Magie;1000;Pfad der Bewegung (290 AP)
PDTrueTypeFont RFRUYK+GentiumBasic-Italic;false;true;72.0;272;-1.0;Kodex_der_Magie;1000;Zauberänderungen:
