FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont NRVBUS+Andalus;false;false;1.0;35;-1.0;Kodex_der_Magie;1200;Traditionen
PDType0Font/PDCIDFontType2, PostScript name: AVHWUS+GentiumBasic;false;false;2.0;35;-1.0;Kodex_der_Magie;1000;Ihr Traditionsartefakt ist das Seffer Manich, eine
PDTrueTypeFont RFRUYK+GentiumBasic-Italic;false;true;3.0;35;-1.0;Kodex_der_Magie;1000;Sippenchronik
PDType0Font/PDCIDFontType2, PostScript name: AVHWUS+GentiumBasic;false;false;4.0;35;-1.0;Kodex_der_Magie;1000;(siehe Seite
PDTrueTypeFont UMFMOE+GentiumBasic-Bold;true;false;5.0;35;-1.0;Kodex_der_Magie;1000;205
PDType0Font/PDCIDFontType2, PostScript name: AVHWUS+GentiumBasic;false;false;6.0;35;-1.0;Kodex_der_Magie;1000;), in der das Wissen der Sip
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;7.0;35;-1.0;Kodex_der_Magie;1000;-
PDType0Font/PDCIDFontType2, PostScript name: AVHWUS+GentiumBasic;false;false;8.0;35;-1.0;Kodex_der_Magie;1000;pe festgehalten wird, und welches ihr hilft, besondere Fähigkeiten zu aktivieren. Wie z. B. die Hexen sind auch auch Zibiljas in der Lage,
PDTrueTypeFont RFRUYK+GentiumBasic-Italic;false;true;9.0;35;-1.0;Kodex_der_Magie;1000;Vertrautentiere
PDType0Font/PDCIDFontType2, PostScript name: AVHWUS+GentiumBasic;false;false;10.0;35;-1.0;Kodex_der_Magie;1000;(siehe Seite
PDTrueTypeFont UMFMOE+GentiumBasic-Bold;true;false;11.0;35;-1.0;Kodex_der_Magie;1000;366
PDType0Font/PDCIDFontType2, PostScript name: AVHWUS+GentiumBasic;false;false;12.0;35;-1.0;Kodex_der_Magie;1000;) an sich zu binden.Zibiljas wenden nur die sogenannten
PDTrueTypeFont RFRUYK+GentiumBasic-Italic;false;true;13.0;35;-1.0;Kodex_der_Magie;1000;Zibiljarituale
PDType0Font/PDCIDFontType2, PostScript name: AVHWUS+GentiumBasic;false;false;14.0;35;-1.0;Kodex_der_Magie;1000;(sie
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;15.0;35;-1.0;Kodex_der_Magie;1000;-
PDType0Font/PDCIDFontType2, PostScript name: AVHWUS+GentiumBasic;false;false;16.0;35;-1.0;Kodex_der_Magie;1000;he Seite
PDTrueTypeFont UMFMOE+GentiumBasic-Bold;true;false;17.0;35;-1.0;Kodex_der_Magie;1000;201
PDType0Font/PDCIDFontType2, PostScript name: AVHWUS+GentiumBasic;false;false;18.0;35;-1.0;Kodex_der_Magie;1000;) an, die so flexibel wie gewöhnliche Ritua
