FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont NRVBUS+Andalus;false;false;1.0;253;-1.0;Kodex_der_Magie;1200;Erweiterte Magieregeln
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;2.0;253;-1.0;Kodex_der_Magie;1000;der mindestens 7 Tage dauern sollte, allerdings ist der Vorgang extrem selten, da Geoden ihre jeweilige Denkrichtung nur selten verändern. Wechselt ein Held die Prägung, bekommt er automatisch die neue Geodenprägung, verliert aber die alte.
PDType0Font/PDCIDFontType2, PostScript name: AVHWUS+GentiumBasic;false;false;3.0;253;-1.0;Kodex_der_Magie;1000;Zibiljas können Zibiljaprägungen in Absprache mit der Meisterin wechseln. Dies ist ein Prozess, der mindestens 7 Tage dauern sollte, allerdings kommt dies gelegentlich im Leben einer Zibilja vor. Wech
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;4.0;253;-1.0;Kodex_der_Magie;1000;-
PDType0Font/PDCIDFontType2, PostScript name: AVHWUS+GentiumBasic;false;false;5.0;253;-1.0;Kodex_der_Magie;1000;selt eine Heldin die Prägung, bekommt sie automa
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;6.0;253;-1.0;Kodex_der_Magie;1000;-
PDType0Font/PDCIDFontType2, PostScript name: AVHWUS+GentiumBasic;false;false;7.0;253;-1.0;Kodex_der_Magie;1000;tisch die neue Zibiljaprägung, verliert aber die alte.
PDTrueTypeFont UMFMOE+GentiumBasic-Bold;true;false;8.0;253;-1.0;Kodex_der_Magie;1300;AnimistenprägungenGeisterseher
PDType0Font/PDCIDFontType2, PostScript name: AVHWUS+GentiumBasic;false;false;9.0;253;-1.0;Kodex_der_Magie;1000;Geisterseher verfügen über eine besondere Gabe, die sie intuitiv dazu nutzen, sich Geister besonders gewogen zu machen, wenn sie diese manipulieren oder in ihren Körper eindringen lassen. Ihnen fällt es deutlich leichter als ande
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;10.0;253;-1.0;Kodex_der_Magie;1000;-
PDType0Font/PDCIDFontType2, PostScript name: AVHWUS+GentiumBasic;false;false;11.0;253;-1.0;Kodex_der_Magie;1000;ren Animisten, die Kraft der Wesenheit für ihre Zwecke zu benutzen. Dafür fällt ihnen die Kontrolle über die Animis
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;12.0;253;-1.0;Kodex_der_Magie;1000;-
PDType0Font/PDCIDFontType2, PostScript name: AVHWUS+GentiumBasic;false;false;13.0;253;-1.0;Kodex_der_Magie;1000;tenwaffe schwerer und sie müssen mehr ihrer magischen Macht investieren, damit diese ihre Wirkung erzielt.
PDTrueTypeFont UMFMOE+GentiumBasic-Bold;true;false;14.0;253;-1.0;Kodex_der_Magie;1000;Geistergefäß
PDType0Font/PDCIDFontType2, PostScript name: AVHWUS+GentiumBasic;false;false;15.0;253;-1.0;Kodex_der_Magie;1000;Proben bei Animistenkräften sind um +1 erleichtert.
PDTrueTypeFont UMFMOE+GentiumBasic-Bold;true;false;16.0;253;-1.0;Kodex_der_Magie;1000;Schwierigere Waffenkontrolle
PDType0Font/PDCIDFontType2, PostScript name: AVHWUS+GentiumBasic;false;false;17.0;253;-1.0;Kodex_der_Magie;1000;Der Einsatz der Ani
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;18.0;253;-1.0;Kodex_der_Magie;1000;-
PDType0Font/PDCIDFontType2, PostScript name: AVHWUS+GentiumBasic;false;false;19.0;253;-1.0;Kodex_der_Magie;1000;mistenwaffe kostet bei Waffenzaubern zusätzlich 3 AsP.
PDTrueTypeFont UMFMOE+GentiumBasic-Bold;true;false;20.0;253;-1.0;Kodex_der_Magie;1000;Voraussetzungen
PDType0Font/PDCIDFontType2, PostScript name: AVHWUS+GentiumBasic;false;false;21.0;253;-1.0;Kodex_der_Magie;1000;Der Held besitzt die
PDTrueTypeFont RFRUYK+GentiumBasic-Italic;false;true;22.0;253;-1.0;Kodex_der_Magie;1000;Tradition (Animisten)
PDType0Font/PDCIDFontType2, PostScript name: AVHWUS+GentiumBasic;false;false;23.0;253;-1.0;Kodex_der_Magie;1000;.
PDTrueTypeFont UMFMOE+GentiumBasic-Bold;true;false;24.0;253;-1.0;Kodex_der_Magie;1300;Klingenmeister
PDType0Font/PDCIDFontType2, PostScript name: AVHWUS+GentiumBasic;false;false;25.0;253;-1.0;Kodex_der_Magie;1000;Die gefährlichsten Krieger unter den Ani
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;26.0;253;-1.0;Kodex_der_Magie;1000;-
PDType0Font/PDCIDFontType2, PostScript name: AVHWUS+GentiumBasic;false;false;27.0;253;-1.0;Kodex_der_Magie;1000;misten sind die Klingenmeister. Für sie ist der Umgang mit ihrer Waffe eine Selbst
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;28.0;253;-1.0;Kodex_der_Magie;1000;-
PDType0Font/PDCIDFontType2, PostScript name: AVHWUS+GentiumBasic;false;false;29.0;253;-1.0;Kodex_der_Magie;1000;verständlichkeit und sie benötigen we
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;30.0;253;-1.0;Kodex_der_Magie;1000;-
PDType0Font/PDCIDFontType2, PostScript name: AVHWUS+GentiumBasic;false;false;31.0;253;-1.0;Kodex_der_Magie;1000;niger Kraft für deren Waffenzauber. Darüber hinaus scheint ihre Waffe in ihren Händen auch noch gefährli
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;32.0;253;-1.0;Kodex_der_Magie;1000;-
PDType0Font/PDCIDFontType2, PostScript name: AVHWUS+GentiumBasic;false;false;33.0;253;-1.0;Kodex_der_Magie;1000;cher und schärfer zu sein. Allerdings sind sie keine Spezialisten der Animis
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;34.0;253;-1.0;Kodex_der_Magie;1000;-
PDType0Font/PDCIDFontType2, PostScript name: AVHWUS+GentiumBasic;false;false;35.0;253;-1.0;Kodex_der_Magie;1000;tenkräfte und können diese deutlich schwerer wirken als andere Animisten.
PDTrueTypeFont UMFMOE+GentiumBasic-Bold;true;false;36.0;253;-1.0;Kodex_der_Magie;1000;Waffenmeister
PDType0Font/PDCIDFontType2, PostScript name: AVHWUS+GentiumBasic;false;false;37.0;253;-1.0;Kodex_der_Magie;1000;Der Einsatz einer Animistenwaffe kostet bei Waf
PDTrueTypeFont WPEYQA+GentiumBasic;false;false;38.0;253;-1.0;Kodex_der_Magie;1000;-
PDType0Font/PDCIDFontType2, PostScript name: AVHWUS+GentiumBasic;false;false;39.0;253;-1.0;Kodex_der_Magie;1000;fenzaubern 1 AsP weniger (bei einem Minimum von 1 AsP). Zudem richtet die Waffe in ihren Händen +1 TP an.
PDTrueTypeFont UMFMOE+GentiumBasic-Bold;true;false;40.0;253;-1.0;Kodex_der_Magie;1000;Schwierigere Geisterkontrolle
