FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont WGQPKL+Andalus;false;false;1.0;219;-1.0;Kodex_des_Götterwirkens;1200;Kapitel 3: Erweiterte Liturgieregeln
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;2.0;219;-1.0;Kodex_des_Götterwirkens;1000;Die vorliegende Regel ist eine Fokusregel der Stufe I zum Themenkomplex allgemeine karmale Sonderfertigkeiten.Bei Predigten und Visionen handelt es sich um Regelmechanismen, die nur Helden mit den entsprechenden Vorteilen oder Sonderfertigkeiten offenstehen. Nur Geweihte und Zeloten sind in der Lage, Predigten und Visionen zu erlernen. Predigten können dazu ge-
PDType0Font/PDCIDFontType2, PostScript name: BONDRV+GentiumBasic;false;false;3.0;219;-1.0;Kodex_des_Götterwirkens;1000;nutzt werden, Zuhörer zu beeinflussen, während Visio
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;4.0;219;-1.0;Kodex_des_Götterwirkens;1000;-nen vornehmlich auf den Helden selbst wirken und ihn
PDType0Font/PDCIDFontType2, PostScript name: BONDRV+GentiumBasic;false;false;5.0;219;-1.0;Kodex_des_Götterwirkens;1000;durch die Nähe zu seiner Gottheit stärken.
PDTrueTypeFont ITLEWN+GentiumBasic-Bold;true;false;6.0;219;-1.0;Kodex_des_Götterwirkens;1300;Die Predigt
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;7.0;219;-1.0;Kodex_des_Götterwirkens;1000;Jeder Held kann vor einer Menschenansammlung sprechen und seine Gottheit lobpreisen. Doch nur eine Person, die über die entsprechende Sonderfertigkeit ver-
PDType0Font/PDCIDFontType2, PostScript name: BONDRV+GentiumBasic;false;false;8.0;219;-1.0;Kodex_des_Götterwirkens;1000;fügt, erhält im Talent
PDTrueTypeFont FZAMGT+GentiumBasic-Italic;false;true;9.0;219;-1.0;Kodex_des_Götterwirkens;1000;Bekehren & Überzeugen (öffentliche Rede)
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;10.0;219;-1.0;Kodex_des_Götterwirkens;1000;die Einsatzmöglichkeit Predigt. Beim Einsatz einer dieser SF wird also eine Probe auf das zugeordnete Ta-
PDType0Font/PDCIDFontType2, PostScript name: BONDRV+GentiumBasic;false;false;11.0;219;-1.0;Kodex_des_Götterwirkens;1000;lent fällig. Die QS der Probe geben immer an, wie vie
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;12.0;219;-1.0;Kodex_des_Götterwirkens;1000;-le Personen von der Predigt regeltechnisch betroffen sind. Auf diesen Personen, die Zuhörer genannt werden, muss entweder der Geburtssegen oder die Initiationdes Pantheons des predigenden Helden liegen. Eine Predigt muss mindestens 5 Minuten lang vorgetragen wer-
PDType0Font/PDCIDFontType2, PostScript name: BONDRV+GentiumBasic;false;false;13.0;219;-1.0;Kodex_des_Götterwirkens;1000;den (sie kann aber länger dauern). Der Geweihte kann nie selbst von einer Predigt profitieren.
PDTrueTypeFont ITLEWN+GentiumBasic-Bold;true;false;14.0;219;-1.0;Kodex_des_Götterwirkens;1300;Predigt-SonderfertigkeitenPredigt der Gemeinschaft
PDType0Font/PDCIDFontType2, PostScript name: BONDRV+GentiumBasic;false;false;15.0;219;-1.0;Kodex_des_Götterwirkens;1000;Ein Geweihter kann während einer Predigt die Moral
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;16.0;219;-1.0;Kodex_des_Götterwirkens;1000;der Zuhörer steigern und an ihr Gemeinschaftsgefühl appellieren.
PDTrueTypeFont ITLEWN+GentiumBasic-Bold;true;false;17.0;219;-1.0;Kodex_des_Götterwirkens;1000;Regel
PDType0Font/PDCIDFontType2, PostScript name: BONDRV+GentiumBasic;false;false;18.0;219;-1.0;Kodex_des_Götterwirkens;1000;QS ausgewählte Zuhörer bekommen 1 Schip, al
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;19.0;219;-1.0;Kodex_des_Götterwirkens;1000;-lerdings nicht über ihr Maximum an Schips hinaus. Kein Zuhörer kann auf diese Art innerhalb von 24 Stunden
PDType0Font/PDCIDFontType2, PostScript name: BONDRV+GentiumBasic;false;false;20.0;219;-1.0;Kodex_des_Götterwirkens;1000;mehr als 1 Schip erhalten.
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;21.0;219;-1.0;Kodex_des_Götterwirkens;1000;Der Held muss für die Predigt
PDType0Font/PDCIDFontType2, PostScript name: BONDRV+GentiumBasic;false;false;22.0;219;-1.0;Kodex_des_Götterwirkens;1000;1 Schip einsetzen und kann
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;23.0;219;-1.0;Kodex_des_Götterwirkens;1000;sie nur einmal alle 24 Stunden einsetzen.
PDTrueTypeFont ITLEWN+GentiumBasic-Bold;true;false;24.0;219;-1.0;Kodex_des_Götterwirkens;1000;Voraussetzungen
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;25.0;219;-1.0;Kodex_des_Götterwirkens;1000;Vorteil Geweihter
PDTrueTypeFont ITLEWN+GentiumBasic-Bold;true;false;26.0;219;-1.0;Kodex_des_Götterwirkens;1000;AP-Wert
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;27.0;219;-1.0;Kodex_des_Götterwirkens;1000;20 Abenteuerpunkte
PDTrueTypeFont ITLEWN+GentiumBasic-Bold;true;false;28.0;219;-1.0;Kodex_des_Götterwirkens;1300;Predigt der Zuversicht
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;29.0;219;-1.0;Kodex_des_Götterwirkens;1000;Eine Geweihte ist durch diese Predigt in der Lage, den
PDType0Font/PDCIDFontType2, PostScript name: BONDRV+GentiumBasic;false;false;30.0;219;-1.0;Kodex_des_Götterwirkens;1000;Gläubigen ihre Angst zu nehmen und sie wieder hand
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;31.0;219;-1.0;Kodex_des_Götterwirkens;1000;-
PDType0Font/PDCIDFontType2, PostScript name: BONDRV+GentiumBasic;false;false;32.0;219;-1.0;Kodex_des_Götterwirkens;1000;lungsfähiger zu machen.
PDTrueTypeFont ITLEWN+GentiumBasic-Bold;true;false;33.0;219;-1.0;Kodex_des_Götterwirkens;1000;Regel
PDType0Font/PDCIDFontType2, PostScript name: BONDRV+GentiumBasic;false;false;34.0;219;-1.0;Kodex_des_Götterwirkens;1000;QS ausgewählte Zuhörer können 1 Stunde lang
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;35.0;219;-1.0;Kodex_des_Götterwirkens;1000;eine einzige Stufe
PDTrueTypeFont FZAMGT+GentiumBasic-Italic;false;true;36.0;219;-1.0;Kodex_des_Götterwirkens;1000;Furcht
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;37.0;219;-1.0;Kodex_des_Götterwirkens;1000;ignorieren. Nach Ablauf der Stunde wirkt die Stufe wieder. Die Wirkung wurde lediglich unterbrochen. Während der Stunde können die Zuhörer aber neue Stufen
PDTrueTypeFont FZAMGT+GentiumBasic-Italic;false;true;38.0;219;-1.0;Kodex_des_Götterwirkens;1000;Furcht
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;39.0;219;-1.0;Kodex_des_Götterwirkens;1000;erleiden. Kein Zuhörer kann innerhalb von 24 Stunden mehr als einmal
PDType0Font/PDCIDFontType2, PostScript name: MFWHPZ+GentiumBasic;false;false;40.0;219;-1.0;Kodex_des_Götterwirkens;1000;von dieser Predigt profitieren. Die Heldin muss für die
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;41.0;219;-1.0;Kodex_des_Götterwirkens;1000;Predigt 1 Schip einsetzen und sie ist nur einmal alle 24 Stunden einsetzbar.
PDTrueTypeFont ITLEWN+GentiumBasic-Bold;true;false;42.0;219;-1.0;Kodex_des_Götterwirkens;1000;Voraussetzungen
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;43.0;219;-1.0;Kodex_des_Götterwirkens;1000;Vorteil Geweihter
PDTrueTypeFont ITLEWN+GentiumBasic-Bold;true;false;44.0;219;-1.0;Kodex_des_Götterwirkens;1000;AP-Wert
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;45.0;219;-1.0;Kodex_des_Götterwirkens;1000;12 Abenteuerpunkte
PDTrueTypeFont ITLEWN+GentiumBasic-Bold;true;false;46.0;219;-1.0;Kodex_des_Götterwirkens;1300;Predigt des Gottvertrauens
PDType0Font/PDCIDFontType2, PostScript name: MFWHPZ+GentiumBasic;false;false;47.0;219;-1.0;Kodex_des_Götterwirkens;1000;Oftmals versuchen Geweihte, Gläubige zu überzeugen,
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;48.0;219;-1.0;Kodex_des_Götterwirkens;1000;stärker auf die Macht ihres Gottes zu vertrauen, um sie
PDType0Font/PDCIDFontType2, PostScript name: MFWHPZ+GentiumBasic;false;false;49.0;219;-1.0;Kodex_des_Götterwirkens;1000;so zu Höchstleistungen anzutreiben.
PDTrueTypeFont ITLEWN+GentiumBasic-Bold;true;false;50.0;219;-1.0;Kodex_des_Götterwirkens;1000;Regel
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;51.0;219;-1.0;Kodex_des_Götterwirkens;1000;QS ausgewählte Zuhörer können das Ergebnis eines ausgewählten eigenen W20-Wurfs innerhalb der nächsten 24 Stunden um 1 nach unten korrigieren. Dies kann auch dazu dienen, eine Probe noch ge-
PDType0Font/PDCIDFontType2, PostScript name: MFWHPZ+GentiumBasic;false;false;52.0;219;-1.0;Kodex_des_Götterwirkens;1000;lingen zu lassen oder eine gewürfelte 2 zu einer 1 zu
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;53.0;219;-1.0;Kodex_des_Götterwirkens;1000;machen, um damit einen Kritischen Erfolg zu erzielen. Bei einem Patzer hilft diese Fähigkeit nicht. Diese
PDType0Font/PDCIDFontType2, PostScript name: MFWHPZ+GentiumBasic;false;false;54.0;219;-1.0;Kodex_des_Götterwirkens;1000;Option bleibt für jeden einzelnen Zuhörer bis zu sei
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;55.0;219;-1.0;Kodex_des_Götterwirkens;1000;-ner nächsten Probe erhalten, in der er die Fähigkeit nutzt, maximal hält sie aber 1 Stunde. Kein Zuhörer kann während der Wirkung mehr als einmal von der
PDType0Font/PDCIDFontType2, PostScript name: MFWHPZ+GentiumBasic;false;false;56.0;219;-1.0;Kodex_des_Götterwirkens;1000;Predigt profitieren. Der Held muss für die Predigt 1
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;57.0;219;-1.0;Kodex_des_Götterwirkens;1000;Schip einsetzen und kann sie nur einmal alle 24 Stunden einsetzen.
