FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont WGQPKL+Andalus;false;false;1.0;421;-1.0;Kodex_des_Götterwirkens;1200;Anhang
PDTrueTypeFont ITLEWN+GentiumBasic-Bold;true;false;2.0;421;-1.0;Kodex_des_Götterwirkens;1000;ZeremonialgegenständeGegenstandStrukturpunkteGewichtPreisKomplexitätAmulett des Heiligen Badilak
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;3.0;421;-1.0;Kodex_des_Götterwirkens;1000;12 Strukturpunkte0,3 Stn12 Seinf
PDTrueTypeFont ITLEWN+GentiumBasic-Bold;true;false;4.0;421;-1.0;Kodex_des_Götterwirkens;1000;Angroschanhänger
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;5.0;421;-1.0;Kodex_des_Götterwirkens;1000;12 Strukturpunkte0,2 Stn12 Seinf
PDTrueTypeFont ITLEWN+GentiumBasic-Bold;true;false;6.0;421;-1.0;Kodex_des_Götterwirkens;1000;Bimssteinkette
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;7.0;421;-1.0;Kodex_des_Götterwirkens;1000;2 Strukturpunkte0,2 Stn3 Sprim
PDTrueTypeFont ITLEWN+GentiumBasic-Bold;true;false;8.0;421;-1.0;Kodex_des_Götterwirkens;1000;Buch der Schlange
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;9.0;421;-1.0;Kodex_des_Götterwirkens;1000;18 Strukturpunkte1,5 Stn90 Skomp (2 AP)
PDTrueTypeFont ITLEWN+GentiumBasic-Bold;true;false;10.0;421;-1.0;Kodex_des_Götterwirkens;1000;Buntes Gewand
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;11.0;421;-1.0;Kodex_des_Götterwirkens;1000;2 Strukturpunkte0,75 Stn40 Seinf
PDTrueTypeFont ITLEWN+GentiumBasic-Bold;true;false;12.0;421;-1.0;Kodex_des_Götterwirkens;1000;Coelestin-Metallband
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;13.0;421;-1.0;Kodex_des_Götterwirkens;1000;12 Strukturpunkte0,5 Stn80 Seinf
PDTrueTypeFont ITLEWN+GentiumBasic-Bold;true;false;14.0;421;-1.0;Kodex_des_Götterwirkens;1000;Dunkles Buch
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;15.0;421;-1.0;Kodex_des_Götterwirkens;1000;18 Strukturpunkte1,5 Stn90 Skomp (2 AP)
PDTrueTypeFont ITLEWN+GentiumBasic-Bold;true;false;16.0;421;-1.0;Kodex_des_Götterwirkens;1000;Einhornstirnband
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;17.0;421;-1.0;Kodex_des_Götterwirkens;1000;3 Strukturpunkte0,3 Stn23 Seinf
PDTrueTypeFont ITLEWN+GentiumBasic-Bold;true;false;18.0;421;-1.0;Kodex_des_Götterwirkens;1000;Erkenntnisstab
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;19.0;421;-1.0;Kodex_des_Götterwirkens;1000;30 Strukturpunkte1 Stn30 Seinf
PDTrueTypeFont ITLEWN+GentiumBasic-Bold;true;false;20.0;421;-1.0;Kodex_des_Götterwirkens;1000;Flukenamulett
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;21.0;421;-1.0;Kodex_des_Götterwirkens;1000;12 Strukturpunkte0,3 Stn12 Seinf
PDTrueTypeFont ITLEWN+GentiumBasic-Bold;true;false;22.0;421;-1.0;Kodex_des_Götterwirkens;1000;Füllhorn
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;23.0;421;-1.0;Kodex_des_Götterwirkens;1000;15 Strukturpunkte0,5 Stn15 Sprim
PDTrueTypeFont ITLEWN+GentiumBasic-Bold;true;false;24.0;421;-1.0;Kodex_des_Götterwirkens;1000;Gänsebeutel
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;25.0;421;-1.0;Kodex_des_Götterwirkens;1000;4 Strukturpunkte0,25 Stn25 Seinf
PDTrueTypeFont ITLEWN+GentiumBasic-Bold;true;false;26.0;421;-1.0;Kodex_des_Götterwirkens;1000;Geisterfetisch
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;27.0;421;-1.0;Kodex_des_Götterwirkens;1000;10 Strukturpunkte0,25 Stn20 Sprim
PDTrueTypeFont ITLEWN+GentiumBasic-Bold;true;false;28.0;421;-1.0;Kodex_des_Götterwirkens;1000;Gesichtslarve
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;29.0;421;-1.0;Kodex_des_Götterwirkens;1000;10 Strukturpunkte0,5 Stn50 Seinf
PDTrueTypeFont ITLEWN+GentiumBasic-Bold;true;false;30.0;421;-1.0;Kodex_des_Götterwirkens;1000;Grauer Umhang
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;31.0;421;-1.0;Kodex_des_Götterwirkens;1000;3 Strukturpunkte0,5 Stn30 Seinf
PDTrueTypeFont ITLEWN+GentiumBasic-Bold;true;false;32.0;421;-1.0;Kodex_des_Götterwirkens;1000;Grüne Handschuhe
