FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont ITLEWN+GentiumBasic-Bold;true;false;1.0;24;-1.0;Kodex_des_Götterwirkens;1300;Moralkodex der Praiosgeweihten
PDTrueTypeFont ITLEWN+GentiumBasic-Bold;true;false;2.0;24;-1.0;Kodex_des_Götterwirkens;1000;Gehorsam
PDType0Font/PDCIDFontType2, PostScript name: RBDLSV+GentiumBasic;false;false;3.0;24;-1.0;Kodex_des_Götterwirkens;1000;Der Geweihte ist verpflichtet, sich an die Be
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;4.0;24;-1.0;Kodex_des_Götterwirkens;1000;-
PDType0Font/PDCIDFontType2, PostScript name: RBDLSV+GentiumBasic;false;false;5.0;24;-1.0;Kodex_des_Götterwirkens;1000;fehle von Personen zu halten, die über ihm in der Kir
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;6.0;24;-1.0;Kodex_des_Götterwirkens;1000;-
PDType0Font/PDCIDFontType2, PostScript name: RBDLSV+GentiumBasic;false;false;7.0;24;-1.0;Kodex_des_Götterwirkens;1000;chenhierarchie stehen.
PDTrueTypeFont ITLEWN+GentiumBasic-Bold;true;false;8.0;24;-1.0;Kodex_des_Götterwirkens;1000;Offensichtlichkeit
PDType0Font/PDCIDFontType2, PostScript name: RBDLSV+GentiumBasic;false;false;9.0;24;-1.0;Kodex_des_Götterwirkens;1000;Der Geweihte versteckt sich und seinen Glauben nicht, noch spricht er ein unwahres Wort. Wichtig sind auch Schutz von Gesetz und Staat: Der Geweihte verteidigt zwölfgöttliche Reiche und Strukturen und achtet auf die Einhaltung der Gesetze.
PDTrueTypeFont ITLEWN+GentiumBasic-Bold;true;false;10.0;24;-1.0;Kodex_des_Götterwirkens;1000;Magiebann
PDType0Font/PDCIDFontType2, PostScript name: RBDLSV+GentiumBasic;false;false;11.0;24;-1.0;Kodex_des_Götterwirkens;1000;Magie ist zu bannen, wo sie die Ordnung der Welt bedroht und ihr Missbrauch zu ahnden. Das Gildenrecht der Magier ist dabei zu achten.
PDTrueTypeFont ITLEWN+GentiumBasic-Bold;true;false;12.0;24;-1.0;Kodex_des_Götterwirkens;1000;Mission
PDType0Font/PDCIDFontType2, PostScript name: RBDLSV+GentiumBasic;false;false;13.0;24;-1.0;Kodex_des_Götterwirkens;1000;Der Glaube an den Götterfürsten und seine Ge
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;14.0;24;-1.0;Kodex_des_Götterwirkens;1000;-
PDType0Font/PDCIDFontType2, PostScript name: RBDLSV+GentiumBasic;false;false;15.0;24;-1.0;Kodex_des_Götterwirkens;1000;schwister muss in alle Winkel Deres verbreitet werden. Ungläubige und Frevler sind dabei durch Argumente und Vorbild zu erreichen, nicht durch blinden Eifer.
PDTrueTypeFont ITLEWN+GentiumBasic-Bold;true;false;16.0;24;-1.0;Kodex_des_Götterwirkens;1000;Gerechtigkeit
PDType0Font/PDCIDFontType2, PostScript name: RBDLSV+GentiumBasic;false;false;17.0;24;-1.0;Kodex_des_Götterwirkens;1000;Der Geweihte strebt bei allem, was er sagt, denkt und tut nach Gerechtigkeit in seinem Her
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;18.0;24;-1.0;Kodex_des_Götterwirkens;1000;-
PDType0Font/PDCIDFontType2, PostScript name: RBDLSV+GentiumBasic;false;false;19.0;24;-1.0;Kodex_des_Götterwirkens;1000;zen. Danach beurteile er auch jeden Gesetzesbruch und ahnde ihn, wenn er gegen die Praiosgewollte Ordnung verstößt.
PDTrueTypeFont ITLEWN+GentiumBasic-Bold;true;false;20.0;24;-1.0;Kodex_des_Götterwirkens;1300;Die Aspekte des Praios
PDType0Font/PDCIDFontType2, PostScript name: RBDLSV+GentiumBasic;false;false;21.0;24;-1.0;Kodex_des_Götterwirkens;1000;Praios, der Götterfürst, der Oberste der Zwölfgötter, vertritt Gesetz, Ordnung und Gerechtigkeit. Er steht zudem für die Bannung von finsterer Magie und das Licht der Sonne. Seine Geweihten und Diener vertreten die Wahrhaftigkeit und setzen sich gegen dämonische oder namenlose Mächte ein. Gefürchtet sind die heili
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;22.0;24;-1.0;Kodex_des_Götterwirkens;1000;-
PDType0Font/PDCIDFontType2, PostScript name: RBDLSV+GentiumBasic;false;false;23.0;24;-1.0;Kodex_des_Götterwirkens;1000;ge Inquisition und der Orden des Bannstrahls, ein Zu
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;24.0;24;-1.0;Kodex_des_Götterwirkens;1000;-
PDType0Font/PDCIDFontType2, PostScript name: RBDLSV+GentiumBasic;false;false;25.0;24;-1.0;Kodex_des_Götterwirkens;1000;sammenschluss von fanatischen Laiendienern, der die Auslegung der Praioskirche oft ernster nimmt als ein Großteil der Geweihten. Praios ist der Hauptgott des Mittelreichs, und die Zwölfgöttergläubigen nennen ihre Sonne Praiosscheibe oder Praiosauge – Letzteres als Sinnbild dafür, dass das Auge des Gottes des Tags über alle Gläubigen wacht.
PDTrueTypeFont ITLEWN+GentiumBasic-Bold;true;false;26.0;24;-1.0;Kodex_des_Götterwirkens;1000;Antimagie
PDType0Font/PDCIDFontType2, PostScript name: RBDLSV+GentiumBasic;false;false;27.0;24;-1.0;Kodex_des_Götterwirkens;1000;Wer sich besonders dem Schutz der Schöpfung vor ge
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;28.0;24;-1.0;Kodex_des_Götterwirkens;1000;-
PDType0Font/PDCIDFontType2, PostScript name: RBDLSV+GentiumBasic;false;false;29.0;24;-1.0;Kodex_des_Götterwirkens;1000;fährlicher Magie verschrieben hat, folgt diesem Aspekt. Ihm sind die nötigen Mittel im Kampf gegen Schwarz
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;30.0;24;-1.0;Kodex_des_Götterwirkens;1000;-
PDType0Font/PDCIDFontType2, PostScript name: RBDLSV+GentiumBasic;false;false;31.0;24;-1.0;Kodex_des_Götterwirkens;1000;magier, Dämonen und andere magische Gefahren an die Hand gegeben.
PDTrueTypeFont ITLEWN+GentiumBasic-Bold;true;false;32.0;24;-1.0;Kodex_des_Götterwirkens;1000;Ordnung
PDType0Font/PDCIDFontType2, PostScript name: RBDLSV+GentiumBasic;false;false;33.0;24;-1.0;Kodex_des_Götterwirkens;1000;Geweihte des Praios werden als Richter und Berater ge
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;34.0;24;-1.0;Kodex_des_Götterwirkens;1000;-
PDType0Font/PDCIDFontType2, PostScript name: RBDLSV+GentiumBasic;false;false;35.0;24;-1.0;Kodex_des_Götterwirkens;1000;schätzt. Wer als Diener Praios’ Recht und Gerechtigkeit in die Welt tragen will, verschreibt sich diesem Aspekt des Götterfürsten.
PDTrueTypeFont WGQPKL+Andalus;false;false;36.0;24;-1.0;Kodex_des_Götterwirkens;1800;Die Tradition der Praioskirche
PDTrueTypeFont ITLEWN+GentiumBasic-Bold;true;false;37.0;24;-1.0;Kodex_des_Götterwirkens;1000;Die Tradition (Praioskirche) als Sonderfertigkeit
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;38.0;24;-1.0;Kodex_des_Götterwirkens;1000;
PDTrueTypeFont FZAMGT+GentiumBasic-Italic;false;true;39.0;24;-1.0;Kodex_des_Götterwirkens;1000;Wille des Götterfürsten:
PDType0Font/PDCIDFontType2, PostScript name: RBDLSV+GentiumBasic;false;false;40.0;24;-1.0;Kodex_des_Götterwirkens;1000;Bei der Liturgiemodi
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;41.0;24;-1.0;Kodex_des_Götterwirkens;1000;-
PDType0Font/PDCIDFontType2, PostScript name: RBDLSV+GentiumBasic;false;false;42.0;24;-1.0;Kodex_des_Götterwirkens;1000;fikation Erzwingen erhält der Geweihte eine Erleichterung von +2 (statt +1).
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;43.0;24;-1.0;Kodex_des_Götterwirkens;1000;
PDTrueTypeFont FZAMGT+GentiumBasic-Italic;false;true;44.0;24;-1.0;Kodex_des_Götterwirkens;1000;Magieschutz:
PDType0Font/PDCIDFontType2, PostScript name: RBDLSV+GentiumBasic;false;false;45.0;24;-1.0;Kodex_des_Götterwirkens;1000;Wird Magie gegen den Praiosge
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;46.0;24;-1.0;Kodex_des_Götterwirkens;1000;-
PDType0Font/PDCIDFontType2, PostScript name: RBDLSV+GentiumBasic;false;false;47.0;24;-1.0;Kodex_des_Götterwirkens;1000;weihten gewirkt, so verbessert sich hierge
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;48.0;24;-1.0;Kodex_des_Götterwirkens;1000;-
PDType0Font/PDCIDFontType2, PostScript name: RBDLSV+GentiumBasic;false;false;49.0;24;-1.0;Kodex_des_Götterwirkens;1000;gen seine Seelenkraft um 1.
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;50.0;24;-1.0;Kodex_des_Götterwirkens;1000;
PDType0Font/PDCIDFontType2, PostScript name: RBDLSV+GentiumBasic;false;false;51.0;24;-1.0;Kodex_des_Götterwirkens;1000;Ein Praiosgeweihter muss sich an den Moral
PDTrueTypeFont AZMIOD+GentiumBasic;false;false;52.0;24;-1.0;Kodex_des_Götterwirkens;1000;-
