FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDType0Font/PDCIDFontType2, PostScript name: UTIQRK+GentiumBasic;false;false;1.0;422;-1.0;Kodex_des_Götterwirkens;1000;An dieser Stelle sind weitere Nah- und Fernkampfwaf
PDTrueTypeFont QNKSNS+GentiumBasic;false;false;2.0;422;-1.0;Kodex_des_Götterwirkens;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UTIQRK+GentiumBasic;false;false;3.0;422;-1.0;Kodex_des_Götterwirkens;1000;fen sowie Rüstungen aufgeführt, die von einigen Pries
PDTrueTypeFont QNKSNS+GentiumBasic;false;false;4.0;422;-1.0;Kodex_des_Götterwirkens;1000;-
PDType0Font/PDCIDFontType2, PostScript name: UTIQRK+GentiumBasic;false;false;5.0;422;-1.0;Kodex_des_Götterwirkens;1000;tern verwendet werden.
PDTrueTypeFont NGWAXY+GentiumBasic-Bold;true;false;6.0;422;-1.0;Kodex_des_Götterwirkens;1300;Abkürzungen
PDTrueTypeFont NGWAXY+GentiumBasic-Bold;true;false;7.0;422;-1.0;Kodex_des_Götterwirkens;1000;TP
PDType0Font/PDCIDFontType2, PostScript name: UTIQRK+GentiumBasic;false;false;8.0;422;-1.0;Kodex_des_Götterwirkens;1000;Trefferpunkte
PDTrueTypeFont NGWAXY+GentiumBasic-Bold;true;false;9.0;422;-1.0;Kodex_des_Götterwirkens;1000;LZ
PDType0Font/PDCIDFontType2, PostScript name: UTIQRK+GentiumBasic;false;false;10.0;422;-1.0;Kodex_des_Götterwirkens;1000;Ladezeit in Aktionen
PDTrueTypeFont NGWAXY+GentiumBasic-Bold;true;false;11.0;422;-1.0;Kodex_des_Götterwirkens;1000;L+S
PDType0Font/PDCIDFontType2, PostScript name: UTIQRK+GentiumBasic;false;false;12.0;422;-1.0;Kodex_des_Götterwirkens;1000;Leiteigenschaft und Schadensschwelle
PDTrueTypeFont NGWAXY+GentiumBasic-Bold;true;false;13.0;422;-1.0;Kodex_des_Götterwirkens;1000;AT/PA-Mod
PDType0Font/PDCIDFontType2, PostScript name: UTIQRK+GentiumBasic;false;false;14.0;422;-1.0;Kodex_des_Götterwirkens;1000;Modifikator für Attacke und Parade der Waffe
PDTrueTypeFont NGWAXY+GentiumBasic-Bold;true;false;15.0;422;-1.0;Kodex_des_Götterwirkens;1000;RW
PDType0Font/PDCIDFontType2, PostScript name: UTIQRK+GentiumBasic;false;false;16.0;422;-1.0;Kodex_des_Götterwirkens;1000;Reichweite
