FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont TMKULW+Andalus;false;false;1.0;249;-1.0;Kodex_des_Schwertes;1200;Kapitel 7: Sonderfertigkeiten
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;2.0;249;-1.0;Kodex_des_Schwertes;1300;Beschreibung der Allgemeinen Sonderfertigkeiten
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;3.0;249;-1.0;Kodex_des_Schwertes;1000;Unter dem Punkt Regelsind die regeltechnischen Aspekte der Sonderfertigkeit aufgeführt. Hier ist zum Beispiel auch angegeben, ob sie ein neues Anwendungsgebiet freischaltet oder eine Einsatzmöglichkeit für ein Talent darstellt.Die
PDTrueTypeFont DJIXQC+GentiumBasic-Italic;false;true;4.0;249;-1.0;Kodex_des_Schwertes;1000;Voraussetzungen
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;5.0;249;-1.0;Kodex_des_Schwertes;1000;geben an, was alles erfüllt sein muss, damit ein Held diese Sonderfertigkeit erwerben kann. Meistens handelt es sich dabei um Mindest-Fertigkeitswerte in bestimmten Talenten oder Vor- und Nachteile, die entweder verboten sind oder vorhanden sein müssen. In einigen Fällen kann es aber sein, dass ein Held auch eine andere Sonderfertigkeit benötigt.Zu guter Letzt steht eine Angabe zum
PDTrueTypeFont DJIXQC+GentiumBasic-Italic;false;true;6.0;249;-1.0;Kodex_des_Schwertes;1000;AP-Wert
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;7.0;249;-1.0;Kodex_des_Schwertes;1000;. Diese Kosten müssen vom AP-Konto des Helden bezahlt werden, bevor die Sonderfertigkeit erworben werden kann.
PDType0Font/PDCIDFontType2, PostScript name: LAAZQW+GentiumBasic;false;false;8.0;249;-1.0;Kodex_des_Schwertes;1000;Die Auflistung umfasst alle in diesem Buch vorgestellten
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;9.0;249;-1.0;Kodex_des_Schwertes;1000;Allgemeinen Sonderfertigkeiten sowie die Schicksalspunkte-Sonderfertigkeiten. Bei diesen handelt es sich um eine Unterkategorie der Allgemeinen Sonderfertigkeiten, die den Einsatz von Schips erfordern.Neu sind die Talentstilsonderfertigkeiten und die erweiterten Talentsonderfertigkeiten. Die Talentstilsonderfertigkeiten führen auf, welche der erweiterten Talentsonderfertigkeiten durch diesen Stil erworben werden können.
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;10.0;249;-1.0;Kodex_des_Schwertes;1300;Abrichter
