FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont TMKULW+Andalus;false;false;60.0;36;-1.0;Kodex_des_Schwertes;1800;Körpertalente
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;61.0;36;-1.0;Kodex_des_Schwertes;1000;Wenn Helden Mauern erklimmen, über Seile balancieren oder durch Flüsse schwimmen, wenn sie also das tun, was zu einem Heldenleben gehört, dann werden Körpertalente abgefragt. Meistens sind Proben auf Körpertalente Erfolgsproben, es kann jedoch unter Umständen eine Vergleichs- oder Sammelproben zustande kommen.
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;62.0;36;-1.0;Kodex_des_Schwertes;1300;Fliegen
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;63.0;36;-1.0;Kodex_des_Schwertes;1000;Probe
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;64.0;36;-1.0;Kodex_des_Schwertes;1000;MU/IN/GE
PDType0Font/PDCIDFontType2, PostScript name: ARONLI+GentiumBasic;false;false;65.0;36;-1.0;Kodex_des_Schwertes;1000;Um Gegenstände wie Hexenbesen oder fliegende Teppi
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;66.0;36;-1.0;Kodex_des_Schwertes;1000;-che aktiv zu steuern, beispielsweise um durch eine enge
PDType0Font/PDCIDFontType2, PostScript name: ARONLI+GentiumBasic;false;false;67.0;36;-1.0;Kodex_des_Schwertes;1000;Straßenschlucht oder durch ein offenes Fenster zu flie
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;68.0;36;-1.0;Kodex_des_Schwertes;1000;-
PDType0Font/PDCIDFontType2, PostScript name: ARONLI+GentiumBasic;false;false;69.0;36;-1.0;Kodex_des_Schwertes;1000;gen, ist eine Probe auf Fliegen nötig. Unter das Talent fällt außerdem das Steuern von Flugreittieren, flugfähi
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;70.0;36;-1.0;Kodex_des_Schwertes;1000;-gen Dämonen und anderen Wesenheiten, die einen Helden durch die Luft transportieren können. Der durchschnittliche Held wird eher selten Proben auf dieses
PDType0Font/PDCIDFontType2, PostScript name: ARONLI+GentiumBasic;false;false;71.0;36;-1.0;Kodex_des_Schwertes;1000;Talent ablegen, eine Hexe mit ihrem Fluggerät deutlich häufiger. Komplexe Fluggeräte sind vor allem Fliegende Teppiche, die man nur fliegen kann, wenn man ein ma
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;72.0;36;-1.0;Kodex_des_Schwertes;1000;-gisches Zauberwort oder eine bestimmte Geste kennt, die man vollführen muss.
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;73.0;36;-1.0;Kodex_des_Schwertes;1000;Anwendungsgebiete
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;74.0;36;-1.0;Kodex_des_Schwertes;1000;Kampfmanöver, Langstrecken-
PDType0Font/PDCIDFontType2, PostScript name: ARONLI+GentiumBasic;false;false;75.0;36;-1.0;Kodex_des_Schwertes;1000;flug, Verfolgungsjagden
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;76.0;36;-1.0;Kodex_des_Schwertes;1000;Belastung
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;77.0;36;-1.0;Kodex_des_Schwertes;1000;ja
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;78.0;36;-1.0;Kodex_des_Schwertes;1000;Werkzeuge
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;79.0;36;-1.0;Kodex_des_Schwertes;1000;das entsprechende Fluggerät
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;80.0;36;-1.0;Kodex_des_Schwertes;1000;Qualität
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;81.0;36;-1.0;Kodex_des_Schwertes;1000;Distanzen können schneller überwunden werden.
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;82.0;36;-1.0;Kodex_des_Schwertes;1000;Misslungene Probe
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;83.0;36;-1.0;Kodex_des_Schwertes;1000;Das Flugmanöver ist misslungen und muss abgebrochen werden.
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;84.0;36;-1.0;Kodex_des_Schwertes;1000;Kritischer Erfolg
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;85.0;36;-1.0;Kodex_des_Schwertes;1000;Dem Held ist nicht nur das Manöver gelungen, sondern er hat eine zusätzliche Aktion in dieser Runde.
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;86.0;36;-1.0;Kodex_des_Schwertes;1000;Patzer
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;87.0;36;-1.0;Kodex_des_Schwertes;1000;Der Held stürzt ab.
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;88.0;36;-1.0;Kodex_des_Schwertes;1000;Steigerungskosten
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;89.0;36;-1.0;Kodex_des_Schwertes;1000;B
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;90.0;36;-1.0;Kodex_des_Schwertes;1000;Handlung
PDType0Font/PDCIDFontType2, PostScript name: AZMILI+GentiumBasic-Bold;true;false;91.0;36;-1.0;Kodex_des_Schwertes;1000;Modifikator
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;92.0;36;-1.0;Kodex_des_Schwertes;1000;Ein kurzer, ruhiger Flug von etwa 100 Schritt
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;93.0;36;-1.0;Kodex_des_Schwertes;1000;+5
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;94.0;36;-1.0;Kodex_des_Schwertes;1000;Ein mehrstündiger Flug ohne Gesäßschmerzen
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;95.0;36;-1.0;Kodex_des_Schwertes;1000;+3
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;96.0;36;-1.0;Kodex_des_Schwertes;1000;Rasanter Flug durch eine Straßenschlucht
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;97.0;36;-1.0;Kodex_des_Schwertes;1000;+1
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;98.0;36;-1.0;Kodex_des_Schwertes;1000;Überraschende Wendemanöver
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;99.0;36;-1.0;Kodex_des_Schwertes;1000;+/–0
PDType0Font/PDCIDFontType2, PostScript name: AZMILI+GentiumBasic-Bold;true;false;100.0;36;-1.0;Kodex_des_Schwertes;1000;Durch ein schmales Fenster fliegen
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;101.0;36;-1.0;Kodex_des_Schwertes;1000;–1
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;102.0;36;-1.0;Kodex_des_Schwertes;1000;Looping
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;103.0;36;-1.0;Kodex_des_Schwertes;1000;–3
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;104.0;36;-1.0;Kodex_des_Schwertes;1000;Sicherer Flug durch einen Luftschacht
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;105.0;36;-1.0;Kodex_des_Schwertes;1000;–5
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;106.0;36;-1.0;Kodex_des_Schwertes;1300;Gaukeleien
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;107.0;36;-1.0;Kodex_des_Schwertes;1000;Probe
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;108.0;36;-1.0;Kodex_des_Schwertes;1000;MU/CH/FFWenn es gilt, auf einem Jahrmarkt oder in einer Taverne ein paar Silbermünzen als Jongleur zu verdienen oder sein Gegenüber mit kleinen Zaubertricks zu verblüffen, wird auf das Talent Gaukeleien gewürfelt. Hierunter fallen unter anderem Jonglieren, Hütchenspiel und Possenreißen.Besonders nützlich können sich Gaukeleien beim Verstecken von kleinen Gegenständen am Körper erweisen.
PDTrueTypeFont TMKULW+Andalus;false;false;1.0;37;-1.0;Kodex_des_Schwertes;1200;Kapitel 2: Talente
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;2.0;37;-1.0;Kodex_des_Schwertes;1000;Anwendungsgebiete
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;3.0;37;-1.0;Kodex_des_Schwertes;1000;Jonglieren, Possenreißen, Verstecktricks
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;4.0;37;-1.0;Kodex_des_Schwertes;1000;Belastung
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;5.0;37;-1.0;Kodex_des_Schwertes;1000;ja
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;6.0;37;-1.0;Kodex_des_Schwertes;1000;Werkzeuge
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;7.0;37;-1.0;Kodex_des_Schwertes;1000;je nach Trick z. B. Bälle, Fackel, Schlangen, Spielkarten
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;8.0;37;-1.0;Kodex_des_Schwertes;1000;Qualität
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;9.0;37;-1.0;Kodex_des_Schwertes;1000;Der Trick ist besonders gut gelungen und die Zuschauer applaudieren mehr.
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;10.0;37;-1.0;Kodex_des_Schwertes;1000;Misslungene Probe
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;11.0;37;-1.0;Kodex_des_Schwertes;1000;Der Trick funktioniert nicht richtig, kleine Fehler schleichen sich bei dem Versuch ein. Das Publikum ist enttäuscht.
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;12.0;37;-1.0;Kodex_des_Schwertes;1000;Kritischer Erfolg
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;13.0;37;-1.0;Kodex_des_Schwertes;1000;Die Zuschauer sind fasziniert, halten den Trick gar für echte Magie, und potenzielle Geldeinnahmen des Gauklers verdoppeln sich.
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;14.0;37;-1.0;Kodex_des_Schwertes;1000;Patzer
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;15.0;37;-1.0;Kodex_des_Schwertes;1000;Der Held wird bei der Präsentation ausgebuht, da ihm ein Missgeschick passiert (mit Jonglierkeule einen Zuschauer getroffen, mit Pyrotechnik den Bürgermeister verletzt etc.).
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;16.0;37;-1.0;Kodex_des_Schwertes;1000;Steigerungskosten
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;17.0;37;-1.0;Kodex_des_Schwertes;1000;A
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;18.0;37;-1.0;Kodex_des_Schwertes;1000;Handlung
PDType0Font/PDCIDFontType2, PostScript name: VOBVES+GentiumBasic;false;false;19.0;37;-1.0;Kodex_des_Schwertes;1000;Modifikator
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;20.0;37;-1.0;Kodex_des_Schwertes;1000;Einfachste Kartentricks
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;21.0;37;-1.0;Kodex_des_Schwertes;1000;+5
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;22.0;37;-1.0;Kodex_des_Schwertes;1000;Ein Kind zum Lachen bringen durch Possenreißen
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;23.0;37;-1.0;Kodex_des_Schwertes;1000;+3
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;24.0;37;-1.0;Kodex_des_Schwertes;1000;Ein kleiner Kartentrick
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;25.0;37;-1.0;Kodex_des_Schwertes;1000;+1
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;26.0;37;-1.0;Kodex_des_Schwertes;1000;Mit Tricks in einer Schänke (Fertigkeitspunkte) Heller verdienen
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;27.0;37;-1.0;Kodex_des_Schwertes;1000;+/–0
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;28.0;37;-1.0;Kodex_des_Schwertes;1000;Mit drei brennenden Fackeln jonglieren
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;29.0;37;-1.0;Kodex_des_Schwertes;1000;–1
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;30.0;37;-1.0;Kodex_des_Schwertes;1000;Mit fünf Kugeln jonglieren
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;31.0;37;-1.0;Kodex_des_Schwertes;1000;–3
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;32.0;37;-1.0;Kodex_des_Schwertes;1000;Ein mürrisches Publikum zum Lachen bringen
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;33.0;37;-1.0;Kodex_des_Schwertes;1000;–5
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;34.0;37;-1.0;Kodex_des_Schwertes;1300;Klettern
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;35.0;37;-1.0;Kodex_des_Schwertes;1000;Probe
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;36.0;37;-1.0;Kodex_des_Schwertes;1000;MU/GE/KKWenn ein Held über eine Burgmauer oder an einer steilen Klippe entlangsteigt, steht eine Probe auf Klettern an. Eine misslungene Probe bedeutet nicht automatisch einen Sturz, eventuell traut sich ein Held erst gar nicht zu klettern, verletzt sich oder braucht furchtbar lange, um sein Ziel zu erreichen.
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;37.0;37;-1.0;Kodex_des_Schwertes;1000;Anwendungsgebiete
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;38.0;37;-1.0;Kodex_des_Schwertes;1000;Baumklettern, Bergsteigen, Eis- klettern, Fassadenklettern
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;39.0;37;-1.0;Kodex_des_Schwertes;1000;Belastung
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;40.0;37;-1.0;Kodex_des_Schwertes;1000;ja
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;41.0;37;-1.0;Kodex_des_Schwertes;1000;Werkzeuge
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;42.0;37;-1.0;Kodex_des_Schwertes;1000;eventuell Kletterausrüstung
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;43.0;37;-1.0;Kodex_des_Schwertes;1000;Qualität
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;44.0;37;-1.0;Kodex_des_Schwertes;1000;Der Held kommt schneller an seinem Ziel an.
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;45.0;37;-1.0;Kodex_des_Schwertes;1000;Misslungene Probe
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;46.0;37;-1.0;Kodex_des_Schwertes;1000;Der Held braucht viel länger als üblich, verletzt sich leicht (1W3 SP), traut sich nicht, zu klettern, oder hängt fest.
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;47.0;37;-1.0;Kodex_des_Schwertes;1000;Kritischer Erfolg
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;48.0;37;-1.0;Kodex_des_Schwertes;1000;Ohne Schwierigkeiten und viel schneller als gewöhnlich hat der Held den Aufstieg geschafft. Zuschauer halten ihn für den besten Kletterer Deres. Für Qualitätsstufen, Vergleichs- und Sammelproben gilt: FP = doppelter FW.
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;49.0;37;-1.0;Kodex_des_Schwertes;1000;Patzer
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;50.0;37;-1.0;Kodex_des_Schwertes;1000;Der Held rutscht ab und fällt (siehe Seite
PDTrueTypeFont MZYERK+GentiumBasic-Bold;true;false;51.0;37;-1.0;Kodex_des_Schwertes;1000;90
PDTrueTypeFont OCXQTG+GentiumBasic;false;false;52.0;37;-1.0;Kodex_des_Schwertes;1000;, Sturzschaden).
