FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont UBAYPZ+GentiumBasic-Bold;true;false;61.0;35;-1.0;Rüstkammer_der_Dampfenden_Dschungel;1000;WerkzeugeGewichtPreisKomplexitätEinbaum-Kanu
PDTrueTypeFont TXQSBB+GentiumBasic;false;false;62.0;35;-1.0;Rüstkammer_der_Dampfenden_Dschungel;1000;15 Stn300 Sprim
PDTrueTypeFont UBAYPZ+GentiumBasic-Bold;true;false;63.0;35;-1.0;Rüstkammer_der_Dampfenden_Dschungel;1000;Kletterriemen
PDTrueTypeFont TXQSBB+GentiumBasic;false;false;64.0;35;-1.0;Rüstkammer_der_Dampfenden_Dschungel;1000;0,5 Stn4 Sprim
PDTrueTypeFont UBAYPZ+GentiumBasic-Bold;true;false;65.0;35;-1.0;Rüstkammer_der_Dampfenden_Dschungel;1000;Mörser & Pistill
PDTrueTypeFont TXQSBB+GentiumBasic;false;false;66.0;35;-1.0;Rüstkammer_der_Dampfenden_Dschungel;1000;1,5 Stn50 Sprim
PDTrueTypeFont UBAYPZ+GentiumBasic-Bold;true;false;67.0;35;-1.0;Rüstkammer_der_Dampfenden_Dschungel;1000;Wellenreiterbrett
PDTrueTypeFont TXQSBB+GentiumBasic;false;false;68.0;35;-1.0;Rüstkammer_der_Dampfenden_Dschungel;1000;2 Stn100 Sprim
PDTrueTypeFont UBAYPZ+GentiumBasic-Bold;true;false;69.0;35;-1.0;Rüstkammer_der_Dampfenden_Dschungel;1000;Besondere GegenständeGewichtPreisKomplexitätJadeamulett
PDTrueTypeFont TXQSBB+GentiumBasic;false;false;70.0;35;-1.0;Rüstkammer_der_Dampfenden_Dschungel;1000;0,1 Stn1.200 Seinf
PDTrueTypeFont UBAYPZ+GentiumBasic-Bold;true;false;71.0;35;-1.0;Rüstkammer_der_Dampfenden_Dschungel;1000;Kristallschädel
PDTrueTypeFont TXQSBB+GentiumBasic;false;false;72.0;35;-1.0;Rüstkammer_der_Dampfenden_Dschungel;1000;0,5 Stnunbezahlbarkeine
PDTrueTypeFont UBAYPZ+GentiumBasic-Bold;true;false;73.0;35;-1.0;Rüstkammer_der_Dampfenden_Dschungel;1000;Schrumpfkopf
PDTrueTypeFont TXQSBB+GentiumBasic;false;false;74.0;35;-1.0;Rüstkammer_der_Dampfenden_Dschungel;1000;3 Stn20 Seinf
PDTrueTypeFont UBAYPZ+GentiumBasic-Bold;true;false;75.0;35;-1.0;Rüstkammer_der_Dampfenden_Dschungel;1000;KleidungGewichtPreisKomplexitätBrustgurt
PDTrueTypeFont TXQSBB+GentiumBasic;false;false;76.0;35;-1.0;Rüstkammer_der_Dampfenden_Dschungel;1000;0,25 Stn2 Sprim
PDTrueTypeFont UBAYPZ+GentiumBasic-Bold;true;false;77.0;35;-1.0;Rüstkammer_der_Dampfenden_Dschungel;1000;Brusttuch
