FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont LDDQLR+Andalus;false;false;1.0;16;-1.0;Rüstkammer_der_dampfenden_Dschungel;1200;Die Rüstkammer
PDTrueTypeFont UBAYPZ+GentiumBasic-Bold;true;false;2.0;16;-1.0;Rüstkammer_der_dampfenden_Dschungel;1300;Die Keke-Chitinrüstung
PDTrueTypeFont ZLEWZP+GentiumBasic-Italic;false;true;3.0;16;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;»Einige von ihnen hatten sich die Panzer von Riesenspinnen übergestülpt. Auf den ersten Blick hätte man sie für krude Mischwesen aus Mensch und Spinne halten können. Bedauerlicherweise waren sie nicht sehr gesprächig und so war es mir nicht möglich, eine Übereinkunft mit ihnen zu erzielen. Daher empfehle ich, die Spinnenberge und das übrige Stammesterritorium der Keke-Wanaq beim Marsch nach Süden zu umgehen und einen Kontakt zu vermeiden.«—Bericht des diplomatischen Gesandten Decius Paligan an Oderin du Metuant, 1042 BF
PDTrueTypeFont TXQSBB+GentiumBasic;false;false;4.0;16;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;Die Krieger der Keke-Wanaq verfügen über eine besondere Form der Rüstung, deren bloßer Anblick bereits ausreicht, um die Herzen ihrer Feinde mit Furcht zu
PDType0Font/PDCIDFontType2, PostScript name: HXFSHZ+GentiumBasic;false;false;5.0;16;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;erfüllen. Die Keke-Chitinrüstung wird aus Exoskeletten
PDTrueTypeFont TXQSBB+GentiumBasic;false;false;6.0;16;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;von Riesenspinnen gefertigt und die Form so gut wie möglich an den Leib der Trägerin angepasst, sodass sie
PDType0Font/PDCIDFontType2, PostScript name: HXFSHZ+GentiumBasic;false;false;7.0;16;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;mitunter wie eine Erweiterung des Körpers erscheint.
PDTrueTypeFont TXQSBB+GentiumBasic;false;false;8.0;16;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;Je nach Art der Spinne variiert die Farbe der Chitinpanzerung zwischen dunklen Brauntönen und einer kom-
PDType0Font/PDCIDFontType2, PostScript name: HXFSHZ+GentiumBasic;false;false;9.0;16;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;plett schwarzen Färbung. Legenden der Keke-Wanaq
PDTrueTypeFont TXQSBB+GentiumBasic;false;false;10.0;16;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;berichten von sehr seltenen, zauberkäftigen Exemplaren der Chitinrüstung, die es vermögen, ihre Trägerin gegen jede Art von Gift immun zu machen oder gar in
PDType0Font/PDCIDFontType2, PostScript name: HXFSHZ+GentiumBasic;false;false;11.0;16;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;eine echte Riesenspinne zu verwandeln.
