FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont LDDQLR+Andalus;false;false;1.0;18;-1.0;Rüstkammer_der_Dampfenden_Dschungel;1200;Die Rüstkammer
PDTrueTypeFont UBAYPZ+GentiumBasic-Bold;true;false;2.0;18;-1.0;Rüstkammer_der_Dampfenden_Dschungel;1000;Epharit-Rüstung (Gumijok-Mano)Komplexität komp (4 AP)ArtRüstungsschutzBelastung (Stufe)zusätzliche AbzügeGewichtPreisEpharit-Rüstung
PDTrueTypeFont TXQSBB+GentiumBasic;false;false;3.0;18;-1.0;Rüstkammer_der_Dampfenden_Dschungel;1000;63–18 Stn700 S
PDTrueTypeFont UBAYPZ+GentiumBasic-Bold;true;false;4.0;18;-1.0;Rüstkammer_der_Dampfenden_Dschungel;1000;Anmerkung
PDTrueTypeFont TXQSBB+GentiumBasic;false;false;5.0;18;-1.0;Rüstkammer_der_Dampfenden_Dschungel;1000;Die Epharit-Rüstung ist eine Variante der Plattenrüstung.
PDTrueTypeFont UBAYPZ+GentiumBasic-Bold;true;false;6.0;18;-1.0;Rüstkammer_der_Dampfenden_Dschungel;1000;Rüstungsvorteil
PDTrueTypeFont TXQSBB+GentiumBasic;false;false;7.0;18;-1.0;Rüstkammer_der_Dampfenden_Dschungel;1000;Die beiden GE-Teilproben bei
PDTrueTypeFont ZLEWZP+GentiumBasic-Italic;false;true;8.0;18;-1.0;Rüstkammer_der_Dampfenden_Dschungel;1000;Körperbeherrschung
PDTrueTypeFont TXQSBB+GentiumBasic;false;false;9.0;18;-1.0;Rüstkammer_der_Dampfenden_Dschungel;1000;sind beim Tragen einer Epharit-Rüstung nicht um die BE erschwert.
PDTrueTypeFont UBAYPZ+GentiumBasic-Bold;true;false;10.0;18;-1.0;Rüstkammer_der_Dampfenden_Dschungel;1000;Rüstungsnachteil
PDTrueTypeFont TXQSBB+GentiumBasic;false;false;11.0;18;-1.0;Rüstkammer_der_Dampfenden_Dschungel;1000;Immer, wenn der Träger einer Epharit-Rüstung TP erleidet, muss mit 1W6 gewürfelt werden. Bei einer 1 liegt der RS der getroffenen Stelle bei 0, bei 2 bei 4 und bei 3-6 liegt er bei 6.
