FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont UBAYPZ+GentiumBasic-Bold;true;false;56.0;23;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;Geisteraxt (Nipakau-Nigoma) Komplexität primNameKampftechnikTPL+SAT/PA-ModRWGewichtLängePreisNipakau-Axt
PDTrueTypeFont TXQSBB+GentiumBasic;false;false;57.0;23;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;Hiebwaffen1W6+3KK 140/0mittel1 Stn60 HF140 S
PDTrueTypeFont UBAYPZ+GentiumBasic-Bold;true;false;58.0;23;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;Waffenvorteil
PDTrueTypeFont TXQSBB+GentiumBasic;false;false;59.0;23;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;Bei einem Kritischen Treffer erhöhen sich die TP nach dem Verdoppeln nochmals um +2 TP.
PDTrueTypeFont UBAYPZ+GentiumBasic-Bold;true;false;60.0;23;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;Waffennachteil
PDTrueTypeFont TXQSBB+GentiumBasic;false;false;61.0;23;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;Rüstungen mit RS 4 oder höher erhalten gegenüber der Nipakau-Axt einen Bonus von +1 auf RS.
PDTrueTypeFont ZLEWZP+GentiumBasic-Italic;false;true;62.0;23;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;»Ich habe mal einen Abenteurer getroffen, der führte ein beseeltes Schwert. Das hatte aber einen ganz eigenen Willen, und die beiden haben so überhaupt nicht harmoniert. Dieser Geisterkrieger hingegen ...«—Geron Waisenmacher, Doppelsöldner»Faszinierend! Seine Waffe scheint fast ein Eigenleben zu führen. Ähnlich wie ein beseeltes Artefakt. Mit so etwas habe ich mich mal bei einer Fortbildung in Khunchom beschäftigt.«—Mirhiban al’Orhima, tulamidische Feuermagierin
PDTrueTypeFont LDDQLR+Andalus;false;false;1.0;24;-1.0;Rüstkammer_der_dampfenden_Dschungel;1200;Die Rüstkammer
PDTrueTypeFont UBAYPZ+GentiumBasic-Bold;true;false;2.0;24;-1.0;Rüstkammer_der_dampfenden_Dschungel;1300;Knochenkeule
PDTrueTypeFont ZLEWZP+GentiumBasic-Italic;false;true;3.0;24;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;»Deine Knochenkeule wählst du selbst, bevor du in der Geisterwelt vor Kamaluq trittst und dich seinem prüfenden Blick stellst. Doch die Wahl, die du triffst, ist bereits Teil der Prüfung. An ihr nämlich wirst du gemessen. Greife zu dem Knochen jenes Tieres, zu dessen Nipakau du die engste Nähe spürst. Dein Tapam ist unstet, wie der Nipakau eines Affen. Vielleicht wäre für dich das Gebein einer Greifkatze besser geeignet ...«— Ketaqua, Schamane der Keke-Wanaq zu seiner Schülerin Cankuna, neuzeitlich
