FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont LDDQLR+Andalus;false;false;1.0;8;-1.0;Rüstkammer_der_dampfenden_Dschungel;1200;Die Rüstkammer
PDTrueTypeFont UBAYPZ+GentiumBasic-Bold;true;false;2.0;8;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;Baccanaq (Pantherklaue)Komplexität einfNameKampftechnikTPL+SAT/PA-ModRWGewichtLängePreisBaccanaq
PDTrueTypeFont TXQSBB+GentiumBasic;false;false;3.0;8;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;Raufen1W6+3GE/KK 140/–1kurz0,6 Stn30 HF80 S
PDTrueTypeFont UBAYPZ+GentiumBasic-Bold;true;false;4.0;8;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;Waffenvorteil
PDTrueTypeFont TXQSBB+GentiumBasic;false;false;5.0;8;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;Wird ein mit dem
PDTrueTypeFont ZLEWZP+GentiumBasic-Italic;false;true;6.0;8;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;Baccanaq
PDTrueTypeFont TXQSBB+GentiumBasic;false;false;7.0;8;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;ausgeführter Angriff pariert, erhält der Träger nicht, wie beim Raufen üblich, den halben Waffenschaden. Bei Angriffen mit dem
PDTrueTypeFont ZLEWZP+GentiumBasic-Italic;false;true;8.0;8;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;Baccanaq
PDTrueTypeFont TXQSBB+GentiumBasic;false;false;9.0;8;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;muss man also die Paraden bewaffneter Gegner nicht fürchten, allerdings immer noch ihre Angriffe.
PDTrueTypeFont UBAYPZ+GentiumBasic-Bold;true;false;10.0;8;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;Waffennachteil
PDTrueTypeFont TXQSBB+GentiumBasic;false;false;11.0;8;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;Unterläuft dem Träger ein bestätigter Patzer, gilt die Waffe als zerstört. Dies gilt zusätzlich zur normalen Patzerwirkung.
PDTrueTypeFont UBAYPZ+GentiumBasic-Bold;true;false;12.0;8;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;Blasrohr (Chabala)Komplexität primNameKampftechnikTPLZRWMunitionstypGewichtLängePreisBlasrohr (kurz)
PDTrueTypeFont TXQSBB+GentiumBasic;false;false;13.0;8;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;Blasrohre1W3+12 Aktionen2/10/15Blasrohrpfeile0,3 Stn40 HF40 S
PDTrueTypeFont UBAYPZ+GentiumBasic-Bold;true;false;14.0;8;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;Anmerkung
PDTrueTypeFont TXQSBB+GentiumBasic;false;false;15.0;8;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;Ein vergifteter Blasrohrpfeil sorgt bei 1+ SP für eine Vergiftung beim Opfer.
PDTrueTypeFont UBAYPZ+GentiumBasic-Bold;true;false;16.0;8;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;Waffenvorteil
PDTrueTypeFont TXQSBB+GentiumBasic;false;false;17.0;8;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;Schüsse auf die Distanz
PDTrueTypeFont ZLEWZP+GentiumBasic-Italic;false;true;18.0;8;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;weit
PDTrueTypeFont TXQSBB+GentiumBasic;false;false;19.0;8;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;sind nicht durch die Reichweite erschwert.
