FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont UBAYPZ+GentiumBasic-Bold;true;false;1.0;19;-1.0;Rüstkammer_der_dampfenden_Dschungel;1300;Der Epharit-Schild
PDTrueTypeFont ZLEWZP+GentiumBasic-Italic;false;true;2.0;19;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;»Es ist unglaublich! Eine Art Armschild, gefertigt aus einem fremdartigen blaugrauschwarzen Metall. Die Kanten sind scharf wie die Klingen eines Barbiers. Ich habe mir bei der Untersuchung prompt in den Finger geschnitten. All dies deutet auf Fähigkeiten in der Metallverarbeitung und Schmiedekunst hin, wie ich sie bisher bei keinem Stamm des Dschungels gesehen habe. Aber wer in Hesindes Namen hat es dann erschaffen?«—aus dem Tagebuch der Yalsinia ya Tarcallo, Völkerkundlerin der Universität von Methumis, 1043 BF
PDTrueTypeFont TXQSBB+GentiumBasic;false;false;3.0;19;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;Der Epharit-Schild der Tapo-Tikaute ist
PDType0Font/PDCIDFontType2, PostScript name: HXFSHZ+GentiumBasic;false;false;4.0;19;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;gleichermaßen Schild und Waffe. Es han
PDTrueTypeFont TXQSBB+GentiumBasic;false;false;5.0;19;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;-delt sich um eine langgezogene, dreieckige Schiene aus bläulich schimmerndem Epharit, die mit Lederbändern an den Arm
PDType0Font/PDCIDFontType2, PostScript name: HXFSHZ+GentiumBasic;false;false;6.0;19;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;geschnallt wird. Die Kanten an der schma
PDTrueTypeFont TXQSBB+GentiumBasic;false;false;7.0;19;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;-len Spitze sind scharf geschliffen, sodass der Schild nicht nur verwendet werden kann, um Hiebe zu parieren und abzulenken, sondern
PDType0Font/PDCIDFontType2, PostScript name: HXFSHZ+GentiumBasic;false;false;8.0;19;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;auch zum Angriff. Mit Schlägen und Stößen ver
PDTrueTypeFont TXQSBB+GentiumBasic;false;false;9.0;19;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;-mag ein geübter Träger gefährliche Schnitte zu
PDType0Font/PDCIDFontType2, PostScript name: HXFSHZ+GentiumBasic;false;false;10.0;19;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;verursachen. Die Handhabung dieser speziellem Waffe ist allerdings alles andere als einfach. Während die Krie
PDTrueTypeFont TXQSBB+GentiumBasic;false;false;11.0;19;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;-ger der Tapo-Tikaute schon von kleinauf mit dem Epharit-Schild ausgebildet werden, benötigt jemand, der dies nicht gewohnt ist, einige Zeit, um sich an Gewicht und
PDType0Font/PDCIDFontType2, PostScript name: HXFSHZ+GentiumBasic;false;false;12.0;19;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;Form zu gewöhnen.
PDTrueTypeFont UBAYPZ+GentiumBasic-Bold;true;false;13.0;19;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;Epharit-Schild (Gumijok-Nokri)Komplexität komp (3 AP)NameKampftechnikTPL+SAT/PA-ModRWGewichtLängePreisEpharit-Schild
PDTrueTypeFont TXQSBB+GentiumBasic;false;false;14.0;19;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;Schilde1W6+3KK 16–4/+2kurz4 Stn–160 S
PDTrueTypeFont UBAYPZ+GentiumBasic-Bold;true;false;15.0;19;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;Anmerkung
PDTrueTypeFont TXQSBB+GentiumBasic;false;false;16.0;19;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;mittlerer Schild, 35 Strukturpunkte
PDTrueTypeFont UBAYPZ+GentiumBasic-Bold;true;false;17.0;19;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;Waffenvorteil
PDTrueTypeFont TXQSBB+GentiumBasic;false;false;18.0;19;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;Die Manöver
PDTrueTypeFont ZLEWZP+GentiumBasic-Italic;false;true;19.0;19;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;Schildstoß
PDTrueTypeFont TXQSBB+GentiumBasic;false;false;20.0;19;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;und
PDTrueTypeFont ZLEWZP+GentiumBasic-Italic;false;true;21.0;19;-1.0;Rüstkammer_der_dampfenden_Dschungel;1000;Schildschlag
