FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont KYDWUY+Andalus;false;false;1.0;89;-1.0;Rüstkammer_der_Siebenwindküste;1200;Rüstkammer der Siebenwindküste
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;2.0;89;-1.0;Rüstkammer_der_Siebenwindküste;1000;Der Windhager Sichelspeer ist der urtümliche Vorläufer des Cruaghairm und stellt eine Mischung aus Sense, Hirtenhaken und Spieß dar, mit dem die Bergbauern des Windhag ihre Schafe fangen und verteidigen können. Für gewöhnlich weist der Sichelspeer eine leicht gebogene, einschneidige Klinge an der Spitze auf, an der sich
PDType0Font/PDCIDFontType2, PostScript name: FTQSCI+GentiumBasic;false;false;3.0;89;-1.0;Rüstkammer_der_Siebenwindküste;1000;ein großer, stumpfer Haken befindet. Das untere Ende
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;4.0;89;-1.0;Rüstkammer_der_Siebenwindküste;1000;ist als Gegengewicht meist mit einer einfachen Spitze versehen, mit der man zustechen kann, die aber auch Halt in unwegsamem Terrain bieten kann. Der Spealleagh ist gut geeignet, um Gegner zu bekämpfen, die höher stehen als man selbst, oder sie sich sogar in
PDType0Font/PDCIDFontType2, PostScript name: FTQSCI+GentiumBasic;false;false;5.0;89;-1.0;Rüstkammer_der_Siebenwindküste;1000;der Luft befinden, wie etwa Harpyien.
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;6.0;89;-1.0;Rüstkammer_der_Siebenwindküste;1000;Die meisten Sichelspeere sind reine Gebrauchsgegenstände und dementsprechend nur wenig verziert.
PDTrueTypeFont VZQKSC+GentiumBasic-Italic;false;true;7.0;89;-1.0;Rüstkammer_der_Siebenwindküste;1000;»Endlich eine effektive Waffe gegen Harpyien! Ich bin es leid, andauernd entführt zu werden.«—Carolan Calavanti, Vinsalter Streuner»Das ist wirklich ein ganz formidables Werkzeug, kein schnödes Mordinstrument! Mit Harpyien kann man durchaus verhandeln«—Bruder Hilbert, Perainegeweihter»Phantastisch! Nicht nur, dass ich ausnehmend gut aussehe in so einem Harnisch, er schränkt mich außerdem kaum in der Bewegung ein. Und da er noch dazu nicht so arg aufträgt, kann ich sicher auch noch ein feines Hemd dazu tragen und problemlos durch ein Fenster steigen, wenn es sein muss.«—Carolan Calavanti, Vinsalter Streuner»Solide gearbeitet, aber ich würde niemals freiwillig auf Schulter- und Oberschenkelpanzerung verzichten. Ich kann mir auch nicht vorstellen, dass der groß gegen Beschuss schützt, dafür ist das Leder zu dünn.«—Geron Waisenmacher, Doppelsöldner»Aber hübsch ist er schon, wenn auch nicht gerade preiswert. Andererseits, wofür brauchte ich denn bitte eine Rüstung? Als Kratzbaum für Alwinja hat Carolans Exemplar jedenfalls nicht sehr lange getaugt ...«—Rovena aus dem Überwals, bornische Katzenhexe
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;8.0;89;-1.0;Rüstkammer_der_Siebenwindküste;1000;Manche Exemplare haben einen besonders weiten Haken, um effektiv Schafe oder Ziegen einfangen zu können, andere haben einen kurzen Haken, der eher als Tritthilfe oder zur Sicherung in unebenem Terrain dient.
PDTrueTypeFont KYDWUY+Andalus;false;false;9.0;89;-1.0;Rüstkammer_der_Siebenwindküste;1800;Rüstzeug
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;10.0;89;-1.0;Rüstkammer_der_Siebenwindküste;1300;Der Havener Lederharnisch
PDTrueTypeFont VZQKSC+GentiumBasic-Italic;false;true;11.0;89;-1.0;Rüstkammer_der_Siebenwindküste;1000;»Nicht allein der Schutz einer Rüstung ist entscheidend, es kommt auch darauf an, dass sie dich nicht zu einem Kampfstil zwingt, der dir nicht zu eigen ist. Der Havener Lederharnisch ist perfekt darauf zugeschnitten, wie wir kämpfen. Er behindert dich nicht, wenn du schnell zur Seite springen musst, oder wenn du mit Buckler und Havener Messer einen Kreuzblock ausführen willst. Mit einer solchen Rüstung bleibst du beweglich und kannst Hiebe und Stiche ausführen, so wie wir es üben. Das Ganze hat aber noch einen weiteren, ganz entscheidenden Vorteil: Das Albernische Raufen lehrt dich, wie man an Deck eines Schiffes kämpft. Solltest du einmal über Bord gehen, dann ersäufst du nicht gleich wie in einem Kettenhemd.«—Schwertmeisterin Scanlail ni Uinin, zu einem Schüler, 1036 BF
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;12.0;89;-1.0;Rüstkammer_der_Siebenwindküste;1000;Der Havener Lederharnisch ist eine Variante der Lederrüstung, die den Torso des Trägers schützt. Er wird aus gekochten und dann in Wachs gehärteten Lederteilen
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;13.0;89;-1.0;Rüstkammer_der_Siebenwindküste;900;Windhager
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;14.0;89;-1.0;Rüstkammer_der_Siebenwindküste;1000;Sichelspeer
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;15.0;89;-1.0;Rüstkammer_der_Siebenwindküste;900;(Spealleagh)
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;16.0;89;-1.0;Rüstkammer_der_Siebenwindküste;1000;Komplexität
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;17.0;89;-1.0;Rüstkammer_der_Siebenwindküste;1000;einf
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;18.0;89;-1.0;Rüstkammer_der_Siebenwindküste;900;NameKampftechnikTPL+S
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;19.0;89;-1.0;Rüstkammer_der_Siebenwindküste;800;AT/PA-Mod
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;20.0;89;-1.0;Rüstkammer_der_Siebenwindküste;900;RWGewichtLängePreis
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;21.0;89;-1.0;Rüstkammer_der_Siebenwindküste;1000;Windhager Sichelspeer (Spealleagh)
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;22.0;89;-1.0;Rüstkammer_der_Siebenwindküste;1000;(2H, i)Stangenwaffen1W6+4GE/KK 150/+1mittel2 Stn150 HF200 S
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;23.0;89;-1.0;Rüstkammer_der_Siebenwindküste;1000;Waffenvorteil
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;24.0;89;-1.0;Rüstkammer_der_Siebenwindküste;1000;Bei Einsatz des Windhager Sichelspeers sinkt die Erschwernis für weitere Paraden in der gleichen Kampfrunde (siehe
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;25.0;89;-1.0;Rüstkammer_der_Siebenwindküste;1000;Regelwerk
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;26.0;89;-1.0;Rüstkammer_der_Siebenwindküste;1000;Seite
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;27.0;89;-1.0;Rüstkammer_der_Siebenwindküste;1000;232
PDType0Font/PDCIDFontType2, PostScript name: QVCNDR+GentiumBasic;false;false;28.0;89;-1.0;Rüstkammer_der_Siebenwindküste;1000;) um insgesamt 1. Gegen fliegende Gegner erhält der Träger eines Wind
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;29.0;89;-1.0;Rüstkammer_der_Siebenwindküste;1000;-
PDType0Font/PDCIDFontType2, PostScript name: QVCNDR+GentiumBasic;false;false;30.0;89;-1.0;Rüstkammer_der_Siebenwindküste;1000;hager Sichelspeers einen Bonus von +1 AT und +1 PA. Gegner, die in vorteilhafter Position aufgrund von Höhen
