FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont KYDWUY+Andalus;false;false;1.0;76;-1.0;Rüstkammer_der_Siebenwindküste;3100;DIE RÜSTKAMMER
PDTrueTypeFont VZQKSC+GentiumBasic-Italic;false;true;2.0;76;-1.0;Rüstkammer_der_Siebenwindküste;1000;»Die Bauernwehr dient dem Schutz der einfachen Leute. Wenn man sie zerhauen hat, geht man damit einfach ins nächste Dorf und wirft es dem Schmied in die Esse. Das Beste ist nämlich: So gut wie jeder kann sie reparieren!«—Bruder Hilbert, Perainegeweihter
PDTrueTypeFont KYDWUY+Andalus;false;false;3.0;76;-1.0;Rüstkammer_der_Siebenwindküste;1800;Waffen
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;4.0;76;-1.0;Rüstkammer_der_Siebenwindküste;1300;Die Albernische Bauernwehr
PDTrueTypeFont VZQKSC+GentiumBasic-Italic;false;true;5.0;76;-1.0;Rüstkammer_der_Siebenwindküste;900;»Damit hatten diese Waffenknechte nicht gerechnet. Als sie näherkamen, da zogen wir unsere Bauernwehren, echte Nahkampfwaffen, die beinahe jeder Schmied an der Siebenwindküste zu schmieden versteht, solange er genug Eisen dafür zur Verfügung hat. Ohne viel Brimborium werden diese Klingen gemacht, aus einem Stück Erz, und jeder gute Freie weiß eine einzusetzen, denn das ist unser gutes Recht. Die haben doch wirklich geglaubt, dass wir ihnen nichts entgegenzusetzen hätten, ihnen und ihren albernen Spießen. Aber wir sind freie Albernier, die sich von nichts und niemandem einschüchtern lassen – schon gar nicht von Nordmärker Landwehr! Wir haben sie dann einfach niedergemäht, wie echte Bauern das Gras auf dem Feld!«—ein ungenanntes Mitglied der Bredenhager Landwehr, 1034 BF
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;6.0;76;-1.0;Rüstkammer_der_Siebenwindküste;1000;Jeder Freie in Albernia, ob Bauer, Handwerker oder Fischer, besitzt das Recht, eine kurze Klinge zu tragen. Allerdings sind echte Schwerter oder fein verzierte Sä-
PDType0Font/PDCIDFontType2, PostScript name: FTQSCI+GentiumBasic;false;false;7.0;76;-1.0;Rüstkammer_der_Siebenwindküste;1000;bel für die einfache Landbevölkerung häufig zu teuer.
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;8.0;76;-1.0;Rüstkammer_der_Siebenwindküste;1000;Daher greifen jene, die sich dem Schwertzug eines Adligen anschließen oder Heim und Hof verteidigen wol-
PDType0Font/PDCIDFontType2, PostScript name: FTQSCI+GentiumBasic;false;false;9.0;76;-1.0;Rüstkammer_der_Siebenwindküste;1000;len, häufig zur sogenannten Bauernwehr. Auch wenn
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;10.0;76;-1.0;Rüstkammer_der_Siebenwindküste;1000;der Adel diese Waffe nicht immer gerne sieht, wird sie doch voller Stolz geführt und hat so manche Feldschlacht entschieden.Beinahe jeder Hufschmied ist in der Lage, eine Bauernwehr zu schmieden, weil er bei der Herstellung fast nur auf die Ausgestaltung der Klinge achten muss, die Waffen meist sehr schmucklos daherkommen und keine anderen Materialien bei ihrer Herstellung nötig sind. Für gewöhnlich besitzt die Albernische Bauernwehr eine grob geschmiedete Klinge, deren hinteres Ende einfach in ein Oval ausgeschmiedet wird, um sie zu greifen. Selten sind die Klingen zur Gänze scharf ausgeschliffen, sodass man sie auch mit einer zweiten Hand greifen könnte. Sie laufen aber spitz zu, um üble Wunden verursachen zu können. Die meisten Kämpfer mit der Bauernwehr haben nur wenig Erfahrung an der Waffe, und setzen daher gerne Techniken aus dem albernischen Raufen ein.
PDTrueTypeFont KYDWUY+Andalus;false;false;1.0;77;-1.0;Rüstkammer_der_Siebenwindküste;1200;Rüstkammer der Siebenwindküste
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;2.0;77;-1.0;Rüstkammer_der_Siebenwindküste;1000;Albernische Bauernwehr (Cedruath)Komplexität
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;3.0;77;-1.0;Rüstkammer_der_Siebenwindküste;1000;prim
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;4.0;77;-1.0;Rüstkammer_der_Siebenwindküste;900;NameKampftechnikTPL+SAT/PA-ModRWGewichtLängePreis
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;5.0;77;-1.0;Rüstkammer_der_Siebenwindküste;1000;Albernische Bauernwehr (Cedruath)
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;6.0;77;-1.0;Rüstkammer_der_Siebenwindküste;1000;Schwerter1W6+3GE 15 / KK 140/–2mittel1 Stn65 HF80 S
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;7.0;77;-1.0;Rüstkammer_der_Siebenwindküste;1000;Waffenvorteil
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;8.0;77;-1.0;Rüstkammer_der_Siebenwindküste;1000;Bei dem Manöver
PDTrueTypeFont VZQKSC+GentiumBasic-Italic;false;true;9.0;77;-1.0;Rüstkammer_der_Siebenwindküste;1000;Wuchtschlag
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;10.0;77;-1.0;Rüstkammer_der_Siebenwindküste;1000;richtet die Albernische Bauernwehr +1 TP an.
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;11.0;77;-1.0;Rüstkammer_der_Siebenwindküste;1000;Waffennachteil
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;12.0;77;-1.0;Rüstkammer_der_Siebenwindküste;1000;Unterläuft dem Träger der Albernischen Bauernwehr ein bestätigter Patzer, verliert er seine Waffe. Dies geschieht zusätzlich zu den üblichen Auswirkungen eines Patzers, solange dessen Resultat nicht das Verlieren der Waffe ist. Nach einem mindestens 5 KR geführten Kampf muss der Träger der Waffe eine Probe auf
PDTrueTypeFont VZQKSC+GentiumBasic-Italic;false;true;13.0;77;-1.0;Rüstkammer_der_Siebenwindküste;1000;Selbstbeherrschung (Schmerzen ignorieren)
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;14.0;77;-1.0;Rüstkammer_der_Siebenwindküste;1000;bestehen, ansonsten erleidet er 1 Stufe
PDTrueTypeFont VZQKSC+GentiumBasic-Italic;false;true;15.0;77;-1.0;Rüstkammer_der_Siebenwindküste;1000;Schmerz
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;16.0;77;-1.0;Rüstkammer_der_Siebenwindküste;1000;.
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;17.0;77;-1.0;Rüstkammer_der_Siebenwindküste;1000;Albernischer AnderthalbhänderKomplexität
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;18.0;77;-1.0;Rüstkammer_der_Siebenwindküste;1000;einf
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;19.0;77;-1.0;Rüstkammer_der_Siebenwindküste;900;NameKampftechnikTPL+S
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;20.0;77;-1.0;Rüstkammer_der_Siebenwindküste;800;AT/PA-Mod
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;21.0;77;-1.0;Rüstkammer_der_Siebenwindküste;900;RWGewichtLängePreis
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;22.0;77;-1.0;Rüstkammer_der_Siebenwindküste;1000;Albernischer Anderthalbhänder
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;23.0;77;-1.0;Rüstkammer_der_Siebenwindküste;1000;(2H)Zweihandschwerter1W6+6KK 140/0mittel2,25 Stn140 HF360 S
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;24.0;77;-1.0;Rüstkammer_der_Siebenwindküste;1000;Waffenvorteil
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;25.0;77;-1.0;Rüstkammer_der_Siebenwindküste;1000;In beengter Umgebung erleidet der Träger der Waffe nur Abzüge von –1 auf AT und PA (statt –4 auf AT und PA).
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;26.0;77;-1.0;Rüstkammer_der_Siebenwindküste;1000;Waffennachteil
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;27.0;77;-1.0;Rüstkammer_der_Siebenwindküste;1000;Das Manöver
PDTrueTypeFont VZQKSC+GentiumBasic-Italic;false;true;28.0;77;-1.0;Rüstkammer_der_Siebenwindküste;1000;Finte
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;29.0;77;-1.0;Rüstkammer_der_Siebenwindküste;1000;ist um zusätzlich –1 erschwert.
PDType0Font/PDCIDFontType2, PostScript name: FTQSCI+GentiumBasic;false;false;30.0;77;-1.0;Rüstkammer_der_Siebenwindküste;1000;Der Stahl des Grifflochs wird häufig mit Streifen aus Le
