FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;1.0;92;-1.0;Rüstkammer_der_Siebenwindküste;1000;An der Siebenwindküste kennt man besonders viele Werkzeuge, die dazu dienen, Schiffe zu bauen oder instand zu halten.
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;2.0;92;-1.0;Rüstkammer_der_Siebenwindküste;1000;Äxte
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;3.0;92;-1.0;Rüstkammer_der_Siebenwindküste;1000;,
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;4.0;92;-1.0;Rüstkammer_der_Siebenwindküste;1000;Sägen, Zugmesser, Hobel, Bohrer
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;5.0;92;-1.0;Rüstkammer_der_Siebenwindküste;1000;und
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;6.0;92;-1.0;Rüstkammer_der_Siebenwindküste;1000;Schnitzwerkzeuge
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;7.0;92;-1.0;Rüstkammer_der_Siebenwindküste;1000;, vom Beitel bis zum Stemmeisen,
PDType0Font/PDCIDFontType2, PostScript name: FTQSCI+GentiumBasic;false;false;8.0;92;-1.0;Rüstkammer_der_Siebenwindküste;1000;finden sich in so gut wie jedem Dorf. Ebenso werden bei
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;9.0;92;-1.0;Rüstkammer_der_Siebenwindküste;1000;-nahe überall
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;10.0;92;-1.0;Rüstkammer_der_Siebenwindküste;1000;Seile
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;11.0;92;-1.0;Rüstkammer_der_Siebenwindküste;1000;gedreht,
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;12.0;92;-1.0;Rüstkammer_der_Siebenwindküste;1000;Schiffstampen
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;13.0;92;-1.0;Rüstkammer_der_Siebenwindküste;1000;, wasserfeste
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;14.0;92;-1.0;Rüstkammer_der_Siebenwindküste;1000;Flößerseile
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;15.0;92;-1.0;Rüstkammer_der_Siebenwindküste;1000;, reißfeste
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;16.0;92;-1.0;Rüstkammer_der_Siebenwindküste;1000;Segelleinen
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;17.0;92;-1.0;Rüstkammer_der_Siebenwindküste;1000;und
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;18.0;92;-1.0;Rüstkammer_der_Siebenwindküste;1000;Schoten
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;19.0;92;-1.0;Rüstkammer_der_Siebenwindküste;1000;, mit denen die Segel an den Masten, Wanten und Spieren befestigt werden. Kunstvoll werden auch die anderen Dinge gefertigt, die man für den Betrieb eines Segelschiffes braucht, wie
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;20.0;92;-1.0;Rüstkammer_der_Siebenwindküste;1000;Anker
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;21.0;92;-1.0;Rüstkammer_der_Siebenwindküste;1000;,
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;22.0;92;-1.0;Rüstkammer_der_Siebenwindküste;1000;Winschen
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;23.0;92;-1.0;Rüstkammer_der_Siebenwindküste;1000;oder
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;24.0;92;-1.0;Rüstkammer_der_Siebenwindküste;1000;Bojen
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;25.0;92;-1.0;Rüstkammer_der_Siebenwindküste;1000;.Die dreieckigen
PDTrueTypeFont HWUEEE+GentiumBasic-Bold;true;false;26.0;92;-1.0;Rüstkammer_der_Siebenwindküste;1000;Havenasegel
PDTrueTypeFont DQRGAM+GentiumBasic;false;false;27.0;92;-1.0;Rüstkammer_der_Siebenwindküste;1000;sind weltberühmt, und so kann man die moderne Havener Takelung bei zahlreichen Flotten auf allen aventurischen Meeren bewundern. Die Segelmacher benutzen dazu einen Schnürboden, wasserfestes
