FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont QEFAWN+GentiumBasic-Bold;true;false;44.0;35;-1.0;Rüstkammer_der_Sonnenküste;900;WerkzeugeGewichtPreisKomplexitätDrôlina
PDTrueTypeFont NXWIGT+GentiumBasic;false;false;45.0;35;-1.0;Rüstkammer_der_Sonnenküste;900;0,5 Stn250 Skomp (2 AP)
PDTrueTypeFont QEFAWN+GentiumBasic-Bold;true;false;46.0;35;-1.0;Rüstkammer_der_Sonnenküste;900;Zyklopäischer Salzstreuer
PDTrueTypeFont NXWIGT+GentiumBasic;false;false;47.0;35;-1.0;Rüstkammer_der_Sonnenküste;900;0,15 Stn3 Seinf
PDTrueTypeFont QEFAWN+GentiumBasic-Bold;true;false;48.0;35;-1.0;Rüstkammer_der_Sonnenküste;900;Besondere GegenständeGewichtPreisKomplexitätOpferdolch
PDTrueTypeFont NXWIGT+GentiumBasic;false;false;49.0;35;-1.0;Rüstkammer_der_Sonnenküste;900;0,5 Stn50 Skomp (2 AP)
PDTrueTypeFont QEFAWN+GentiumBasic-Bold;true;false;50.0;35;-1.0;Rüstkammer_der_Sonnenküste;900;Purpurne Gewänder
PDTrueTypeFont NXWIGT+GentiumBasic;false;false;51.0;35;-1.0;Rüstkammer_der_Sonnenküste;900;3 Stn130 Seinf
PDTrueTypeFont QEFAWN+GentiumBasic-Bold;true;false;52.0;35;-1.0;Rüstkammer_der_Sonnenküste;900;KleidungGewichtPreisKomplexitätBallkleid
PDTrueTypeFont NXWIGT+GentiumBasic;false;false;53.0;35;-1.0;Rüstkammer_der_Sonnenküste;900;1,5 Stn350 Seinf
PDTrueTypeFont QEFAWN+GentiumBasic-Bold;true;false;54.0;35;-1.0;Rüstkammer_der_Sonnenküste;900;Hemd
PDTrueTypeFont NXWIGT+GentiumBasic;false;false;55.0;35;-1.0;Rüstkammer_der_Sonnenküste;900;0,5 Stn3 Sprim
PDTrueTypeFont QEFAWN+GentiumBasic-Bold;true;false;56.0;35;-1.0;Rüstkammer_der_Sonnenküste;900;Hose
PDTrueTypeFont NXWIGT+GentiumBasic;false;false;57.0;35;-1.0;Rüstkammer_der_Sonnenküste;900;0,75 Stn3 Sprim
