FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont QEFAWN+GentiumBasic-Bold;true;false;15.0;16;-1.0;Rüstkammer_der_Sonnenküste;1000;BronzeharnischKomplexität einfArtRüstungsschutzBelastung (Stufe)zusätzliche AbzügeGewichtPreisBronzeharnisch
PDTrueTypeFont NXWIGT+GentiumBasic;false;false;16.0;16;-1.0;Rüstkammer_der_Sonnenküste;1000;63–12 Stein250 S
PDTrueTypeFont QEFAWN+GentiumBasic-Bold;true;false;17.0;16;-1.0;Rüstkammer_der_Sonnenküste;1000;Anmerkung
PDTrueTypeFont NXWIGT+GentiumBasic;false;false;18.0;16;-1.0;Rüstkammer_der_Sonnenküste;1000;Der Bronzeharnisch ist eine Variante der Plattenrüstung.
PDTrueTypeFont QEFAWN+GentiumBasic-Bold;true;false;19.0;16;-1.0;Rüstkammer_der_Sonnenküste;1000;Rüstungsvorteil
PDTrueTypeFont NXWIGT+GentiumBasic;false;false;20.0;16;-1.0;Rüstkammer_der_Sonnenküste;1000;Gegen Waffen der Kampftechniken
PDTrueTypeFont MYHCSV+GentiumBasic-Italic;false;true;21.0;16;-1.0;Rüstkammer_der_Sonnenküste;1000;Dolche
PDTrueTypeFont NXWIGT+GentiumBasic;false;false;22.0;16;-1.0;Rüstkammer_der_Sonnenküste;1000;und
PDTrueTypeFont MYHCSV+GentiumBasic-Italic;false;true;23.0;16;-1.0;Rüstkammer_der_Sonnenküste;1000;Fechtwaffen
PDTrueTypeFont NXWIGT+GentiumBasic;false;false;24.0;16;-1.0;Rüstkammer_der_Sonnenküste;1000;schützt der Bronzeharnisch mit RS 7.
PDTrueTypeFont QEFAWN+GentiumBasic-Bold;true;false;25.0;16;-1.0;Rüstkammer_der_Sonnenküste;1000;Rüstungsnachteil
PDTrueTypeFont NXWIGT+GentiumBasic;false;false;26.0;16;-1.0;Rüstkammer_der_Sonnenküste;1000;Gegen Waffen der Kampftechniken
PDTrueTypeFont MYHCSV+GentiumBasic-Italic;false;true;27.0;16;-1.0;Rüstkammer_der_Sonnenküste;1000;Hiebwaffen
PDTrueTypeFont NXWIGT+GentiumBasic;false;false;28.0;16;-1.0;Rüstkammer_der_Sonnenküste;1000;,
PDTrueTypeFont MYHCSV+GentiumBasic-Italic;false;true;29.0;16;-1.0;Rüstkammer_der_Sonnenküste;1000;Kettenwaffen
PDTrueTypeFont NXWIGT+GentiumBasic;false;false;30.0;16;-1.0;Rüstkammer_der_Sonnenküste;1000;und
PDTrueTypeFont MYHCSV+GentiumBasic-Italic;false;true;31.0;16;-1.0;Rüstkammer_der_Sonnenküste;1000;Zweihandhiebwaffen
PDTrueTypeFont NXWIGT+GentiumBasic;false;false;32.0;16;-1.0;Rüstkammer_der_Sonnenküste;1000;schützt der Bronzeharnisch nur mit RS 3. Proben auf
PDTrueTypeFont MYHCSV+GentiumBasic-Italic;false;true;33.0;16;-1.0;Rüstkammer_der_Sonnenküste;1000;Körperbeherrschung (Kampfmanöver)
