FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont CWTEDP+Andalus;false;false;1.0;20;-1.0;Rüstkammer_der_Sonnenküste;1200;Die Rüstkammer
PDTrueTypeFont QEFAWN+GentiumBasic-Bold;true;false;2.0;20;-1.0;Rüstkammer_der_Sonnenküste;1300;Ay’Halam al’Rhondrachai
PDTrueTypeFont MYHCSV+GentiumBasic-Italic;false;true;3.0;20;-1.0;Rüstkammer_der_Sonnenküste;1000;»Verwechselt dieses Schwert, das man ebenfalls als ›Löwinnenschwert‹ bezeichnet, nicht mit den Löwinnenschwertern der Gründer der Theaterritter. Auf diesem Löwinnenschwert liegt ein anderer, genauso ruhmreicher Segen. Die Heilige Thalionmel erhielt es bei ihrer Weihe, und somit wurde der tulamidische Name dieses Schwertes, ›Der Stahl, der Rondras Ehre schützt‹, auch zu Thalionmels Namen<br> und sie machte ihm auf der Chababbrücke alle Ehre.«—Unterweisung von Novizen der Rondrakirche, Neetha, neuzeitlich
PDTrueTypeFont NXWIGT+GentiumBasic;false;false;4.0;20;-1.0;Rüstkammer_der_Sonnenküste;1000;Das von Zyklopen geschmiedte Löwinnenschwert
PDTrueTypeFont MYHCSV+GentiumBasic-Italic;false;true;5.0;20;-1.0;Rüstkammer_der_Sonnenküste;1000;Ay’Halam al’Rhon dra chai
PDTrueTypeFont NXWIGT+GentiumBasic;false;false;6.0;20;-1.0;Rüstkammer_der_Sonnenküste;1000;(tul.: Der Stahl, der Rondras Ehre schützt) wurde von der Heiligen Thalionmel von Brelak geführt. Der Zweihänder gilt durch die Taten, die mit ihm vollbracht wurden, als heilig, auch wenn keine rituelle Weihe überliefert ist. Mit dem Schwert in der Hand stoppte die Heilige ein Heer von Novadis auf der Chababbrücke vor Neetha. Dabei ging es in den Fluten des Flusses verloren und wurde erst ein Vierteljahrhundert später geborgen. Inzwischen wird es im Neethaner Rondratempel verwahrt.Doch eine Klinge will geführt werden, und so kann das Schwert für die Verteidigung der Zwölf oder epische Questen in ihrem Namen verliehen werden. Wem diese Ehre zuteilwird, der gehört zu den größten Helden der Sonnenküste und kämpft mit dem Segen der Heiligen.
PDTrueTypeFont CWTEDP+Andalus;false;false;7.0;20;-1.0;Rüstkammer_der_Sonnenküste;1800;Besondere Gegenstände
PDTrueTypeFont QEFAWN+GentiumBasic-Bold;true;false;8.0;20;-1.0;Rüstkammer_der_Sonnenküste;1300;Alveransfeder
PDTrueTypeFont MYHCSV+GentiumBasic-Italic;false;true;9.0;20;-1.0;Rüstkammer_der_Sonnenküste;1000;»Als Aves mit seinem hundertfarbigen Reitvogel Aventurien erreichte und auf den schwarzen Klippen Teremons landete, blickte er zurück über das Meer, dessen Sieben Winde ihn getragen hatten, und dachte an die Abenteurer zukünftiger Generationen. Sie würden dieses Meer
PDType0Font/PDCIDFontType2, PostScript name: LOLSJC+GentiumBasic-Italic;false;true;10.0;20;-1.0;Rüstkammer_der_Sonnenküste;1000;erkunden wollen. So nahm er eine Feder aus dem Gefieder
PDTrueTypeFont MYHCSV+GentiumBasic-Italic;false;true;11.0;20;-1.0;Rüstkammer_der_Sonnenküste;1000;seines Vogels und segnete sie mit allem Glück für die Reise.«—Isendrëa von Teremon, reisende Avensgeweihte in einer
PDType0Font/PDCIDFontType2, PostScript name: LOLSJC+GentiumBasic-Italic;false;true;12.0;20;-1.0;Rüstkammer_der_Sonnenküste;1000;Predigt über die Gaben ihres Gottes, 1043
