FONT;ISBOLD;ISITALIC;ONLINE;ONPAGE;ORDER;PUBLICATION;SIZE;TEXT
PDTrueTypeFont CWTEDP+Andalus;false;false;1.0;8;-1.0;Rüstkammer_der_Sonnenküste;1200;Die Rüstkammer
PDTrueTypeFont QEFAWN+GentiumBasic-Bold;true;false;2.0;8;-1.0;Rüstkammer_der_Sonnenküste;1000;Arkisischer ParazoniumKomplexität einfNameKampftechnikTPL+SAT/PA-ModRWGewichtLängePreisArkisischer Parazonium
PDTrueTypeFont NXWIGT+GentiumBasic;false;false;3.0;8;-1.0;Rüstkammer_der_Sonnenküste;1000;Schwerter1W6+3GE/KK 150/0kurz1 Stein55 HF150 S
PDTrueTypeFont QEFAWN+GentiumBasic-Bold;true;false;4.0;8;-1.0;Rüstkammer_der_Sonnenküste;1000;Waffenvorteil
PDTrueTypeFont NXWIGT+GentiumBasic;false;false;5.0;8;-1.0;Rüstkammer_der_Sonnenküste;1000;Bei Einsatz des Manövers
PDTrueTypeFont MYHCSV+GentiumBasic-Italic;false;true;6.0;8;-1.0;Rüstkammer_der_Sonnenküste;1000;Sprungangriff
PDTrueTypeFont NXWIGT+GentiumBasic;false;false;7.0;8;-1.0;Rüstkammer_der_Sonnenküste;1000;(siehe
PDTrueTypeFont QEFAWN+GentiumBasic-Bold;true;false;8.0;8;-1.0;Rüstkammer_der_Sonnenküste;1000;Aventurisches Kompendium
PDTrueTypeFont NXWIGT+GentiumBasic;false;false;9.0;8;-1.0;Rüstkammer_der_Sonnenküste;1000;Seite
PDTrueTypeFont QEFAWN+GentiumBasic-Bold;true;false;10.0;8;-1.0;Rüstkammer_der_Sonnenküste;1000;164
PDTrueTypeFont NXWIGT+GentiumBasic;false;false;11.0;8;-1.0;Rüstkammer_der_Sonnenküste;1000;) steigt die QS der Talentprobe um 1, solange die Probe überhaupt gelingt.
PDTrueTypeFont QEFAWN+GentiumBasic-Bold;true;false;12.0;8;-1.0;Rüstkammer_der_Sonnenküste;1000;Waffennachteil
PDTrueTypeFont MYHCSV+GentiumBasic-Italic;false;true;13.0;8;-1.0;Rüstkammer_der_Sonnenküste;1000;Wuchtschläge
PDTrueTypeFont NXWIGT+GentiumBasic;false;false;14.0;8;-1.0;Rüstkammer_der_Sonnenküste;1000;mit dieser Waffe richten 1 TP weniger an als üblich..
